Variable,Date,Depth,QC,Data
PP,1997-09-01 00:00:00,0,N,400.1537
PP,1997-10-01 00:00:00,0,N,462.037
PP,1997-11-01 00:00:00,0,N,487.8212
PP,1997-12-01 00:00:00,0,N,495.87057
PP,1998-01-01 00:00:00,0,N,493.91925
PP,1998-02-01 00:00:00,0,N,462.11444
PP,1998-03-01 00:00:00,0,N,451.46698
PP,1998-04-01 00:00:00,0,N,495.20535
PP,1998-05-01 00:00:00,0,N,459.35324
PP,1998-06-01 00:00:00,0,N,476.61368
PP,1998-07-01 00:00:00,0,N,364.0298
PP,1998-08-01 00:00:00,0,N,475.15225
PP,1998-09-01 00:00:00,0,N,484.5029
PP,1998-10-01 00:00:00,0,N,444.2133
PP,1998-11-01 00:00:00,0,N,444.31424
PP,1998-12-01 00:00:00,0,N,480.692
PP,1999-01-01 00:00:00,0,N,483.5158
PP,1999-02-01 00:00:00,0,N,518.0737
PP,1999-03-01 00:00:00,0,N,590.58826
PP,1999-04-01 00:00:00,0,N,465.778
PP,1999-05-01 00:00:00,0,N,377.17148
PP,1999-06-01 00:00:00,0,N,511.9713
PP,1999-07-01 00:00:00,0,N,435.84485
PP,1999-08-01 00:00:00,0,N,480.29846
PP,1999-09-01 00:00:00,0,N,459.328
PP,1999-10-01 00:00:00,0,N,496.7286
PP,1999-11-01 00:00:00,0,N,471.06757
PP,1999-12-01 00:00:00,0,N,500.83932
PP,2000-01-01 00:00:00,0,N,513.0342
PP,2000-02-01 00:00:00,0,N,655.26044
PP,2000-03-01 00:00:00,0,N,600.9102
PP,2000-04-01 00:00:00,0,N,512.7714
PP,2000-05-01 00:00:00,0,N,521.4301
PP,2000-06-01 00:00:00,0,N,393.48273
PP,2000-07-01 00:00:00,0,N,453.8467
PP,2000-08-01 00:00:00,0,N,461.10577
PP,2000-09-01 00:00:00,0,N,463.1571
PP,2000-10-01 00:00:00,0,N,518.828
PP,2000-11-01 00:00:00,0,N,445.76065
PP,2000-12-01 00:00:00,0,N,522.49457
PP,2001-01-01 00:00:00,0,N,514.3015
PP,2001-02-01 00:00:00,0,N,519.7802
PP,2001-03-01 00:00:00,0,N,555.5795
PP,2001-04-01 00:00:00,0,N,478.7503
PP,2001-05-01 00:00:00,0,N,513.76056
PP,2001-06-01 00:00:00,0,N,461.87805
PP,2001-07-01 00:00:00,0,N,423.94638
PP,2001-08-01 00:00:00,0,N,480.82587
PP,2001-09-01 00:00:00,0,N,450.02313
PP,2001-10-01 00:00:00,0,N,453.3048
PP,2001-11-01 00:00:00,0,N,451.81482
PP,2001-12-01 00:00:00,0,N,478.2199
PP,2002-01-01 00:00:00,0,N,479.86765
PP,2002-02-01 00:00:00,0,N,497.6345
PP,2002-03-01 00:00:00,0,N,504.84894
