Variable,Date,Depth,QC,Data
RRS490,1997-09-16 00:00:00,0,N,0.0033726506
RRS490,1997-09-20 00:00:00,0,N,0.007558574
RRS490,1997-09-22 00:00:00,0,N,0.005525649
RRS490,1997-10-03 00:00:00,0,N,0.0075034336
RRS490,1997-10-04 00:00:00,0,N,0.003592603
RRS490,1997-10-05 00:00:00,0,N,0.0053891037
RRS490,1997-10-07 00:00:00,0,N,0.005519889
RRS490,1997-10-12 00:00:00,0,N,0.009337795
RRS490,1997-10-21 00:00:00,0,N,0.0068995273
RRS490,1997-10-25 00:00:00,0,N,0.008162523
RRS490,1997-10-26 00:00:00,0,N,0.005483825
RRS490,1997-10-27 00:00:00,0,N,0.009236382
RRS490,1997-10-28 00:00:00,0,N,0.008757181
RRS490,1997-10-30 00:00:00,0,N,0.010745904
RRS490,1997-11-01 00:00:00,0,N,0.010854215
RRS490,1997-11-03 00:00:00,0,N,0.010113572
RRS490,1997-11-05 00:00:00,0,N,0.0077880006
RRS490,1997-11-06 00:00:00,0,N,0.009176893
RRS490,1997-11-07 00:00:00,0,N,0.009518009
RRS490,1997-11-08 00:00:00,0,N,0.0068108556
RRS490,1997-11-09 00:00:00,0,N,0.006050411
RRS490,1997-11-10 00:00:00,0,N,0.0076280013
RRS490,1997-11-16 00:00:00,0,N,0.0087375175
RRS490,1997-11-17 00:00:00,0,N,0.005479913
RRS490,1997-11-18 00:00:00,0,N,0.007566222
RRS490,1997-11-19 00:00:00,0,N,0.0066459607
RRS490,1997-11-23 00:00:00,0,N,0.010314015
RRS490,1997-11-28 00:00:00,0,N,0.0055320007
RRS490,1997-11-29 00:00:00,0,N,0.0065339953
RRS490,1997-11-30 00:00:00,0,N,0.007471586
RRS490,1997-12-01 00:00:00,0,N,0.009502864
RRS490,1997-12-02 00:00:00,0,N,0.008567437
RRS490,1997-12-04 00:00:00,0,N,0.013554441
RRS490,1997-12-06 00:00:00,0,N,0.007987907
RRS490,1997-12-08 00:00:00,0,N,0.008149793
RRS490,1997-12-09 00:00:00,0,N,0.0078074834
RRS490,1997-12-10 00:00:00,0,N,0.008736256
RRS490,1997-12-11 00:00:00,0,N,0.006003998
RRS490,1997-12-12 00:00:00,0,N,0.0048958296
RRS490,1997-12-13 00:00:00,0,N,0.007572457
RRS490,1997-12-17 00:00:00,0,N,0.008476663
RRS490,1997-12-21 00:00:00,0,N,0.008112619
RRS490,1997-12-22 00:00:00,0,N,0.009622779
RRS490,1997-12-23 00:00:00,0,N,0.005633615
RRS490,1997-12-24 00:00:00,0,N,0.010671523
RRS490,1997-12-26 00:00:00,0,N,0.008753145
RRS490,1997-12-28 00:00:00,0,N,0.009088282
RRS490,1997-12-29 00:00:00,0,N,0.005462001
RRS490,1997-12-30 00:00:00,0,N,0.008438315
RRS490,1997-12-31 00:00:00,0,N,0.008467703
RRS490,1998-01-01 00:00:00,0,N,0.009097044
RRS490,1998-01-02 00:00:00,0,N,0.007559672
RRS490,1998-01-03 00:00:00,0,N,0.007051353
RRS490,1998-01-04 00:00:00,0,N,0.0080317985
RRS490,1998-01-06 00:00:00,0,N,0.006731017
RRS490,1998-01-08 00:00:00,0,N,0.008109592
RRS490,1998-01-09 00:00:00,0,N,0.006829366
RRS490,1998-01-10 00:00:00,0,N,0.007079737
RRS490,1998-01-12 00:00:00,0,N,0.0067764265
RRS490,1998-01-13 00:00:00,0,N,0.0105721345
RRS490,1998-01-15 00:00:00,0,N,0.009428001
RRS490,1998-01-17 00:00:00,0,N,0.008991743
RRS490,1998-01-19 00:00:00,0,N,0.008810184
RRS490,1998-01-20 00:00:00,0,N,0.006985111
RRS490,1998-01-21 00:00:00,0,N,0.0116475895
RRS490,1998-01-22 00:00:00,0,N,0.006883056
RRS490,1998-01-23 00:00:00,0,N,0.011485099
RRS490,1998-01-24 00:00:00,0,N,0.00877702
RRS490,1998-01-26 00:00:00,0,N,0.00673923
RRS490,1998-01-28 00:00:00,0,N,0.006496865
RRS490,1998-01-30 00:00:00,0,N,0.008152529
RRS490,1998-01-31 00:00:00,0,N,0.006480215
RRS490,1998-02-01 00:00:00,0,N,0.00882492
