Variable,Date,Depth,QC,Data
RRS490,1997-09-16 00:00:00,0,N,0.0063320906
RRS490,1997-09-20 00:00:00,0,N,0.007958007
RRS490,1997-09-22 00:00:00,0,N,0.0080628535
RRS490,1997-09-23 00:00:00,0,N,0.006205982
RRS490,1997-09-26 00:00:00,0,N,0.013238002
RRS490,1997-10-03 00:00:00,0,N,0.007869856
RRS490,1997-10-04 00:00:00,0,N,0.006741816
RRS490,1997-10-05 00:00:00,0,N,0.00764424
RRS490,1997-10-07 00:00:00,0,N,0.009565833
RRS490,1997-10-08 00:00:00,0,N,0.012882
RRS490,1997-10-12 00:00:00,0,N,0.0112410085
RRS490,1997-10-21 00:00:00,0,N,0.0058682635
RRS490,1997-10-25 00:00:00,0,N,0.0070092874
RRS490,1997-10-26 00:00:00,0,N,0.0054049664
RRS490,1997-10-28 00:00:00,0,N,0.0059632333
RRS490,1997-10-30 00:00:00,0,N,0.008445516
RRS490,1997-11-01 00:00:00,0,N,0.0066162883
RRS490,1997-11-03 00:00:00,0,N,0.007418646
RRS490,1997-11-05 00:00:00,0,N,0.011425766
RRS490,1997-11-06 00:00:00,0,N,0.0060648886
RRS490,1997-11-07 00:00:00,0,N,0.0065587247
RRS490,1997-11-08 00:00:00,0,N,0.0058833705
RRS490,1997-11-09 00:00:00,0,N,0.004472457
RRS490,1997-11-10 00:00:00,0,N,0.007550335
RRS490,1997-11-14 00:00:00,0,N,0.007780338
RRS490,1997-11-16 00:00:00,0,N,0.00544613
RRS490,1997-11-17 00:00:00,0,N,0.0042782705
RRS490,1997-11-18 00:00:00,0,N,0.0047878474
RRS490,1997-11-19 00:00:00,0,N,0.004795558
RRS490,1997-11-20 00:00:00,0,N,0.0037082615
RRS490,1997-11-23 00:00:00,0,N,0.008649286
RRS490,1997-11-27 00:00:00,0,N,0.006011303
RRS490,1997-11-28 00:00:00,0,N,0.005516845
RRS490,1997-11-29 00:00:00,0,N,0.005014001
RRS490,1997-11-30 00:00:00,0,N,0.005908165
RRS490,1997-12-01 00:00:00,0,N,0.0050814236
RRS490,1997-12-02 00:00:00,0,N,0.006079464
RRS490,1997-12-04 00:00:00,0,N,0.008291375
RRS490,1997-12-06 00:00:00,0,N,0.0055804076
RRS490,1997-12-08 00:00:00,0,N,0.005638539
RRS490,1997-12-09 00:00:00,0,N,0.0053063617
RRS490,1997-12-10 00:00:00,0,N,0.0058389516
RRS490,1997-12-11 00:00:00,0,N,0.005230707
RRS490,1997-12-12 00:00:00,0,N,0.0048188227
RRS490,1997-12-13 00:00:00,0,N,0.0057780743
RRS490,1997-12-17 00:00:00,0,N,0.0059618456
RRS490,1997-12-19 00:00:00,0,N,0.006404001
RRS490,1997-12-20 00:00:00,0,N,0.0065900097
RRS490,1997-12-21 00:00:00,0,N,0.005852729
RRS490,1997-12-22 00:00:00,0,N,0.007629846
RRS490,1997-12-23 00:00:00,0,N,0.005097998
RRS490,1997-12-24 00:00:00,0,N,0.0076621897
RRS490,1997-12-28 00:00:00,0,N,0.007166131
RRS490,1997-12-29 00:00:00,0,N,0.006154061
RRS490,1997-12-30 00:00:00,0,N,0.006098439
RRS490,1997-12-31 00:00:00,0,N,0.006577144
RRS490,1998-01-01 00:00:00,0,N,0.007181329
RRS490,1998-01-02 00:00:00,0,N,0.0064571984
RRS490,1998-01-04 00:00:00,0,N,0.0063001527
RRS490,1998-01-06 00:00:00,0,N,0.0053871055
RRS490,1998-01-08 00:00:00,0,N,0.006508334
RRS490,1998-01-09 00:00:00,0,N,0.004960445
RRS490,1998-01-10 00:00:00,0,N,0.005603265
RRS490,1998-01-12 00:00:00,0,N,0.005615888
RRS490,1998-01-13 00:00:00,0,N,0.007050359
RRS490,1998-01-15 00:00:00,0,N,0.0061212564
RRS490,1998-01-17 00:00:00,0,N,0.0068288646
RRS490,1998-01-19 00:00:00,0,N,0.006651091
RRS490,1998-01-20 00:00:00,0,N,0.0049525667
RRS490,1998-01-21 00:00:00,0,N,0.008943066
RRS490,1998-01-22 00:00:00,0,N,0.00604652
RRS490,1998-01-23 00:00:00,0,N,0.0068908753
RRS490,1998-01-24 00:00:00,0,N,0.0056740544
RRS490,1998-01-26 00:00:00,0,N,0.005117792
RRS490,1998-01-28 00:00:00,0,N,0.005007923
RRS490,1998-01-30 00:00:00,0,N,0.005717946
RRS490,1998-01-31 00:00:00,0,N,0.00476009
RRS490,1998-02-01 00:00:00,0,N,0.0065550795
RRS490,1998-02-02 00:00:00,0,N,0.0057205977
RRS490,1998-02-03 00:00:00,0,N,0.0057027657
RRS490,1998-02-04 00:00:00,0,N,0.0086330045
RRS490,1998-02-06 00:00:00,0,N,0.010338001
RRS490,1998-02-08 00:00:00,0,N,0.0059626084
RRS490,1998-02-10 00:00:00,0,N,0.0051957704
RRS490,1998-02-11 00:00:00,0,N,0.0054035927
RRS490,1998-02-12 00:00:00,0,N,0.005622196
RRS490,1998-02-13 00:00:00,0,N,0.0056033614
RRS490,1998-02-14 00:00:00,0,N,0.004693521
RRS490,1998-02-15 00:00:00,0,N,0.0061151814
RRS490,1998-02-17 00:00:00,0,N,0.0064897747
RRS490,1998-02-19 00:00:00,0,N,0.0069013955
RRS490,1998-02-21 00:00:00,0,N,0.0072528543
RRS490,1998-02-22 00:00:00,0,N,0.0055614337
RRS490,1998-02-23 00:00:00,0,N,0.007948193
RRS490,1998-02-24 00:00:00,0,N,0.0067916056
RRS490,1998-02-26 00:00:00,0,N,0.006378848
RRS490,1998-02-28 00:00:00,0,N,0.005570716
RRS490,1998-03-04 00:00:00,0,N,0.005272538
RRS490,1998-03-05 00:00:00,0,N,0.0046626045
RRS490,1998-03-07 00:00:00,0,N,0.0040606847
RRS490,1998-03-11 00:00:00,0,N,0.008289152
RRS490,1998-03-13 00:00:00,0,N,0.0062364773
RRS490,1998-03-15 00:00:00,0,N,0.0050479146
RRS490,1998-03-16 00:00:00,0,N,0.0047332877
RRS490,1998-03-17 00:00:00,0,N,0.0041555627
RRS490,1998-03-18 00:00:00,0,N,0.0050502205
RRS490,1998-03-19 00:00:00,0,N,0.0043054926
RRS490,1998-03-22 00:00:00,0,N,0.007569717
RRS490,1998-03-24 00:00:00,0,N,0.0035281691
RRS490,1998-03-25 00:00:00,0,N,0.0047410806
RRS490,1998-03-26 00:00:00,0,N,0.004025995
RRS490,1998-03-27 00:00:00,0,N,0.004498957
RRS490,1998-03-28 00:00:00,0,N,0.0038311114
RRS490,1998-03-29 00:00:00,0,N,0.004829011
