Variable,Date,Depth,QC,Data
KD490,1997-09-16 00:00:00,0,N,0.059020136
KD490,1997-09-20 00:00:00,0,N,0.05076217
KD490,1997-09-22 00:00:00,0,N,0.07900387
KD490,1997-09-23 00:00:00,0,N,0.06792657
KD490,1997-09-24 00:00:00,0,N,0.06045852
KD490,1997-10-03 00:00:00,0,N,0.108961724
KD490,1997-10-05 00:00:00,0,N,0.16681357
KD490,1997-10-10 00:00:00,0,N,0.061594404
KD490,1997-10-12 00:00:00,0,N,0.0819688
KD490,1997-10-21 00:00:00,0,N,0.0586446
KD490,1997-10-25 00:00:00,0,N,0.064170964
KD490,1997-10-26 00:00:00,0,N,0.09364478
KD490,1997-10-28 00:00:00,0,N,0.0526724
KD490,1997-10-30 00:00:00,0,N,0.07014817
KD490,1997-11-01 00:00:00,0,N,0.071755
KD490,1997-11-03 00:00:00,0,N,0.06658811
KD490,1997-11-06 00:00:00,0,N,0.06725352
KD490,1997-11-07 00:00:00,0,N,0.07565882
KD490,1997-11-08 00:00:00,0,N,0.06322822
KD490,1997-11-09 00:00:00,0,N,0.15881307
KD490,1997-11-10 00:00:00,0,N,0.055813037
KD490,1997-11-14 00:00:00,0,N,0.060521748
KD490,1997-11-16 00:00:00,0,N,0.069662824
KD490,1997-11-17 00:00:00,0,N,0.07536264
KD490,1997-11-18 00:00:00,0,N,0.07438705
KD490,1997-11-19 00:00:00,0,N,0.0550119
KD490,1997-11-20 00:00:00,0,N,0.05264871
KD490,1997-11-27 00:00:00,0,N,0.058491316
KD490,1997-11-28 00:00:00,0,N,0.061135158
KD490,1997-11-30 00:00:00,0,N,0.059692506
KD490,1997-12-01 00:00:00,0,N,0.056757897
KD490,1997-12-02 00:00:00,0,N,0.082280084
KD490,1997-12-06 00:00:00,0,N,0.06448022
KD490,1997-12-08 00:00:00,0,N,0.061036088
KD490,1997-12-09 00:00:00,0,N,0.052433036
KD490,1997-12-10 00:00:00,0,N,0.059679773
KD490,1997-12-11 00:00:00,0,N,0.05057904
KD490,1997-12-12 00:00:00,0,N,0.12947258
KD490,1997-12-13 00:00:00,0,N,0.055964317
KD490,1997-12-17 00:00:00,0,N,0.059909683
KD490,1997-12-20 00:00:00,0,N,0.046930335
KD490,1997-12-21 00:00:00,0,N,0.06532682
KD490,1997-12-22 00:00:00,0,N,0.05001996
KD490,1997-12-23 00:00:00,0,N,0.049552787
KD490,1997-12-24 00:00:00,0,N,0.051556744
KD490,1997-12-28 00:00:00,0,N,0.052965958
KD490,1997-12-29 00:00:00,0,N,0.051125295
KD490,1997-12-30 00:00:00,0,N,0.06739289
KD490,1997-12-31 00:00:00,0,N,0.054286443
KD490,1998-01-01 00:00:00,0,N,0.06498927
KD490,1998-01-02 00:00:00,0,N,0.063290425
KD490,1998-01-03 00:00:00,0,N,0.0581287
KD490,1998-01-04 00:00:00,0,N,0.05782348
KD490,1998-01-06 00:00:00,0,N,0.057797767
KD490,1998-01-08 00:00:00,0,N,0.06432383
KD490,1998-01-09 00:00:00,0,N,0.04382087
