Variable,Date,Depth,QC,Data
ZSD,1997-09-16 00:00:00,0,N,5.815614
ZSD,1997-09-20 00:00:00,0,N,9.936964
ZSD,1997-09-22 00:00:00,0,N,6.513014
ZSD,1997-09-26 00:00:00,0,N,11.882208
ZSD,1997-10-03 00:00:00,0,N,4.384784
ZSD,1997-10-04 00:00:00,0,N,7.8033695
ZSD,1997-10-08 00:00:00,0,N,14.439984
ZSD,1997-10-12 00:00:00,0,N,7.3241963
ZSD,1997-10-21 00:00:00,0,N,7.9208183
ZSD,1997-10-25 00:00:00,0,N,5.7361684
ZSD,1997-10-28 00:00:00,0,N,5.599818
ZSD,1997-10-30 00:00:00,0,N,5.950423
ZSD,1997-11-01 00:00:00,0,N,5.779071
ZSD,1997-11-03 00:00:00,0,N,8.007462
ZSD,1997-11-06 00:00:00,0,N,10.171985
ZSD,1997-11-08 00:00:00,0,N,7.8961844
ZSD,1997-11-09 00:00:00,0,N,2.3773873
ZSD,1997-11-14 00:00:00,0,N,11.975214
ZSD,1997-11-16 00:00:00,0,N,7.8168983
ZSD,1997-11-17 00:00:00,0,N,8.086944
ZSD,1997-11-18 00:00:00,0,N,7.572666
ZSD,1997-11-23 00:00:00,0,N,11.959919
ZSD,1997-12-01 00:00:00,0,N,8.847977
ZSD,1997-12-02 00:00:00,0,N,8.510922
ZSD,1997-12-06 00:00:00,0,N,10.122759
ZSD,1997-12-08 00:00:00,0,N,8.806012
ZSD,1997-12-09 00:00:00,0,N,6.416758
ZSD,1997-12-11 00:00:00,0,N,12.34154
ZSD,1997-12-12 00:00:00,0,N,8.62203
ZSD,1997-12-13 00:00:00,0,N,8.089176
ZSD,1997-12-17 00:00:00,0,N,8.256314
ZSD,1997-12-21 00:00:00,0,N,7.301591
ZSD,1997-12-22 00:00:00,0,N,8.391166
ZSD,1997-12-23 00:00:00,0,N,7.8644056
ZSD,1997-12-24 00:00:00,0,N,7.6207995
ZSD,1997-12-28 00:00:00,0,N,10.092725
ZSD,1997-12-30 00:00:00,0,N,6.6219363
ZSD,1997-12-31 00:00:00,0,N,10.684574
ZSD,1998-01-01 00:00:00,0,N,7.785891
ZSD,1998-01-02 00:00:00,0,N,9.374906
