Variable,Date,Depth,QC,Data
KD490,1997-09-16 00:00:00,0,N,0.061903514
KD490,1997-09-20 00:00:00,0,N,0.039371755
KD490,1997-09-22 00:00:00,0,N,0.09213533
KD490,1997-09-23 00:00:00,0,N,0.06284587
KD490,1997-09-26 00:00:00,0,N,0.054459468
KD490,1997-10-03 00:00:00,0,N,0.099977516
KD490,1997-10-04 00:00:00,0,N,0.07453933
KD490,1997-10-05 00:00:00,0,N,0.073189795
KD490,1997-10-07 00:00:00,0,N,0.05913274
KD490,1997-10-08 00:00:00,0,N,0.04381697
KD490,1997-10-12 00:00:00,0,N,0.07054521
KD490,1997-10-21 00:00:00,0,N,0.06512705
KD490,1997-10-25 00:00:00,0,N,0.07902829
KD490,1997-10-26 00:00:00,0,N,0.05577345
KD490,1997-10-28 00:00:00,0,N,0.061975397
KD490,1997-10-30 00:00:00,0,N,0.06004507
KD490,1997-11-01 00:00:00,0,N,0.062886074
KD490,1997-11-03 00:00:00,0,N,0.059033863
KD490,1997-11-05 00:00:00,0,N,0.04818223
KD490,1997-11-06 00:00:00,0,N,0.05102276
KD490,1997-11-07 00:00:00,0,N,0.061576374
KD490,1997-11-08 00:00:00,0,N,0.06465705
KD490,1997-11-09 00:00:00,0,N,0.06958997
KD490,1997-11-10 00:00:00,0,N,0.05816418
KD490,1997-11-14 00:00:00,0,N,0.06484731
KD490,1997-11-16 00:00:00,0,N,0.07813691
KD490,1997-11-17 00:00:00,0,N,0.058387358
KD490,1997-11-18 00:00:00,0,N,0.07365065
KD490,1997-11-19 00:00:00,0,N,0.077525154
KD490,1997-11-20 00:00:00,0,N,0.04559903
KD490,1997-11-23 00:00:00,0,N,0.06402297
KD490,1997-11-27 00:00:00,0,N,0.059029795
KD490,1997-11-28 00:00:00,0,N,0.077214964
KD490,1997-11-29 00:00:00,0,N,0.052014656
KD490,1997-11-30 00:00:00,0,N,0.07361465
KD490,1997-12-01 00:00:00,0,N,0.07794969
KD490,1997-12-02 00:00:00,0,N,0.08097036
KD490,1997-12-04 00:00:00,0,N,0.05476836
KD490,1997-12-06 00:00:00,0,N,0.07076724
KD490,1997-12-08 00:00:00,0,N,0.08244155
KD490,1997-12-09 00:00:00,0,N,0.050901115
KD490,1997-12-10 00:00:00,0,N,0.064948946
KD490,1997-12-11 00:00:00,0,N,0.055991083
KD490,1997-12-12 00:00:00,0,N,0.059604697
KD490,1997-12-13 00:00:00,0,N,0.06890968
KD490,1997-12-17 00:00:00,0,N,0.07917583
KD490,1997-12-19 00:00:00,0,N,0.045157745
KD490,1997-12-20 00:00:00,0,N,0.042418204
KD490,1997-12-21 00:00:00,0,N,0.08000284
KD490,1997-12-22 00:00:00,0,N,0.052995063
KD490,1997-12-23 00:00:00,0,N,0.06394671
KD490,1997-12-24 00:00:00,0,N,0.05997776
KD490,1997-12-28 00:00:00,0,N,0.06996802
KD490,1997-12-29 00:00:00,0,N,0.0406416
KD490,1997-12-30 00:00:00,0,N,0.0892641
KD490,1997-12-31 00:00:00,0,N,0.057877712
KD490,1998-01-01 00:00:00,0,N,0.07321747
KD490,1998-01-02 00:00:00,0,N,0.054360796
KD490,1998-01-04 00:00:00,0,N,0.06601393
KD490,1998-01-06 00:00:00,0,N,0.0636188
KD490,1998-01-08 00:00:00,0,N,0.055470258
