Variable,Date,Depth,QC,Data
ZSD,1997-09-16 00:00:00,0,N,21.903666
ZSD,1997-09-22 00:00:00,0,N,21.636917
ZSD,1997-09-23 00:00:00,0,N,17.575537
ZSD,1997-09-24 00:00:00,0,N,16.893398
ZSD,1997-10-03 00:00:00,0,N,18.050114
ZSD,1997-10-04 00:00:00,0,N,19.590189
ZSD,1997-10-05 00:00:00,0,N,19.647434
ZSD,1997-10-07 00:00:00,0,N,17.269367
ZSD,1997-10-10 00:00:00,0,N,12.6951065
ZSD,1997-10-12 00:00:00,0,N,15.793836
ZSD,1997-10-21 00:00:00,0,N,23.604654
ZSD,1997-10-25 00:00:00,0,N,21.501604
ZSD,1997-10-26 00:00:00,0,N,22.330074
ZSD,1997-10-27 00:00:00,0,N,23.496
ZSD,1997-10-28 00:00:00,0,N,22.641338
ZSD,1997-10-30 00:00:00,0,N,19.263468
ZSD,1997-11-01 00:00:00,0,N,21.973242
ZSD,1997-11-03 00:00:00,0,N,21.53701
ZSD,1997-11-05 00:00:00,0,N,21.276598
ZSD,1997-11-06 00:00:00,0,N,21.30419
ZSD,1997-11-07 00:00:00,0,N,20.157167
ZSD,1997-11-08 00:00:00,0,N,21.224989
ZSD,1997-11-09 00:00:00,0,N,20.587795
ZSD,1997-11-10 00:00:00,0,N,21.552586
ZSD,1997-11-14 00:00:00,0,N,20.10784
ZSD,1997-11-16 00:00:00,0,N,21.19494
ZSD,1997-11-17 00:00:00,0,N,20.433727
ZSD,1997-11-18 00:00:00,0,N,19.883917
ZSD,1997-11-19 00:00:00,0,N,21.365746
ZSD,1997-11-23 00:00:00,0,N,22.359056
ZSD,1997-11-25 00:00:00,0,N,24.915129
ZSD,1997-11-28 00:00:00,0,N,24.808733
ZSD,1997-11-29 00:00:00,0,N,21.73215
ZSD,1997-11-30 00:00:00,0,N,25.318102
ZSD,1997-12-02 00:00:00,0,N,21.052233
ZSD,1997-12-04 00:00:00,0,N,21.465462
ZSD,1997-12-06 00:00:00,0,N,22.46502
ZSD,1997-12-08 00:00:00,0,N,23.286741
ZSD,1997-12-09 00:00:00,0,N,23.758549
ZSD,1997-12-10 00:00:00,0,N,23.217047
ZSD,1997-12-11 00:00:00,0,N,25.218786
ZSD,1997-12-12 00:00:00,0,N,24.214447
