Variable,Date,Depth,QC,Data
CHL,2016-05-08 00:00:00,0,N,0.28112707
CHL,2016-05-11 00:00:00,0,N,0.31860012
CHL,2016-05-12 00:00:00,0,N,0.5424628
CHL,2016-05-16 00:00:00,0,N,0.42015785
CHL,2016-05-20 00:00:00,0,N,0.34768882
CHL,2016-05-23 00:00:00,0,N,0.9025336
CHL,2016-05-30 00:00:00,0,N,0.53051674
CHL,2016-05-31 00:00:00,0,N,0.7410242
CHL,2016-06-08 00:00:00,0,N,1.2897931
CHL,2016-06-12 00:00:00,0,N,1.4393524
CHL,2016-06-14 00:00:00,0,N,1.3507259
CHL,2016-06-18 00:00:00,0,N,0.53933954
CHL,2016-06-30 00:00:00,0,N,0.65122795
CHL,2016-07-01 00:00:00,0,N,0.51771885
CHL,2016-07-11 00:00:00,0,N,0.7181293
CHL,2016-07-13 00:00:00,0,N,0.4521706
CHL,2016-07-20 00:00:00,0,N,0.45248038
CHL,2016-07-23 00:00:00,0,N,0.29648677
CHL,2016-07-24 00:00:00,0,N,0.45998642
CHL,2016-07-31 00:00:00,0,N,0.7405478
CHL,2016-08-01 00:00:00,0,N,1.6797469
CHL,2016-08-12 00:00:00,0,N,0.65490407
CHL,2016-08-19 00:00:00,0,N,0.31393307
CHL,2016-08-23 00:00:00,0,N,0.7893926
CHL,2016-08-24 00:00:00,0,N,0.8002136
CHL,2016-09-01 00:00:00,0,N,0.68083036
CHL,2016-09-03 00:00:00,0,N,0.66544235
CHL,2016-09-05 00:00:00,0,N,0.21813092
CHL,2016-09-16 00:00:00,0,N,0.31588113
CHL,2016-10-02 00:00:00,0,N,0.76541775
CHL,2016-10-05 00:00:00,0,N,0.23376837
CHL,2016-10-12 00:00:00,0,N,0.2698199
CHL,2016-10-13 00:00:00,0,N,0.20302153
CHL,2016-10-20 00:00:00,0,N,0.24540092
CHL,2016-10-21 00:00:00,0,N,0.25626495
CHL,2016-10-24 00:00:00,0,N,0.13638273
CHL,2016-10-28 00:00:00,0,N,0.16031572
CHL,2016-10-31 00:00:00,0,N,0.18107566
CHL,2016-11-01 00:00:00,0,N,0.21492028
CHL,2016-11-05 00:00:00,0,N,0.17394973
CHL,2016-11-08 00:00:00,0,N,0.25672263
CHL,2016-11-13 00:00:00,0,N,0.21396454
CHL,2016-11-17 00:00:00,0,N,0.17780025
CHL,2016-11-24 00:00:00,0,N,0.17940418
CHL,2016-11-25 00:00:00,0,N,0.19481808
CHL,2016-11-28 00:00:00,0,N,0.25011468
CHL,2016-12-02 00:00:00,0,N,0.18711141
CHL,2016-12-05 00:00:00,0,N,0.15735652
CHL,2016-12-06 00:00:00,0,N,0.16035579
CHL,2016-12-09 00:00:00,0,N,0.18830702
CHL,2016-12-10 00:00:00,0,N,0.16751026
CHL,2016-12-13 00:00:00,0,N,0.17242222
CHL,2016-12-14 00:00:00,0,N,0.18999118
CHL,2016-12-17 00:00:00,0,N,0.15993455
CHL,2016-12-21 00:00:00,0,N,0.18024693
CHL,2016-12-25 00:00:00,0,N,0.33008602
CHL,2016-12-29 00:00:00,0,N,0.26271224
CHL,2017-01-01 00:00:00,0,N,0.18003264
CHL,2017-01-02 00:00:00,0,N,0.21435662
CHL,2017-01-09 00:00:00,0,N,0.2388632
CHL,2017-01-10 00:00:00,0,N,0.25598586
CHL,2017-01-13 00:00:00,0,N,0.32396987
CHL,2017-01-14 00:00:00,0,N,0.33370614
CHL,2017-01-17 00:00:00,0,N,0.3133392
CHL,2017-01-18 00:00:00,0,N,0.28914687
CHL,2017-01-20 00:00:00,0,N,0.16349758
CHL,2017-01-21 00:00:00,0,N,0.22513665
CHL,2017-01-24 00:00:00,0,N,0.1838021
CHL,2017-01-25 00:00:00,0,N,0.19745077
CHL,2017-01-28 00:00:00,0,N,0.15883838
CHL,2017-02-01 00:00:00,0,N,0.5086181
CHL,2017-02-05 00:00:00,0,N,0.18986942
CHL,2017-02-06 00:00:00,0,N,0.22494386
CHL,2017-02-16 00:00:00,0,N,0.39205432
CHL,2017-02-17 00:00:00,0,N,0.2616935
CHL,2017-02-20 00:00:00,0,N,0.42932165
CHL,2017-02-21 00:00:00,0,N,0.3483114
CHL,2017-02-24 00:00:00,0,N,0.44454053
CHL,2017-02-25 00:00:00,0,N,0.41040406
CHL,2017-02-28 00:00:00,0,N,0.42229003
CHL,2017-03-01 00:00:00,0,N,0.26692796
CHL,2017-03-05 00:00:00,0,N,0.20467915
CHL,2017-03-08 00:00:00,0,N,0.19686623
CHL,2017-03-09 00:00:00,0,N,0.26779526
CHL,2017-03-11 00:00:00,0,N,0.30438066
CHL,2017-03-16 00:00:00,0,N,0.9298426
CHL,2017-03-19 00:00:00,0,N,1.0721854
CHL,2017-03-20 00:00:00,0,N,1.0118728
CHL,2017-03-24 00:00:00,0,N,0.4515416
CHL,2017-03-31 00:00:00,0,N,0.34056932
CHL,2017-04-01 00:00:00,0,N,0.54746443
CHL,2017-04-04 00:00:00,0,N,0.32844657
CHL,2017-04-05 00:00:00,0,N,0.29603487
CHL,2017-04-07 00:00:00,0,N,0.46443728
CHL,2017-04-08 00:00:00,0,N,0.4645305
CHL,2017-04-09 00:00:00,0,N,0.39483294
CHL,2017-04-11 00:00:00,0,N,0.42745662
CHL,2017-04-15 00:00:00,0,N,0.28202984
CHL,2017-04-16 00:00:00,0,N,0.3481167
CHL,2017-04-19 00:00:00,0,N,0.37492153
CHL,2017-04-20 00:00:00,0,N,0.3252459
CHL,2017-04-23 00:00:00,0,N,0.42458168
CHL,2017-04-24 00:00:00,0,N,0.36283866
CHL,2017-04-27 00:00:00,0,N,0.2871655
CHL,2017-04-28 00:00:00,0,N,0.26621068
CHL,2017-05-01 00:00:00,0,N,0.4199718
CHL,2017-05-04 00:00:00,0,N,0.22039463
CHL,2017-05-05 00:00:00,0,N,0.31714445
CHL,2017-05-06 00:00:00,0,N,0.2647205
CHL,2017-05-12 00:00:00,0,N,0.42143092
CHL,2017-05-13 00:00:00,0,N,0.7703999
CHL,2017-05-17 00:00:00,0,N,0.519584
CHL,2017-05-25 00:00:00,0,N,0.53264415
CHL,2017-05-28 00:00:00,0,N,0.55581665
CHL,2017-05-29 00:00:00,0,N,0.712029
CHL,2017-06-01 00:00:00,0,N,0.6050039
CHL,2017-06-02 00:00:00,0,N,0.2103383
CHL,2017-06-04 00:00:00,0,N,0.2783575
CHL,2017-06-05 00:00:00,0,N,0.42424375
CHL,2017-06-08 00:00:00,0,N,0.49439192
CHL,2017-06-09 00:00:00,0,N,1.7663904
CHL,2017-06-12 00:00:00,0,N,0.773256
CHL,2017-06-16 00:00:00,0,N,0.6007793
CHL,2017-06-20 00:00:00,0,N,0.35889268
CHL,2017-06-24 00:00:00,0,N,0.5652183
CHL,2017-06-25 00:00:00,0,N,0.79756975
CHL,2017-06-28 00:00:00,0,N,0.6974376
CHL,2017-06-29 00:00:00,0,N,0.98585504
CHL,2017-07-17 00:00:00,0,N,0.25545913
CHL,2017-07-21 00:00:00,0,N,1.2188305
CHL,2017-07-25 00:00:00,0,N,0.29431114
CHL,2017-07-28 00:00:00,0,N,0.72603464
CHL,2017-08-01 00:00:00,0,N,1.1049184
CHL,2017-08-02 00:00:00,0,N,0.80558777
CHL,2017-08-20 00:00:00,0,N,0.77157646
CHL,2017-08-24 00:00:00,0,N,0.495635
CHL,2017-08-25 00:00:00,0,N,1.1762788
CHL,2017-09-02 00:00:00,0,N,0.62830544
CHL,2017-09-05 00:00:00,0,N,0.28033778
CHL,2017-09-06 00:00:00,0,N,0.24378009
CHL,2017-09-13 00:00:00,0,N,0.5208556
CHL,2017-09-14 00:00:00,0,N,0.6872466
CHL,2017-09-16 00:00:00,0,N,0.29253155
