Variable,Date,Depth,Data,QC
TEMP,2009-11-20 13:00:00,0,19.7,Z
TEMP,2010-01-10 11:00:00,0,20.9,Z
TEMP,2010-01-21 09:00:00,0,21.6,Z
TEMP,2010-02-16 11:00:00,0,21.2,Z
TEMP,2010-03-29 02:00:00,0,22.5,Z
TEMP,2010-06-10 18:00:00,0,21.2,Z
TEMP,2010-07-04 04:00:00,0,20.9,Z
TEMP,2010-07-25 17:00:00,0,20.3,Z
TEMP,2010-07-28 12:00:00,0,19.8,Z
TEMP,2010-08-14 23:00:00,0,19.7,Z
TEMP,2010-09-28 19:00:00,0,18.8,Z
TEMP,2010-10-03 06:00:00,0,19.6,Z
TEMP,2011-02-25 11:00:00,0,25.7,Z
TEMP,2011-10-29 13:00:00,0,19.7,Z
TEMP,2011-12-22 04:00:00,0,22.4,Z
TEMP,2012-01-09 23:00:00,0,22.1,Z
TEMP,2012-01-29 20:00:00,0,23.6,Z
TEMP,2012-09-21 14:00:00,0,18.8,Z
TEMP,2012-11-30 23:00:00,0,20.1,Z
TEMP,2012-12-13 22:00:00,0,20.5,Z
TEMP,2012-12-26 06:00:00,0,21.3,Z
TEMP,2013-01-15 15:00:00,0,23.5,Z
TEMP,2013-01-31 11:00:00,0,23.0,Z
TEMP,2013-02-07 07:00:00,0,22.8,Z
TEMP,2013-05-29 12:00:00,0,22.7,Z
TEMP,2013-06-12 22:00:00,0,21.9,Z
TEMP,2013-06-17 20:00:00,0,21.7,Z
TEMP,2013-12-23 08:00:00,0,21.7,Z
TEMP,2014-02-16 05:00:00,0,21.1,Z
TEMP,2014-03-08 22:00:00,0,22.5,Z
TEMP,2014-05-15 10:00:00,0,21.6,Z
TEMP,2014-05-28 15:00:00,0,22.4,Z
TEMP,2014-06-11 21:00:00,0,21.4,Z
TEMP,2014-07-28 19:00:00,0,20.4,Z
TEMP,2014-08-15 04:00:00,0,19.9,Z
TEMP,2014-11-28 18:00:00,0,19.8,Z
TEMP,2014-12-03 10:00:00,0,20.5,Z
TEMP,2014-12-22 07:00:00,0,20.0,Z
TEMP,2015-01-08 18:00:00,0,20.8,Z
TEMP,2015-03-26 07:00:00,0,22.9,Z
TEMP,2015-10-05 00:00:00,0,19.3,Z
TEMP,2015-11-04 12:00:00,0,20.7,Z
