Header,Value
Agency Name,Integrated Marine Observing System
Agency Code,IMOS
Program,Ships of Opportunity (SOOP)
Project,Perth waters gridded SOOP data
Tag,IMOS-SOOP-PERTH
Data File Name,SOOP_perth_grid4km2_188_Temperature_Data.csv
Location,data-warehouse/csv/imos/soop/perth
Station Status,Active
Lat,-31.8811
Long,115.5988
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,grid4km2_188
Site Description,grid4km2_188
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00007
Data Category,Water Quality (PhysChm)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Temperature
QC,Z (value passes all tests)
