Variable,Date,Depth,QC,Data
so,2022-06-01 00:00:00,0.494025,N,35.491978
so,2022-06-01 06:00:00,0.494025,N,35.493866
so,2022-06-01 12:00:00,0.494025,N,35.494194
so,2022-06-01 18:00:00,0.494025,N,35.49321
so,2022-06-02 00:00:00,0.494025,N,35.489223
so,2022-06-02 06:00:00,0.494025,N,35.48497
so,2022-06-02 12:00:00,0.494025,N,35.484924
so,2022-06-02 18:00:00,0.494025,N,35.484997
so,2022-06-03 00:00:00,0.494025,N,35.488014
so,2022-06-03 06:00:00,0.494025,N,35.49193
so,2022-06-03 12:00:00,0.494025,N,35.494793
so,2022-06-03 18:00:00,0.494025,N,35.500076
so,2022-06-04 00:00:00,0.494025,N,35.50406
so,2022-06-04 06:00:00,0.494025,N,35.508564
so,2022-06-04 12:00:00,0.494025,N,35.513256
so,2022-06-04 18:00:00,0.494025,N,35.514206
so,2022-06-05 00:00:00,0.494025,N,35.515892
so,2022-06-05 06:00:00,0.494025,N,35.51759
so,2022-06-05 12:00:00,0.494025,N,35.51994
so,2022-06-05 18:00:00,0.494025,N,35.520588
so,2022-06-06 00:00:00,0.494025,N,35.523426
so,2022-06-06 06:00:00,0.494025,N,35.528534
so,2022-06-06 12:00:00,0.494025,N,35.531567
so,2022-06-06 18:00:00,0.494025,N,35.536903
so,2022-06-07 00:00:00,0.494025,N,35.544117
so,2022-06-07 06:00:00,0.494025,N,35.549564
so,2022-06-07 12:00:00,0.494025,N,35.553497
so,2022-06-07 18:00:00,0.494025,N,35.560177
so,2022-06-08 00:00:00,0.494025,N,35.56606
so,2022-06-08 06:00:00,0.494025,N,35.56748
so,2022-06-08 12:00:00,0.494025,N,35.536095
so,2022-06-08 18:00:00,0.494025,N,35.530617
so,2022-06-09 00:00:00,0.494025,N,35.508965
so,2022-06-09 06:00:00,0.494025,N,35.489998
so,2022-06-09 12:00:00,0.494025,N,35.431282
so,2022-06-09 18:00:00,0.494025,N,35.412243
so,2022-06-10 00:00:00,0.494025,N,35.38865
so,2022-06-10 06:00:00,0.494025,N,35.344425
so,2022-06-10 12:00:00,0.494025,N,35.34084
so,2022-06-10 18:00:00,0.494025,N,35.339005
so,2022-06-11 00:00:00,0.494025,N,35.32987
so,2022-06-11 06:00:00,0.494025,N,35.32633
so,2022-06-11 12:00:00,0.494025,N,35.32338
so,2022-06-11 18:00:00,0.494025,N,35.32321
so,2022-06-12 00:00:00,0.494025,N,35.324703
so,2022-06-12 06:00:00,0.494025,N,35.307037
so,2022-06-12 12:00:00,0.494025,N,35.312405
so,2022-06-12 18:00:00,0.494025,N,35.31245
so,2022-06-13 00:00:00,0.494025,N,35.310932
so,2022-06-13 06:00:00,0.494025,N,35.305065
so,2022-06-13 12:00:00,0.494025,N,35.299484
so,2022-06-13 18:00:00,0.494025,N,35.291283
so,2022-06-14 00:00:00,0.494025,N,35.283237
so,2022-06-14 06:00:00,0.494025,N,35.288853
so,2022-06-14 12:00:00,0.494025,N,35.295376
so,2022-06-14 18:00:00,0.494025,N,35.30385
so,2022-06-15 00:00:00,0.494025,N,35.316525
so,2022-06-15 06:00:00,0.494025,N,35.32779
so,2022-06-15 12:00:00,0.494025,N,35.333393
so,2022-06-15 18:00:00,0.494025,N,35.33488
so,2022-06-16 00:00:00,0.494025,N,35.33545
so,2022-06-16 06:00:00,0.494025,N,35.332508
so,2022-06-16 12:00:00,0.494025,N,35.328445
so,2022-06-16 18:00:00,0.494025,N,35.32574
so,2022-06-17 00:00:00,0.494025,N,35.320854
so,2022-06-17 06:00:00,0.494025,N,35.273933
so,2022-06-17 12:00:00,0.494025,N,35.22232
so,2022-06-17 18:00:00,0.494025,N,35.217285
so,2022-06-18 00:00:00,0.494025,N,35.206776
so,2022-06-18 06:00:00,0.494025,N,35.189957
so,2022-06-18 12:00:00,0.494025,N,35.17031
so,2022-06-18 18:00:00,0.494025,N,35.16016
so,2022-06-19 00:00:00,0.494025,N,35.15814
so,2022-06-19 06:00:00,0.494025,N,35.164364
so,2022-06-19 12:00:00,0.494025,N,35.17154
so,2022-06-19 18:00:00,0.494025,N,35.173668
so,2022-06-20 00:00:00,0.494025,N,35.172867
so,2022-06-20 06:00:00,0.494025,N,35.17149
so,2022-06-20 12:00:00,0.494025,N,35.17005
so,2022-06-20 18:00:00,0.494025,N,35.167088
so,2022-06-21 00:00:00,0.494025,N,35.16749
so,2022-06-21 06:00:00,0.494025,N,35.16942
so,2022-06-21 12:00:00,0.494025,N,35.17101
so,2022-06-21 18:00:00,0.494025,N,35.17338
so,2022-06-22 00:00:00,0.494025,N,35.178123
so,2022-06-22 06:00:00,0.494025,N,35.179348
so,2022-06-22 12:00:00,0.494025,N,35.1801
so,2022-06-22 18:00:00,0.494025,N,35.184696
so,2022-06-23 00:00:00,0.494025,N,35.18823
so,2022-06-23 06:00:00,0.494025,N,35.18628
so,2022-06-23 12:00:00,0.494025,N,35.187828
so,2022-06-23 18:00:00,0.494025,N,35.19006
so,2022-06-24 00:00:00,0.494025,N,35.19288
so,2022-06-24 06:00:00,0.494025,N,35.194916
so,2022-06-24 12:00:00,0.494025,N,35.198067
so,2022-06-24 18:00:00,0.494025,N,35.2006
so,2022-06-25 00:00:00,0.494025,N,35.203327
so,2022-06-25 06:00:00,0.494025,N,35.20592
so,2022-06-25 12:00:00,0.494025,N,35.207962
so,2022-06-25 18:00:00,0.494025,N,35.212166
so,2022-06-26 00:00:00,0.494025,N,35.218452
so,2022-06-26 06:00:00,0.494025,N,35.22232
so,2022-06-26 12:00:00,0.494025,N,35.221836
so,2022-06-26 18:00:00,0.494025,N,35.223347
so,2022-06-27 00:00:00,0.494025,N,35.224674
so,2022-06-27 06:00:00,0.494025,N,35.223312
so,2022-06-27 12:00:00,0.494025,N,35.22222
so,2022-06-27 18:00:00,0.494025,N,35.225124
so,2022-06-28 00:00:00,0.494025,N,35.22751
so,2022-06-28 06:00:00,0.494025,N,35.22924
so,2022-06-28 12:00:00,0.494025,N,35.231266
so,2022-06-28 18:00:00,0.494025,N,35.23504
so,2022-06-29 00:00:00,0.494025,N,35.239456
so,2022-06-29 06:00:00,0.494025,N,35.243206
so,2022-06-29 12:00:00,0.494025,N,35.246265
so,2022-06-29 18:00:00,0.494025,N,35.248734
so,2022-06-30 00:00:00,0.494025,N,35.251846
so,2022-06-30 06:00:00,0.494025,N,35.253487
so,2022-06-30 12:00:00,0.494025,N,35.253284
so,2022-06-30 18:00:00,0.494025,N,35.255005
so,2022-07-01 00:00:00,0.494025,N,35.257706
so,2022-07-01 06:00:00,0.494025,N,35.25752
so,2022-07-01 12:00:00,0.494025,N,35.25567
so,2022-07-01 18:00:00,0.494025,N,35.25522
so,2022-07-02 00:00:00,0.494025,N,35.257133
so,2022-07-02 06:00:00,0.494025,N,35.257362
so,2022-07-02 12:00:00,0.494025,N,35.255257
so,2022-07-02 18:00:00,0.494025,N,35.25547
so,2022-07-03 00:00:00,0.494025,N,35.257526
so,2022-07-03 06:00:00,0.494025,N,35.259125
so,2022-07-03 12:00:00,0.494025,N,35.258617
so,2022-07-03 18:00:00,0.494025,N,35.26002
so,2022-07-04 00:00:00,0.494025,N,35.26463
so,2022-07-04 06:00:00,0.494025,N,35.269276
so,2022-07-04 12:00:00,0.494025,N,35.270847
so,2022-07-04 18:00:00,0.494025,N,35.273113
so,2022-07-05 00:00:00,0.494025,N,35.275578
so,2022-07-05 06:00:00,0.494025,N,35.237034
so,2022-07-05 12:00:00,0.494025,N,35.233875
so,2022-07-05 18:00:00,0.494025,N,35.23354
so,2022-07-06 00:00:00,0.494025,N,35.23423
so,2022-07-06 06:00:00,0.494025,N,35.23336
so,2022-07-06 12:00:00,0.494025,N,35.23347
so,2022-07-06 18:00:00,0.494025,N,35.235374
so,2022-07-07 00:00:00,0.494025,N,35.237293
so,2022-07-07 06:00:00,0.494025,N,35.237217
so,2022-07-07 12:00:00,0.494025,N,35.235687
so,2022-07-07 18:00:00,0.494025,N,35.234615
so,2022-07-08 00:00:00,0.494025,N,35.234867
so,2022-07-08 06:00:00,0.494025,N,35.236595
so,2022-07-08 12:00:00,0.494025,N,35.23474
so,2022-07-08 18:00:00,0.494025,N,35.237164
so,2022-07-09 00:00:00,0.494025,N,35.24343
so,2022-07-09 06:00:00,0.494025,N,35.23905
so,2022-07-09 12:00:00,0.494025,N,35.165268
so,2022-07-09 18:00:00,0.494025,N,35.162296
so,2022-07-10 00:00:00,0.494025,N,35.173782
so,2022-07-10 06:00:00,0.494025,N,35.17966
so,2022-07-10 12:00:00,0.494025,N,35.177094
