Variable,Date,Depth,QC,Data
so,2022-06-01 00:00:00,0.494025,N,35.417694
so,2022-06-01 06:00:00,0.494025,N,35.41853
so,2022-06-01 12:00:00,0.494025,N,35.4157
so,2022-06-01 18:00:00,0.494025,N,35.413456
so,2022-06-02 00:00:00,0.494025,N,35.41028
so,2022-06-02 06:00:00,0.494025,N,35.40929
so,2022-06-02 12:00:00,0.494025,N,35.408054
so,2022-06-02 18:00:00,0.494025,N,35.407185
so,2022-06-03 00:00:00,0.494025,N,35.406017
so,2022-06-03 06:00:00,0.494025,N,35.406635
so,2022-06-03 12:00:00,0.494025,N,35.40594
so,2022-06-03 18:00:00,0.494025,N,35.40775
so,2022-06-04 00:00:00,0.494025,N,35.410057
so,2022-06-04 06:00:00,0.494025,N,35.41373
so,2022-06-04 12:00:00,0.494025,N,35.416702
so,2022-06-04 18:00:00,0.494025,N,35.42007
so,2022-06-05 00:00:00,0.494025,N,35.423187
so,2022-06-05 06:00:00,0.494025,N,35.42545
so,2022-06-05 12:00:00,0.494025,N,35.426437
so,2022-06-05 18:00:00,0.494025,N,35.4269
so,2022-06-06 00:00:00,0.494025,N,35.42812
so,2022-06-06 06:00:00,0.494025,N,35.429886
so,2022-06-06 12:00:00,0.494025,N,35.429016
so,2022-06-06 18:00:00,0.494025,N,35.429913
so,2022-06-07 00:00:00,0.494025,N,35.43068
so,2022-06-07 06:00:00,0.494025,N,35.430645
so,2022-06-07 12:00:00,0.494025,N,35.430607
so,2022-06-07 18:00:00,0.494025,N,35.432327
so,2022-06-08 00:00:00,0.494025,N,35.43381
so,2022-06-08 06:00:00,0.494025,N,35.431458
so,2022-06-08 12:00:00,0.494025,N,35.425312
so,2022-06-08 18:00:00,0.494025,N,35.419727
so,2022-06-09 00:00:00,0.494025,N,35.407726
so,2022-06-09 06:00:00,0.494025,N,35.39587
so,2022-06-09 12:00:00,0.494025,N,35.345383
so,2022-06-09 18:00:00,0.494025,N,35.338085
so,2022-06-10 00:00:00,0.494025,N,35.30962
so,2022-06-10 06:00:00,0.494025,N,35.28249
so,2022-06-10 12:00:00,0.494025,N,35.2724
so,2022-06-10 18:00:00,0.494025,N,35.255512
so,2022-06-11 00:00:00,0.494025,N,35.241673
so,2022-06-11 06:00:00,0.494025,N,35.241814
so,2022-06-11 12:00:00,0.494025,N,35.246155
so,2022-06-11 18:00:00,0.494025,N,35.24953
so,2022-06-12 00:00:00,0.494025,N,35.252426
so,2022-06-12 06:00:00,0.494025,N,35.250458
so,2022-06-12 12:00:00,0.494025,N,35.252647
so,2022-06-12 18:00:00,0.494025,N,35.256733
so,2022-06-13 00:00:00,0.494025,N,35.261814
so,2022-06-13 06:00:00,0.494025,N,35.267506
so,2022-06-13 12:00:00,0.494025,N,35.272858
so,2022-06-13 18:00:00,0.494025,N,35.27708
so,2022-06-14 00:00:00,0.494025,N,35.279606
so,2022-06-14 06:00:00,0.494025,N,35.28336
so,2022-06-14 12:00:00,0.494025,N,35.28555
so,2022-06-14 18:00:00,0.494025,N,35.284256
so,2022-06-15 00:00:00,0.494025,N,35.28037
so,2022-06-15 06:00:00,0.494025,N,35.27932
so,2022-06-15 12:00:00,0.494025,N,35.27486
so,2022-06-15 18:00:00,0.494025,N,35.269253
so,2022-06-16 00:00:00,0.494025,N,35.262066
so,2022-06-16 06:00:00,0.494025,N,35.257595
so,2022-06-16 12:00:00,0.494025,N,35.254673
so,2022-06-16 18:00:00,0.494025,N,35.24838
so,2022-06-17 00:00:00,0.494025,N,35.243916
so,2022-06-17 06:00:00,0.494025,N,35.231453
so,2022-06-17 12:00:00,0.494025,N,35.224064
so,2022-06-17 18:00:00,0.494025,N,35.220455
so,2022-06-18 00:00:00,0.494025,N,35.215218
so,2022-06-18 06:00:00,0.494025,N,35.20793
so,2022-06-18 12:00:00,0.494025,N,35.205257
so,2022-06-18 18:00:00,0.494025,N,35.20205
so,2022-06-19 00:00:00,0.494025,N,35.2061
so,2022-06-19 06:00:00,0.494025,N,35.21074
so,2022-06-19 12:00:00,0.494025,N,35.215755
so,2022-06-19 18:00:00,0.494025,N,35.221333
