Variable,Date,Depth,QC,Data
nppv,2021-11-01 00:00:00,0.49402538,N,3.8639586
nppv,2021-11-02 00:00:00,0.49402538,N,3.8534248
nppv,2021-11-03 00:00:00,0.49402538,N,3.4455385
nppv,2021-11-04 00:00:00,0.49402538,N,3.1280675
nppv,2021-11-05 00:00:00,0.49402538,N,3.0387905
nppv,2021-11-06 00:00:00,0.49402538,N,2.9919949
nppv,2021-11-07 00:00:00,0.49402538,N,3.022442
nppv,2021-11-08 00:00:00,0.49402538,N,3.0460024
nppv,2021-11-09 00:00:00,0.49402538,N,3.0049832
nppv,2021-11-10 00:00:00,0.49402538,N,3.0238943
nppv,2021-11-11 00:00:00,0.49402538,N,3.1473885
nppv,2021-11-12 00:00:00,0.49402538,N,3.112843
nppv,2021-11-13 00:00:00,0.49402538,N,2.798355
nppv,2021-11-14 00:00:00,0.49402538,N,2.549305
nppv,2021-11-15 00:00:00,0.49402538,N,2.4743853
nppv,2021-11-16 00:00:00,0.49402538,N,2.332319
nppv,2021-11-17 00:00:00,0.49402538,N,2.0928068
nppv,2021-11-18 00:00:00,0.49402538,N,1.9532136
nppv,2021-11-19 00:00:00,0.49402538,N,1.9391643
nppv,2021-11-20 00:00:00,0.49402538,N,2.0422156
nppv,2021-11-21 00:00:00,0.49402538,N,2.198453
nppv,2021-11-22 00:00:00,0.49402538,N,2.3749971
nppv,2021-11-23 00:00:00,0.49402538,N,2.447024
nppv,2021-11-24 00:00:00,0.49402538,N,2.415782
nppv,2021-11-25 00:00:00,0.49402538,N,2.322823
nppv,2021-11-26 00:00:00,0.49402538,N,2.2229807
nppv,2021-11-27 00:00:00,0.49402538,N,2.3300643
nppv,2021-11-28 00:00:00,0.49402538,N,2.0817282
nppv,2021-11-29 00:00:00,0.49402538,N,1.8245286
nppv,2021-11-30 00:00:00,0.49402538,N,1.7816327
nppv,2021-12-01 00:00:00,0.49402538,N,1.8328032
nppv,2021-12-02 00:00:00,0.49402538,N,2.0419545
nppv,2021-12-03 00:00:00,0.49402538,N,2.329939
nppv,2021-12-04 00:00:00,0.49402538,N,2.4078615
nppv,2021-12-05 00:00:00,0.49402538,N,2.5089037
nppv,2021-12-06 00:00:00,0.49402538,N,2.9020913
nppv,2021-12-07 00:00:00,0.49402538,N,2.8062553
nppv,2021-12-08 00:00:00,0.49402538,N,2.4615407
nppv,2021-12-09 00:00:00,0.49402538,N,2.0538568
nppv,2021-12-10 00:00:00,0.49402538,N,1.7626845
nppv,2021-12-11 00:00:00,0.49402538,N,1.6685972
nppv,2021-12-12 00:00:00,0.49402538,N,1.7006721
nppv,2021-12-13 00:00:00,0.49402538,N,1.723801
nppv,2021-12-14 00:00:00,0.49402538,N,1.799875
nppv,2021-12-15 00:00:00,0.49402538,N,1.9089171
nppv,2021-12-16 00:00:00,0.49402538,N,1.9375796
nppv,2021-12-17 00:00:00,0.49402538,N,1.8769611
nppv,2021-12-18 00:00:00,0.49402538,N,1.8367852
nppv,2021-12-19 00:00:00,0.49402538,N,1.7606858
nppv,2021-12-20 00:00:00,0.49402538,N,1.581107
nppv,2021-12-21 00:00:00,0.49402538,N,1.5311158
nppv,2021-12-22 00:00:00,0.49402538,N,1.5434042
nppv,2021-12-23 00:00:00,0.49402538,N,1.5178415
nppv,2021-12-24 00:00:00,0.49402538,N,1.3919075
nppv,2021-12-25 00:00:00,0.49402538,N,1.3548615
nppv,2021-12-26 00:00:00,0.49402538,N,1.4872472
nppv,2021-12-27 00:00:00,0.49402538,N,1.7989993
nppv,2021-12-28 00:00:00,0.49402538,N,1.9315057
nppv,2021-12-29 00:00:00,0.49402538,N,1.7343498
nppv,2021-12-30 00:00:00,0.49402538,N,1.49231
nppv,2021-12-31 00:00:00,0.49402538,N,1.3644148
nppv,2022-01-01 00:00:00,0.49402538,N,1.3752604
nppv,2022-01-02 00:00:00,0.49402538,N,1.4428589
nppv,2022-01-03 00:00:00,0.49402538,N,1.4666603
nppv,2022-01-04 00:00:00,0.49402538,N,1.4136167
nppv,2022-01-05 00:00:00,0.49402538,N,1.3940103
nppv,2022-01-06 00:00:00,0.49402538,N,1.3298771
