Variable,Date,Depth,QC,Data
o2,2021-11-01 00:00:00,0.49402538,N,7.646766080000001
o2,2021-11-02 00:00:00,0.49402538,N,7.64869088
o2,2021-11-03 00:00:00,0.49402538,N,7.64324512
o2,2021-11-04 00:00:00,0.49402538,N,7.6367296
o2,2021-11-05 00:00:00,0.49402538,N,7.63844864
o2,2021-11-06 00:00:00,0.49402538,N,7.6408000000000005
o2,2021-11-07 00:00:00,0.49402538,N,7.64201376
o2,2021-11-08 00:00:00,0.49402538,N,7.6405638399999996
o2,2021-11-09 00:00:00,0.49402538,N,7.6366272
o2,2021-11-10 00:00:00,0.49402538,N,7.63205376
o2,2021-11-11 00:00:00,0.49402538,N,7.626769599999999
o2,2021-11-12 00:00:00,0.49402538,N,7.621336
o2,2021-11-13 00:00:00,0.49402538,N,7.61446592
o2,2021-11-14 00:00:00,0.49402538,N,7.6066592
o2,2021-11-15 00:00:00,0.49402538,N,7.59679296
o2,2021-11-16 00:00:00,0.49402538,N,7.5824630399999995
o2,2021-11-17 00:00:00,0.49402538,N,7.5663328000000005
o2,2021-11-18 00:00:00,0.49402538,N,7.56097408
o2,2021-11-19 00:00:00,0.49402538,N,7.55722112
o2,2021-11-20 00:00:00,0.49402538,N,7.54739168
o2,2021-11-21 00:00:00,0.49402538,N,7.52884416
o2,2021-11-22 00:00:00,0.49402538,N,7.53055872
o2,2021-11-23 00:00:00,0.49402538,N,7.5231088
o2,2021-11-24 00:00:00,0.49402538,N,7.51065088
o2,2021-11-25 00:00:00,0.49402538,N,7.497584
o2,2021-11-26 00:00:00,0.49402538,N,7.482135680000001
o2,2021-11-27 00:00:00,0.49402538,N,7.4649824
o2,2021-11-28 00:00:00,0.49402538,N,7.4394143999999995
o2,2021-11-29 00:00:00,0.49402538,N,7.43520448
o2,2021-11-30 00:00:00,0.49402538,N,7.442169600000001
o2,2021-12-01 00:00:00,0.49402538,N,7.43893696
o2,2021-12-02 00:00:00,0.49402538,N,7.43380768
o2,2021-12-03 00:00:00,0.49402538,N,7.4284096
o2,2021-12-04 00:00:00,0.49402538,N,7.42245792
o2,2021-12-05 00:00:00,0.49402538,N,7.41483872
o2,2021-12-06 00:00:00,0.49402538,N,7.409048
o2,2021-12-07 00:00:00,0.49402538,N,7.3986048
o2,2021-12-08 00:00:00,0.49402538,N,7.3755577599999995
