Variable,Date,Depth,QC,Data
nppv,2021-11-01 00:00:00,0.49402538,N,12.582633
nppv,2021-11-02 00:00:00,0.49402538,N,11.006094
nppv,2021-11-03 00:00:00,0.49402538,N,9.851647
nppv,2021-11-04 00:00:00,0.49402538,N,10.628166
nppv,2021-11-05 00:00:00,0.49402538,N,11.636593
nppv,2021-11-06 00:00:00,0.49402538,N,11.177227
nppv,2021-11-07 00:00:00,0.49402538,N,10.737354
nppv,2021-11-08 00:00:00,0.49402538,N,9.82755
nppv,2021-11-09 00:00:00,0.49402538,N,9.428024
nppv,2021-11-10 00:00:00,0.49402538,N,9.081764
nppv,2021-11-11 00:00:00,0.49402538,N,8.769701
nppv,2021-11-12 00:00:00,0.49402538,N,8.03886
nppv,2021-11-13 00:00:00,0.49402538,N,7.852253
nppv,2021-11-14 00:00:00,0.49402538,N,7.56367
nppv,2021-11-15 00:00:00,0.49402538,N,7.6828547
nppv,2021-11-16 00:00:00,0.49402538,N,7.8269005
nppv,2021-11-17 00:00:00,0.49402538,N,7.3035603
nppv,2021-11-18 00:00:00,0.49402538,N,7.6456995
nppv,2021-11-19 00:00:00,0.49402538,N,8.580139
nppv,2021-11-20 00:00:00,0.49402538,N,7.557477
nppv,2021-11-21 00:00:00,0.49402538,N,7.188158
nppv,2021-11-22 00:00:00,0.49402538,N,8.217772
nppv,2021-11-23 00:00:00,0.49402538,N,7.3238564
nppv,2021-11-24 00:00:00,0.49402538,N,6.5931234
nppv,2021-11-25 00:00:00,0.49402538,N,6.164074
nppv,2021-11-26 00:00:00,0.49402538,N,5.982665
nppv,2021-11-27 00:00:00,0.49402538,N,6.227664
nppv,2021-11-28 00:00:00,0.49402538,N,5.86718
nppv,2021-11-29 00:00:00,0.49402538,N,5.9297814
nppv,2021-11-30 00:00:00,0.49402538,N,7.0711603
nppv,2021-12-01 00:00:00,0.49402538,N,6.488982
nppv,2021-12-02 00:00:00,0.49402538,N,6.06102
nppv,2021-12-03 00:00:00,0.49402538,N,5.440237
nppv,2021-12-04 00:00:00,0.49402538,N,4.8458853
nppv,2021-12-05 00:00:00,0.49402538,N,4.800623
nppv,2021-12-06 00:00:00,0.49402538,N,4.643116
nppv,2021-12-07 00:00:00,0.49402538,N,4.1606236
nppv,2021-12-08 00:00:00,0.49402538,N,4.234811
nppv,2021-12-09 00:00:00,0.49402538,N,3.9677517
nppv,2021-12-10 00:00:00,0.49402538,N,3.7378025
nppv,2021-12-11 00:00:00,0.49402538,N,3.7889144
nppv,2021-12-12 00:00:00,0.49402538,N,4.479456
nppv,2021-12-13 00:00:00,0.49402538,N,4.359292
nppv,2021-12-14 00:00:00,0.49402538,N,4.173127
nppv,2021-12-15 00:00:00,0.49402538,N,4.0047774
nppv,2021-12-16 00:00:00,0.49402538,N,3.7041793
nppv,2021-12-17 00:00:00,0.49402538,N,3.5775762
nppv,2021-12-18 00:00:00,0.49402538,N,3.5572877
nppv,2021-12-19 00:00:00,0.49402538,N,3.3625636
nppv,2021-12-20 00:00:00,0.49402538,N,3.4275737
nppv,2021-12-21 00:00:00,0.49402538,N,3.3688068
