Variable,Date,Depth,QC,Data
talk,2021-11-01 00:00:00,0.49402538,N,240.90271749000001
talk,2021-11-02 00:00:00,0.49402538,N,240.923966597
talk,2021-11-03 00:00:00,0.49402538,N,240.94515565
talk,2021-11-04 00:00:00,0.49402538,N,240.966394748
talk,2021-11-05 00:00:00,0.49402538,N,240.987633846
talk,2021-11-06 00:00:00,0.49402538,N,241.008842917
talk,2021-11-07 00:00:00,0.49402538,N,241.01686012599998
talk,2021-11-08 00:00:00,0.49402538,N,241.02485731700003
talk,2021-11-09 00:00:00,0.49402538,N,241.03285450799999
talk,2021-11-10 00:00:00,0.49402538,N,241.04084169
talk,2021-11-11 00:00:00,0.49402538,N,241.04885889900004
talk,2021-11-12 00:00:00,0.49402538,N,241.05685609
talk,2021-11-13 00:00:00,0.49402538,N,241.06486329
talk,2021-11-14 00:00:00,0.49402538,N,241.06736554000003
talk,2021-11-15 00:00:00,0.49402538,N,241.06986779000002
talk,2021-11-16 00:00:00,0.49402538,N,241.07237004
talk,2021-11-17 00:00:00,0.49402538,N,241.07487229
talk,2021-11-18 00:00:00,0.49402538,N,241.07737454
talk,2021-11-19 00:00:00,0.49402538,N,241.07990681700002
talk,2021-11-20 00:00:00,0.49402538,N,241.082389049
talk,2021-11-21 00:00:00,0.49402538,N,241.084300768
talk,2021-11-22 00:00:00,0.49402538,N,241.08616244200002
talk,2021-11-23 00:00:00,0.49402538,N,241.088044134
talk,2021-11-24 00:00:00,0.49402538,N,241.08995585300002
talk,2021-11-25 00:00:00,0.49402538,N,241.091837545
talk,2021-11-26 00:00:00,0.49402538,N,241.09372924600004
talk,2021-11-27 00:00:00,0.49402538,N,241.09561093800002
talk,2021-11-28 00:00:00,0.49402538,N,241.07776489100002
talk,2021-11-29 00:00:00,0.49402538,N,241.059908835
talk,2021-11-30 00:00:00,0.49402538,N,241.042082806
talk,2021-12-01 00:00:00,0.49402538,N,241.02422675000003
talk,2021-12-02 00:00:00,0.49402538,N,241.006390712
talk,2021-12-03 00:00:00,0.49402538,N,240.98856468300002
talk,2021-12-04 00:00:00,0.49402538,N,240.970708627
talk,2021-12-05 00:00:00,0.49402538,N,240.97087878
talk,2021-12-06 00:00:00,0.49402538,N,240.97104893300002
talk,2021-12-07 00:00:00,0.49402538,N,240.97123910400003
talk,2021-12-08 00:00:00,0.49402538,N,240.97142927500002
talk,2021-12-09 00:00:00,0.49402538,N,240.97158941900003
talk,2021-12-10 00:00:00,0.49402538,N,240.97177959000004
talk,2021-12-11 00:00:00,0.49402538,N,240.971949743
talk,2021-12-12 00:00:00,0.49402538,N,240.996151505
talk,2021-12-13 00:00:00,0.49402538,N,241.02034325800003
talk,2021-12-14 00:00:00,0.49402538,N,241.04454502000002
talk,2021-12-15 00:00:00,0.49402538,N,241.06873677299998
talk,2021-12-16 00:00:00,0.49402538,N,241.09293853500003
talk,2021-12-17 00:00:00,0.49402538,N,241.11711026999998
talk,2021-12-18 00:00:00,0.49402538,N,241.14131203200003
talk,2021-12-19 00:00:00,0.49402538,N,241.18662277500002
talk,2021-12-20 00:00:00,0.49402538,N,241.23189348200003
talk,2021-12-21 00:00:00,0.49402538,N,241.27721423399998
talk,2021-12-22 00:00:00,0.49402538,N,241.32249495000002
talk,2021-12-23 00:00:00,0.49402538,N,241.36779568400001
talk,2021-12-24 00:00:00,0.49402538,N,241.413116436
talk,2021-12-25 00:00:00,0.49402538,N,241.45841717
talk,2021-12-26 00:00:00,0.49402538,N,241.45781663
talk,2021-12-27 00:00:00,0.49402538,N,241.45721609
talk,2021-12-28 00:00:00,0.49402538,N,241.456595532
talk,2021-12-29 00:00:00,0.49402538,N,241.45601501000002
talk,2021-12-30 00:00:00,0.49402538,N,241.45541447000002
talk,2021-12-31 00:00:00,0.49402538,N,241.454803921
talk,2022-01-01 00:00:00,0.49402538,N,241.454233408
talk,2022-01-02 00:00:00,0.49402538,N,241.444664804
talk,2022-01-03 00:00:00,0.49402538,N,241.435116218
talk,2022-01-04 00:00:00,0.49402538,N,241.425547614
talk,2022-01-05 00:00:00,0.49402538,N,241.415999028
talk,2022-01-06 00:00:00,0.49402538,N,241.406430424
talk,2022-01-07 00:00:00,0.49402538,N,241.39688183799998
talk,2022-01-08 00:00:00,0.49402538,N,241.38734326099998
talk,2022-01-09 00:00:00,0.49402538,N,241.39886362
talk,2022-01-10 00:00:00,0.49402538,N,241.41041400600002
talk,2022-01-11 00:00:00,0.49402538,N,241.421964392
talk,2022-01-12 00:00:00,0.49402538,N,241.433534796
talk,2022-01-13 00:00:00,0.49402538,N,241.44508518199999
talk,2022-01-14 00:00:00,0.49402538,N,241.45663556800002
talk,2022-01-15 00:00:00,0.49402538,N,241.468185954
talk,2022-01-16 00:00:00,0.49402538,N,241.47768449500003
talk,2022-01-17 00:00:00,0.49402538,N,241.48724309000002
talk,2022-01-18 00:00:00,0.49402538,N,241.496731622
talk,2022-01-19 00:00:00,0.49402538,N,241.50626019
talk,2022-01-20 00:00:00,0.49402538,N,241.515798767
talk,2022-01-21 00:00:00,0.49402538,N,241.52529730800003
talk,2022-01-22 00:00:00,0.49402538,N,241.534815867
talk,2022-01-23 00:00:00,0.49402538,N,241.52309532800004
talk,2022-01-24 00:00:00,0.49402538,N,241.511384798
talk,2022-01-25 00:00:00,0.49402538,N,241.49968427700003
talk,2022-01-26 00:00:00,0.49402538,N,241.48797374699998
talk,2022-01-27 00:00:00,0.49402538,N,241.476253208
talk,2022-01-28 00:00:00,0.49402538,N,241.46454267800002
talk,2022-01-29 00:00:00,0.49402538,N,241.45284215700002
