Variable,Date,Depth,QC,Data
ph,2021-11-01 00:00:00,0.49402538,N,8.096558
ph,2021-11-02 00:00:00,0.49402538,N,8.097741
ph,2021-11-03 00:00:00,0.49402538,N,8.094107
ph,2021-11-04 00:00:00,0.49402538,N,8.092988
ph,2021-11-05 00:00:00,0.49402538,N,8.094582
ph,2021-11-06 00:00:00,0.49402538,N,8.09446
ph,2021-11-07 00:00:00,0.49402538,N,8.095259
ph,2021-11-08 00:00:00,0.49402538,N,8.095549
ph,2021-11-09 00:00:00,0.49402538,N,8.0960045
ph,2021-11-10 00:00:00,0.49402538,N,8.095619
ph,2021-11-11 00:00:00,0.49402538,N,8.095084
ph,2021-11-12 00:00:00,0.49402538,N,8.094855
ph,2021-11-13 00:00:00,0.49402538,N,8.093525
ph,2021-11-14 00:00:00,0.49402538,N,8.091463
ph,2021-11-15 00:00:00,0.49402538,N,8.085119
ph,2021-11-16 00:00:00,0.49402538,N,8.079139
ph,2021-11-17 00:00:00,0.49402538,N,8.075748
ph,2021-11-18 00:00:00,0.49402538,N,8.077347
ph,2021-11-19 00:00:00,0.49402538,N,8.081232
ph,2021-11-20 00:00:00,0.49402538,N,8.079417
ph,2021-11-21 00:00:00,0.49402538,N,8.076552
ph,2021-11-22 00:00:00,0.49402538,N,8.077923
ph,2021-11-23 00:00:00,0.49402538,N,8.079866
ph,2021-11-24 00:00:00,0.49402538,N,8.07783
ph,2021-11-25 00:00:00,0.49402538,N,8.07568
ph,2021-11-26 00:00:00,0.49402538,N,8.07357
ph,2021-11-27 00:00:00,0.49402538,N,8.0673895
ph,2021-11-28 00:00:00,0.49402538,N,8.061798
ph,2021-11-29 00:00:00,0.49402538,N,8.064957
ph,2021-11-30 00:00:00,0.49402538,N,8.071425
ph,2021-12-01 00:00:00,0.49402538,N,8.07385
ph,2021-12-02 00:00:00,0.49402538,N,8.074859
ph,2021-12-03 00:00:00,0.49402538,N,8.0755825
ph,2021-12-04 00:00:00,0.49402538,N,8.0745535
ph,2021-12-05 00:00:00,0.49402538,N,8.073059
ph,2021-12-06 00:00:00,0.49402538,N,8.073945
ph,2021-12-07 00:00:00,0.49402538,N,8.073603
ph,2021-12-08 00:00:00,0.49402538,N,8.068162
ph,2021-12-09 00:00:00,0.49402538,N,8.064475
ph,2021-12-10 00:00:00,0.49402538,N,8.066172
ph,2021-12-11 00:00:00,0.49402538,N,8.067666
ph,2021-12-12 00:00:00,0.49402538,N,8.069227
ph,2021-12-13 00:00:00,0.49402538,N,8.071337
ph,2021-12-14 00:00:00,0.49402538,N,8.072197
