Variable,Date,Depth,QC,Data
ph,2021-11-01 00:00:00,0.49402538,N,8.102019
ph,2021-11-02 00:00:00,0.49402538,N,8.103417
ph,2021-11-03 00:00:00,0.49402538,N,8.099724
ph,2021-11-04 00:00:00,0.49402538,N,8.097901
ph,2021-11-05 00:00:00,0.49402538,N,8.0992775
ph,2021-11-06 00:00:00,0.49402538,N,8.099579
ph,2021-11-07 00:00:00,0.49402538,N,8.100568
ph,2021-11-08 00:00:00,0.49402538,N,8.100675
ph,2021-11-09 00:00:00,0.49402538,N,8.100915
ph,2021-11-10 00:00:00,0.49402538,N,8.100274
ph,2021-11-11 00:00:00,0.49402538,N,8.099143
ph,2021-11-12 00:00:00,0.49402538,N,8.098026
ph,2021-11-13 00:00:00,0.49402538,N,8.096456
ph,2021-11-14 00:00:00,0.49402538,N,8.094772
ph,2021-11-15 00:00:00,0.49402538,N,8.089008
ph,2021-11-16 00:00:00,0.49402538,N,8.082599
ph,2021-11-17 00:00:00,0.49402538,N,8.078097
ph,2021-11-18 00:00:00,0.49402538,N,8.078889
ph,2021-11-19 00:00:00,0.49402538,N,8.082652
ph,2021-11-20 00:00:00,0.49402538,N,8.080655
ph,2021-11-21 00:00:00,0.49402538,N,8.07746
ph,2021-11-22 00:00:00,0.49402538,N,8.079018
ph,2021-11-23 00:00:00,0.49402538,N,8.080488
ph,2021-11-24 00:00:00,0.49402538,N,8.077682
ph,2021-11-25 00:00:00,0.49402538,N,8.074712
ph,2021-11-26 00:00:00,0.49402538,N,8.071828
ph,2021-11-27 00:00:00,0.49402538,N,8.065617
ph,2021-11-28 00:00:00,0.49402538,N,8.059865
ph,2021-11-29 00:00:00,0.49402538,N,8.062404
ph,2021-11-30 00:00:00,0.49402538,N,8.068482
ph,2021-12-01 00:00:00,0.49402538,N,8.070911
ph,2021-12-02 00:00:00,0.49402538,N,8.072178
ph,2021-12-03 00:00:00,0.49402538,N,8.073475
ph,2021-12-04 00:00:00,0.49402538,N,8.072939
ph,2021-12-05 00:00:00,0.49402538,N,8.07151
ph,2021-12-06 00:00:00,0.49402538,N,8.072303
ph,2021-12-07 00:00:00,0.49402538,N,8.071641
ph,2021-12-08 00:00:00,0.49402538,N,8.064991
ph,2021-12-09 00:00:00,0.49402538,N,8.061035
ph,2021-12-10 00:00:00,0.49402538,N,8.06324
ph,2021-12-11 00:00:00,0.49402538,N,8.06387
ph,2021-12-12 00:00:00,0.49402538,N,8.064639
ph,2021-12-13 00:00:00,0.49402538,N,8.066341
ph,2021-12-14 00:00:00,0.49402538,N,8.067262
ph,2021-12-15 00:00:00,0.49402538,N,8.068977
ph,2021-12-16 00:00:00,0.49402538,N,8.069808
ph,2021-12-17 00:00:00,0.49402538,N,8.069785
ph,2021-12-18 00:00:00,0.49402538,N,8.069346
