Variable,Date,Depth,QC,Data
spco2,2021-11-01 00:00:00,0,N,33.65324
spco2,2021-11-02 00:00:00,0,N,33.49963
spco2,2021-11-03 00:00:00,0,N,33.783257
spco2,2021-11-04 00:00:00,0,N,33.97899
spco2,2021-11-05 00:00:00,0,N,33.900566
spco2,2021-11-06 00:00:00,0,N,33.88061
spco2,2021-11-07 00:00:00,0,N,33.81668
spco2,2021-11-08 00:00:00,0,N,33.84275
spco2,2021-11-09 00:00:00,0,N,33.888596
spco2,2021-11-10 00:00:00,0,N,34.01964
spco2,2021-11-11 00:00:00,0,N,34.131443
spco2,2021-11-12 00:00:00,0,N,34.273743
spco2,2021-11-13 00:00:00,0,N,34.46793
spco2,2021-11-14 00:00:00,0,N,34.614777
spco2,2021-11-15 00:00:00,0,N,35.05287
spco2,2021-11-16 00:00:00,0,N,35.605644
spco2,2021-11-17 00:00:00,0,N,35.90365
spco2,2021-11-18 00:00:00,0,N,35.655037
spco2,2021-11-19 00:00:00,0,N,35.34424
spco2,2021-11-20 00:00:00,0,N,35.665333
spco2,2021-11-21 00:00:00,0,N,36.063076
spco2,2021-11-22 00:00:00,0,N,35.892906
spco2,2021-11-23 00:00:00,0,N,35.789368
spco2,2021-11-24 00:00:00,0,N,36.104935
spco2,2021-11-25 00:00:00,0,N,36.37467
spco2,2021-11-26 00:00:00,0,N,36.717175
spco2,2021-11-27 00:00:00,0,N,37.495495
spco2,2021-11-28 00:00:00,0,N,38.096664
spco2,2021-11-29 00:00:00,0,N,37.784134
spco2,2021-11-30 00:00:00,0,N,37.16317
spco2,2021-12-01 00:00:00,0,N,36.913574
spco2,2021-12-02 00:00:00,0,N,36.761337
spco2,2021-12-03 00:00:00,0,N,36.581333
spco2,2021-12-04 00:00:00,0,N,36.624016
spco2,2021-12-05 00:00:00,0,N,36.75219
spco2,2021-12-06 00:00:00,0,N,36.714783
spco2,2021-12-07 00:00:00,0,N,36.85949
spco2,2021-12-08 00:00:00,0,N,37.613632
spco2,2021-12-09 00:00:00,0,N,38.03197
spco2,2021-12-10 00:00:00,0,N,37.86302
spco2,2021-12-11 00:00:00,0,N,37.873493
spco2,2021-12-12 00:00:00,0,N,37.68294
spco2,2021-12-13 00:00:00,0,N,37.403534
spco2,2021-12-14 00:00:00,0,N,37.213684
spco2,2021-12-15 00:00:00,0,N,36.952507
spco2,2021-12-16 00:00:00,0,N,36.798286
spco2,2021-12-17 00:00:00,0,N,36.720688
spco2,2021-12-18 00:00:00,0,N,36.6565
spco2,2021-12-19 00:00:00,0,N,36.931267
spco2,2021-12-20 00:00:00,0,N,37.107365
spco2,2021-12-21 00:00:00,0,N,37.011723
spco2,2021-12-22 00:00:00,0,N,37.073822
spco2,2021-12-23 00:00:00,0,N,37.264126
spco2,2021-12-24 00:00:00,0,N,37.437588
spco2,2021-12-25 00:00:00,0,N,37.890198
spco2,2021-12-26 00:00:00,0,N,38.7031
spco2,2021-12-27 00:00:00,0,N,39.406647
spco2,2021-12-28 00:00:00,0,N,40.050114
spco2,2021-12-29 00:00:00,0,N,40.464355
spco2,2021-12-30 00:00:00,0,N,40.064384
spco2,2021-12-31 00:00:00,0,N,39.30979
spco2,2022-01-01 00:00:00,0,N,38.72921
spco2,2022-01-02 00:00:00,0,N,38.430195
spco2,2022-01-03 00:00:00,0,N,38.411488
spco2,2022-01-04 00:00:00,0,N,38.52087
spco2,2022-01-05 00:00:00,0,N,38.84632
spco2,2022-01-06 00:00:00,0,N,39.156517
spco2,2022-01-07 00:00:00,0,N,39.24202
spco2,2022-01-08 00:00:00,0,N,39.136158
spco2,2022-01-09 00:00:00,0,N,38.77648
spco2,2022-01-10 00:00:00,0,N,38.550323
spco2,2022-01-11 00:00:00,0,N,38.754578
spco2,2022-01-12 00:00:00,0,N,39.109715
spco2,2022-01-13 00:00:00,0,N,39.135155
spco2,2022-01-14 00:00:00,0,N,39.08466
spco2,2022-01-15 00:00:00,0,N,39.118584
spco2,2022-01-16 00:00:00,0,N,38.94388
spco2,2022-01-17 00:00:00,0,N,38.88819
spco2,2022-01-18 00:00:00,0,N,39.522064
spco2,2022-01-19 00:00:00,0,N,40.211372
spco2,2022-01-20 00:00:00,0,N,40.70578
spco2,2022-01-21 00:00:00,0,N,41.170517
spco2,2022-01-22 00:00:00,0,N,41.545486
spco2,2022-01-23 00:00:00,0,N,41.761635
spco2,2022-01-24 00:00:00,0,N,41.17161
spco2,2022-01-25 00:00:00,0,N,40.45069
spco2,2022-01-26 00:00:00,0,N,40.185688
spco2,2022-01-27 00:00:00,0,N,39.9788
spco2,2022-01-28 00:00:00,0,N,39.808746
spco2,2022-01-29 00:00:00,0,N,40.129383
spco2,2022-01-30 00:00:00,0,N,40.2443
spco2,2022-01-31 00:00:00,0,N,39.859013
spco2,2022-02-01 00:00:00,0,N,39.5532
spco2,2022-02-02 00:00:00,0,N,39.45936
spco2,2022-02-03 00:00:00,0,N,39.905212
spco2,2022-02-04 00:00:00,0,N,40.4233
spco2,2022-02-05 00:00:00,0,N,41.089516
spco2,2022-02-06 00:00:00,0,N,41.00938
spco2,2022-02-07 00:00:00,0,N,40.017982
spco2,2022-02-08 00:00:00,0,N,39.92054
spco2,2022-02-09 00:00:00,0,N,39.96738
spco2,2022-02-10 00:00:00,0,N,39.935055
spco2,2022-02-11 00:00:00,0,N,40.342648
spco2,2022-02-12 00:00:00,0,N,40.287266
spco2,2022-02-13 00:00:00,0,N,40.076946
spco2,2022-02-14 00:00:00,0,N,40.46827
spco2,2022-02-15 00:00:00,0,N,41.140747
spco2,2022-02-16 00:00:00,0,N,41.53353
spco2,2022-02-17 00:00:00,0,N,41.510086
spco2,2022-02-18 00:00:00,0,N,41.592304
spco2,2022-02-19 00:00:00,0,N,41.804276
spco2,2022-02-20 00:00:00,0,N,41.61683
spco2,2022-02-21 00:00:00,0,N,41.471283
spco2,2022-02-22 00:00:00,0,N,41.377136
spco2,2022-02-23 00:00:00,0,N,41.080315
spco2,2022-02-24 00:00:00,0,N,40.93551
spco2,2022-02-25 00:00:00,0,N,41.017128
spco2,2022-02-26 00:00:00,0,N,40.982758
spco2,2022-02-27 00:00:00,0,N,40.820057
spco2,2022-02-28 00:00:00,0,N,40.943943
spco2,2022-03-01 00:00:00,0,N,40.93563
spco2,2022-03-02 00:00:00,0,N,40.5453
spco2,2022-03-03 00:00:00,0,N,40.185272
spco2,2022-03-04 00:00:00,0,N,39.95639
spco2,2022-03-05 00:00:00,0,N,39.93797
spco2,2022-03-06 00:00:00,0,N,40.120846
spco2,2022-03-07 00:00:00,0,N,40.17849
spco2,2022-03-08 00:00:00,0,N,40.153202
spco2,2022-03-09 00:00:00,0,N,40.302917
spco2,2022-03-10 00:00:00,0,N,40.553295
spco2,2022-03-11 00:00:00,0,N,40.6982
spco2,2022-03-12 00:00:00,0,N,40.839436
spco2,2022-03-13 00:00:00,0,N,41.21828
spco2,2022-03-14 00:00:00,0,N,41.4847
spco2,2022-03-15 00:00:00,0,N,41.23986
spco2,2022-03-16 00:00:00,0,N,40.881756
spco2,2022-03-17 00:00:00,0,N,40.96024
spco2,2022-03-18 00:00:00,0,N,41.17809
spco2,2022-03-19 00:00:00,0,N,40.93085
spco2,2022-03-20 00:00:00,0,N,40.59587
spco2,2022-03-21 00:00:00,0,N,40.33625
spco2,2022-03-22 00:00:00,0,N,40.002373
spco2,2022-03-23 00:00:00,0,N,39.729637
spco2,2022-03-24 00:00:00,0,N,39.559
spco2,2022-03-25 00:00:00,0,N,39.67658
spco2,2022-03-26 00:00:00,0,N,39.87954
spco2,2022-03-27 00:00:00,0,N,39.601746
spco2,2022-03-28 00:00:00,0,N,39.172634
spco2,2022-03-29 00:00:00,0,N,39.05516
spco2,2022-03-30 00:00:00,0,N,39.13389
spco2,2022-03-31 00:00:00,0,N,39.21733
spco2,2022-04-01 00:00:00,0,N,39.20405
spco2,2022-04-02 00:00:00,0,N,39.423286
spco2,2022-04-03 00:00:00,0,N,39.733322
spco2,2022-04-04 00:00:00,0,N,39.57257
spco2,2022-04-05 00:00:00,0,N,39.196888
spco2,2022-04-06 00:00:00,0,N,39.06031
spco2,2022-04-07 00:00:00,0,N,39.084614
spco2,2022-04-08 00:00:00,0,N,39.08847
spco2,2022-04-09 00:00:00,0,N,38.81942
spco2,2022-04-10 00:00:00,0,N,38.477783
spco2,2022-04-11 00:00:00,0,N,38.29372
spco2,2022-04-12 00:00:00,0,N,38.151497
spco2,2022-04-13 00:00:00,0,N,37.985302
spco2,2022-04-14 00:00:00,0,N,37.869457
spco2,2022-04-15 00:00:00,0,N,37.87167
spco2,2022-04-16 00:00:00,0,N,37.819633
spco2,2022-04-17 00:00:00,0,N,37.599182
spco2,2022-04-18 00:00:00,0,N,37.4466
spco2,2022-04-19 00:00:00,0,N,37.409977
spco2,2022-04-20 00:00:00,0,N,37.30944
spco2,2022-04-21 00:00:00,0,N,37.113705
spco2,2022-04-22 00:00:00,0,N,36.92054
spco2,2022-04-23 00:00:00,0,N,36.779293
spco2,2022-04-24 00:00:00,0,N,36.769604
spco2,2022-04-25 00:00:00,0,N,36.78943
spco2,2022-04-26 00:00:00,0,N,36.668625
spco2,2022-04-27 00:00:00,0,N,36.469067
spco2,2022-04-28 00:00:00,0,N,36.225662
spco2,2022-04-29 00:00:00,0,N,36.086548
spco2,2022-04-30 00:00:00,0,N,36.044067
spco2,2022-05-01 00:00:00,0,N,35.978798
spco2,2022-05-02 00:00:00,0,N,35.969654
spco2,2022-05-03 00:00:00,0,N,35.81738
spco2,2022-05-04 00:00:00,0,N,35.499325
spco2,2022-05-05 00:00:00,0,N,35.218655
spco2,2022-05-06 00:00:00,0,N,35.017136
spco2,2022-05-07 00:00:00,0,N,34.977478
spco2,2022-05-08 00:00:00,0,N,35.109955
spco2,2022-05-09 00:00:00,0,N,35.302555
spco2,2022-05-10 00:00:00,0,N,35.35865
spco2,2022-05-11 00:00:00,0,N,35.20047
spco2,2022-05-12 00:00:00,0,N,34.855103
spco2,2022-05-13 00:00:00,0,N,34.514175
spco2,2022-05-14 00:00:00,0,N,34.377674
spco2,2022-05-15 00:00:00,0,N,34.246834
spco2,2022-05-16 00:00:00,0,N,34.071125
spco2,2022-05-17 00:00:00,0,N,34.06179
spco2,2022-05-18 00:00:00,0,N,34.423866
spco2,2022-05-19 00:00:00,0,N,35.054028
spco2,2022-05-20 00:00:00,0,N,35.513596
spco2,2022-05-21 00:00:00,0,N,35.610664
spco2,2022-05-22 00:00:00,0,N,35.560623
spco2,2022-05-23 00:00:00,0,N,35.516197
spco2,2022-05-24 00:00:00,0,N,35.29912
spco2,2022-05-25 00:00:00,0,N,35.069847
spco2,2022-05-26 00:00:00,0,N,34.970142
spco2,2022-05-27 00:00:00,0,N,34.908066
spco2,2022-05-28 00:00:00,0,N,34.91932
spco2,2022-05-29 00:00:00,0,N,34.66696
spco2,2022-05-30 00:00:00,0,N,34.323193
spco2,2022-05-31 00:00:00,0,N,34.19527
spco2,2022-06-01 00:00:00,0,N,34.156322
spco2,2022-06-02 00:00:00,0,N,34.056103
spco2,2022-06-03 00:00:00,0,N,33.835537
spco2,2022-06-04 00:00:00,0,N,33.715767
spco2,2022-06-05 00:00:00,0,N,33.698837
spco2,2022-06-06 00:00:00,0,N,33.63835
spco2,2022-06-07 00:00:00,0,N,33.58222
spco2,2022-06-08 00:00:00,0,N,33.63105
spco2,2022-06-09 00:00:00,0,N,33.798023
spco2,2022-06-10 00:00:00,0,N,33.865204
spco2,2022-06-11 00:00:00,0,N,33.886635
spco2,2022-06-12 00:00:00,0,N,33.941044
spco2,2022-06-13 00:00:00,0,N,33.6727
spco2,2022-06-14 00:00:00,0,N,33.344383
spco2,2022-06-15 00:00:00,0,N,33.181667
spco2,2022-06-16 00:00:00,0,N,33.284058
spco2,2022-06-17 00:00:00,0,N,33.581028
spco2,2022-06-18 00:00:00,0,N,33.54323
spco2,2022-06-19 00:00:00,0,N,33.287605
spco2,2022-06-20 00:00:00,0,N,33.126835
spco2,2022-06-21 00:00:00,0,N,33.061012
spco2,2022-06-22 00:00:00,0,N,33.120266
spco2,2022-06-23 00:00:00,0,N,33.348396
spco2,2022-06-24 00:00:00,0,N,33.64309
spco2,2022-06-25 00:00:00,0,N,33.950584
spco2,2022-06-26 00:00:00,0,N,34.155403
spco2,2022-06-27 00:00:00,0,N,34.211037
spco2,2022-06-28 00:00:00,0,N,33.97524
spco2,2022-06-29 00:00:00,0,N,33.541626
spco2,2022-06-30 00:00:00,0,N,33.26916
spco2,2022-07-01 00:00:00,0,N,33.24901
spco2,2022-07-02 00:00:00,0,N,33.481983
spco2,2022-07-03 00:00:00,0,N,33.641655
spco2,2022-07-04 00:00:00,0,N,33.50812
spco2,2022-07-05 00:00:00,0,N,33.335205
spco2,2022-07-06 00:00:00,0,N,33.261063
spco2,2022-07-07 00:00:00,0,N,33.230114
spco2,2022-07-08 00:00:00,0,N,33.2602
spco2,2022-07-09 00:00:00,0,N,33.335854
spco2,2022-07-10 00:00:00,0,N,33.247234
spco2,2022-07-11 00:00:00,0,N,33.08512
spco2,2022-07-12 00:00:00,0,N,32.986637
spco2,2022-07-13 00:00:00,0,N,32.84892
spco2,2022-07-14 00:00:00,0,N,32.715733
spco2,2022-07-15 00:00:00,0,N,32.535244
spco2,2022-07-16 00:00:00,0,N,32.375004
spco2,2022-07-17 00:00:00,0,N,32.199623
spco2,2022-07-18 00:00:00,0,N,32.005123
spco2,2022-07-19 00:00:00,0,N,31.860003
spco2,2022-07-20 00:00:00,0,N,31.73998
spco2,2022-07-21 00:00:00,0,N,31.611942
spco2,2022-07-22 00:00:00,0,N,31.539192
spco2,2022-07-23 00:00:00,0,N,31.567238
spco2,2022-07-24 00:00:00,0,N,31.393673
spco2,2022-07-25 00:00:00,0,N,31.164585
spco2,2022-07-26 00:00:00,0,N,31.085512
spco2,2022-07-27 00:00:00,0,N,31.266893
spco2,2022-07-28 00:00:00,0,N,31.874166
spco2,2022-07-29 00:00:00,0,N,32.4328
spco2,2022-07-30 00:00:00,0,N,32.423893
spco2,2022-07-31 00:00:00,0,N,32.18387
spco2,2022-08-01 00:00:00,0,N,32.057446
spco2,2022-08-02 00:00:00,0,N,31.842056
spco2,2022-08-03 00:00:00,0,N,31.572886
spco2,2022-08-04 00:00:00,0,N,31.389305
