Variable,Date,Depth,QC,Data
fe,2021-11-01 00:00:00,0.49402538,N,5.2330205052e-05
fe,2021-11-02 00:00:00,0.49402538,N,5.90436396495e-05
fe,2021-11-03 00:00:00,0.49402538,N,6.211920250349999e-05
fe,2021-11-04 00:00:00,0.49402538,N,5.9408569971e-05
fe,2021-11-05 00:00:00,0.49402538,N,5.5926377333999996e-05
fe,2021-11-06 00:00:00,0.49402538,N,5.34569170185e-05
fe,2021-11-07 00:00:00,0.49402538,N,5.24606332833e-05
fe,2021-11-08 00:00:00,0.49402538,N,5.21004106953e-05
fe,2021-11-09 00:00:00,0.49402538,N,5.4463070799e-05
fe,2021-11-10 00:00:00,0.49402538,N,6.3134492526e-05
fe,2021-11-11 00:00:00,0.49402538,N,7.54754166045e-05
fe,2021-11-12 00:00:00,0.49402538,N,8.1744023439e-05
fe,2021-11-13 00:00:00,0.49402538,N,8.26377724035e-05
fe,2021-11-14 00:00:00,0.49402538,N,8.20329543e-05
fe,2021-11-15 00:00:00,0.49402538,N,7.69404208275e-05
fe,2021-11-16 00:00:00,0.49402538,N,6.7891537161e-05
fe,2021-11-17 00:00:00,0.49402538,N,6.2995941081e-05
fe,2021-11-18 00:00:00,0.49402538,N,6.0893823591000006e-05
fe,2021-11-19 00:00:00,0.49402538,N,5.86047314565e-05
fe,2021-11-20 00:00:00,0.49402538,N,5.72984610615e-05
fe,2021-11-21 00:00:00,0.49402538,N,5.8123487169e-05
fe,2021-11-22 00:00:00,0.49402538,N,6.19833651255e-05
fe,2021-11-23 00:00:00,0.49402538,N,6.55952633595e-05
fe,2021-11-24 00:00:00,0.49402538,N,6.68572710075e-05
fe,2021-11-25 00:00:00,0.49402538,N,6.823097424e-05
fe,2021-11-26 00:00:00,0.49402538,N,7.0144536672e-05
fe,2021-11-27 00:00:00,0.49402538,N,7.555138255799999e-05
fe,2021-11-28 00:00:00,0.49402538,N,8.189903798999999e-05
fe,2021-11-29 00:00:00,0.49402538,N,8.71258786875e-05
fe,2021-11-30 00:00:00,0.49402538,N,8.49244129425e-05
fe,2021-12-01 00:00:00,0.49402538,N,7.6270063032e-05
fe,2021-12-02 00:00:00,0.49402538,N,6.532772671799999e-05
fe,2021-12-03 00:00:00,0.49402538,N,5.548195723949999e-05
fe,2021-12-04 00:00:00,0.49402538,N,4.93395176628e-05
fe,2021-12-05 00:00:00,0.49402538,N,4.4892901980000004e-05
fe,2021-12-06 00:00:00,0.49402538,N,3.93605221185e-05
fe,2021-12-07 00:00:00,0.49402538,N,3.5456068683e-05
fe,2021-12-08 00:00:00,0.49402538,N,3.696849648e-05
fe,2021-12-09 00:00:00,0.49402538,N,4.2602813570699995e-05
fe,2021-12-10 00:00:00,0.49402538,N,4.68582271425e-05
fe,2021-12-11 00:00:00,0.49402538,N,5.071476836025e-05
fe,2021-12-12 00:00:00,0.49402538,N,5.6672773681500006e-05
fe,2021-12-13 00:00:00,0.49402538,N,5.5273203045e-05
fe,2021-12-14 00:00:00,0.49402538,N,5.3258209339499996e-05
fe,2021-12-15 00:00:00,0.49402538,N,5.178244378499999e-05
fe,2021-12-16 00:00:00,0.49402538,N,5.26948561485e-05
fe,2021-12-17 00:00:00,0.49402538,N,6.3867849066e-05
fe,2021-12-18 00:00:00,0.49402538,N,7.002342003599999e-05
