Variable,Date,Depth,QC,Data
si,2021-11-01 00:00:00,0.49402538,N,0.0760041775
si,2021-11-02 00:00:00,0.49402538,N,0.07591257711999999
si,2021-11-03 00:00:00,0.49402538,N,0.07552898683
si,2021-11-04 00:00:00,0.49402538,N,0.0752381996
si,2021-11-05 00:00:00,0.49402538,N,0.07556326883
si,2021-11-06 00:00:00,0.49402538,N,0.07616916384
si,2021-11-07 00:00:00,0.49402538,N,0.07660161160000001
si,2021-11-08 00:00:00,0.49402538,N,0.07674142596
si,2021-11-09 00:00:00,0.49402538,N,0.07685166226
si,2021-11-10 00:00:00,0.49402538,N,0.07716648623
si,2021-11-11 00:00:00,0.49402538,N,0.07735229186
si,2021-11-12 00:00:00,0.49402538,N,0.07735682158
si,2021-11-13 00:00:00,0.49402538,N,0.07733720497
si,2021-11-14 00:00:00,0.49402538,N,0.07737437565000001
si,2021-11-15 00:00:00,0.49402538,N,0.07684404997
si,2021-11-16 00:00:00,0.49402538,N,0.07596533487000001
si,2021-11-17 00:00:00,0.49402538,N,0.07533735326
si,2021-11-18 00:00:00,0.49402538,N,0.07503423856
si,2021-11-19 00:00:00,0.49402538,N,0.07534231009999999
si,2021-11-20 00:00:00,0.49402538,N,0.07580083466
si,2021-11-21 00:00:00,0.49402538,N,0.07577845863
si,2021-11-22 00:00:00,0.49402538,N,0.07583874155999999
si,2021-11-23 00:00:00,0.49402538,N,0.07611984272
si,2021-11-24 00:00:00,0.49402538,N,0.07630252643999999
si,2021-11-25 00:00:00,0.49402538,N,0.0764062604
si,2021-11-26 00:00:00,0.49402538,N,0.07656428356
si,2021-11-27 00:00:00,0.49402538,N,0.07682487734
si,2021-11-28 00:00:00,0.49402538,N,0.07668780272999999
si,2021-11-29 00:00:00,0.49402538,N,0.07633009254
si,2021-11-30 00:00:00,0.49402538,N,0.07621132508
si,2021-12-01 00:00:00,0.49402538,N,0.07604652419999999
si,2021-12-02 00:00:00,0.49402538,N,0.07563212788
si,2021-12-03 00:00:00,0.49402538,N,0.07502785986
si,2021-12-04 00:00:00,0.49402538,N,0.07448857589999999
si,2021-12-05 00:00:00,0.49402538,N,0.07414277729999999
si,2021-12-06 00:00:00,0.49402538,N,0.0738297995
si,2021-12-07 00:00:00,0.49402538,N,0.07355510233
si,2021-12-08 00:00:00,0.49402538,N,0.07365469154
si,2021-12-09 00:00:00,0.49402538,N,0.07389442107
si,2021-12-10 00:00:00,0.49402538,N,0.07421491562
si,2021-12-11 00:00:00,0.49402538,N,0.0744866651
si,2021-12-12 00:00:00,0.49402538,N,0.07454890098
si,2021-12-13 00:00:00,0.49402538,N,0.07444339672
si,2021-12-14 00:00:00,0.49402538,N,0.0741877373
si,2021-12-15 00:00:00,0.49402538,N,0.0738213133
si,2021-12-16 00:00:00,0.49402538,N,0.07357391528
si,2021-12-17 00:00:00,0.49402538,N,0.0735263476
si,2021-12-18 00:00:00,0.49402538,N,0.07338076431
si,2021-12-19 00:00:00,0.49402538,N,0.07322971838
si,2021-12-20 00:00:00,0.49402538,N,0.07311599768
si,2021-12-21 00:00:00,0.49402538,N,0.0729539225
si,2021-12-22 00:00:00,0.49402538,N,0.07271954602
si,2021-12-23 00:00:00,0.49402538,N,0.07247945961999999
si,2021-12-24 00:00:00,0.49402538,N,0.07232222045
si,2021-12-25 00:00:00,0.49402538,N,0.07223803566
si,2021-12-26 00:00:00,0.49402538,N,0.07241087595000001
si,2021-12-27 00:00:00,0.49402538,N,0.07292709824
si,2021-12-28 00:00:00,0.49402538,N,0.07344501496
si,2021-12-29 00:00:00,0.49402538,N,0.07362134808
si,2021-12-30 00:00:00,0.49402538,N,0.07347176616000001
si,2021-12-31 00:00:00,0.49402538,N,0.0730276569
si,2022-01-01 00:00:00,0.49402538,N,0.07257054857999999
si,2022-01-02 00:00:00,0.49402538,N,0.07222794495
si,2022-01-03 00:00:00,0.49402538,N,0.07204344597
si,2022-01-04 00:00:00,0.49402538,N,0.07197139194999999
si,2022-01-05 00:00:00,0.49402538,N,0.07196452149999999
si,2022-01-06 00:00:00,0.49402538,N,0.07191607991
si,2022-01-07 00:00:00,0.49402538,N,0.0717494722
si,2022-01-08 00:00:00,0.49402538,N,0.07158430602
si,2022-01-09 00:00:00,0.49402538,N,0.07149177833999999
si,2022-01-10 00:00:00,0.49402538,N,0.0713719487
si,2022-01-11 00:00:00,0.49402538,N,0.07129279100000001
si,2022-01-12 00:00:00,0.49402538,N,0.07126145388
si,2022-01-13 00:00:00,0.49402538,N,0.07118601662
si,2022-01-14 00:00:00,0.49402538,N,0.07106247497
si,2022-01-15 00:00:00,0.49402538,N,0.07096781731
si,2022-01-16 00:00:00,0.49402538,N,0.07090931592000001
si,2022-01-17 00:00:00,0.49402538,N,0.07080895677
si,2022-01-18 00:00:00,0.49402538,N,0.07082696044
si,2022-01-19 00:00:00,0.49402538,N,0.0709909408
si,2022-01-20 00:00:00,0.49402538,N,0.07129314786999999
si,2022-01-21 00:00:00,0.49402538,N,0.07177300595000001
si,2022-01-22 00:00:00,0.49402538,N,0.07214948694
si,2022-01-23 00:00:00,0.49402538,N,0.07224222256
si,2022-01-24 00:00:00,0.49402538,N,0.07197870919
si,2022-01-25 00:00:00,0.49402538,N,0.07163427063
si,2022-01-26 00:00:00,0.49402538,N,0.07147524992000001
si,2022-01-27 00:00:00,0.49402538,N,0.0713217902
si,2022-01-28 00:00:00,0.49402538,N,0.07111285546
si,2022-01-29 00:00:00,0.49402538,N,0.07097928772999999
si,2022-01-30 00:00:00,0.49402538,N,0.07093551917
si,2022-01-31 00:00:00,0.49402538,N,0.07088077756
si,2022-02-01 00:00:00,0.49402538,N,0.07076596096
si,2022-02-02 00:00:00,0.49402538,N,0.07068676392
si,2022-02-03 00:00:00,0.49402538,N,0.0707730815
si,2022-02-04 00:00:00,0.49402538,N,0.07098017288
si,2022-02-05 00:00:00,0.49402538,N,0.07105739168
si,2022-02-06 00:00:00,0.49402538,N,0.07094664677000001
si,2022-02-07 00:00:00,0.49402538,N,0.07088991006
si,2022-02-08 00:00:00,0.49402538,N,0.07078304295
si,2022-02-09 00:00:00,0.49402538,N,0.07058407247000001
si,2022-02-10 00:00:00,0.49402538,N,0.07046475425000001
