Variable,Date,Depth,QC,Data
fe,2021-11-01 00:00:00,0.49402538,N,0.000187248642408
fe,2021-11-02 00:00:00,0.49402538,N,0.00018919320998399999
fe,2021-11-03 00:00:00,0.49402538,N,0.000188381882655
fe,2021-11-04 00:00:00,0.49402538,N,0.0001891263914415
fe,2021-11-05 00:00:00,0.49402538,N,0.0001930345027245
fe,2021-11-06 00:00:00,0.49402538,N,0.000195941352249
fe,2021-11-07 00:00:00,0.49402538,N,0.00019578732057
fe,2021-11-08 00:00:00,0.49402538,N,0.000193929368589
fe,2021-11-09 00:00:00,0.49402538,N,0.000191537080479
fe,2021-11-10 00:00:00,0.49402538,N,0.0001892783233485
fe,2021-11-11 00:00:00,0.49402538,N,0.000188653389876
fe,2021-11-12 00:00:00,0.49402538,N,0.00018938602043099998
fe,2021-11-13 00:00:00,0.49402538,N,0.000189830859363
fe,2021-11-14 00:00:00,0.49402538,N,0.00019105568541
fe,2021-11-15 00:00:00,0.49402538,N,0.00019214075376
fe,2021-11-16 00:00:00,0.49402538,N,0.00019545306032249998
fe,2021-11-17 00:00:00,0.49402538,N,0.000196401012444
fe,2021-11-18 00:00:00,0.49402538,N,0.0001941029404335
fe,2021-11-19 00:00:00,0.49402538,N,0.000193544339652
fe,2021-11-20 00:00:00,0.49402538,N,0.00019433516069700002
fe,2021-11-21 00:00:00,0.49402538,N,0.0001942040310525
fe,2021-11-22 00:00:00,0.49402538,N,0.0001954534512375
fe,2021-11-23 00:00:00,0.49402538,N,0.000196010912781
fe,2021-11-24 00:00:00,0.49402538,N,0.000195209079102
fe,2021-11-25 00:00:00,0.49402538,N,0.000195180296589
fe,2021-11-26 00:00:00,0.49402538,N,0.0001967898109185
fe,2021-11-27 00:00:00,0.49402538,N,0.00020026003038749998
fe,2021-11-28 00:00:00,0.49402538,N,0.00020062872466199998
fe,2021-11-29 00:00:00,0.49402538,N,0.000198378941823
fe,2021-11-30 00:00:00,0.49402538,N,0.0001948534637265
fe,2021-12-01 00:00:00,0.49402538,N,0.00019150601948999998
fe,2021-12-02 00:00:00,0.49402538,N,0.0001868639652945
fe,2021-12-03 00:00:00,0.49402538,N,0.00018138526364699998
fe,2021-12-04 00:00:00,0.49402538,N,0.00017641844285400002
fe,2021-12-05 00:00:00,0.49402538,N,0.00017242469326349998
fe,2021-12-06 00:00:00,0.49402538,N,0.00016972976992949998
fe,2021-12-07 00:00:00,0.49402538,N,0.000168811449165
fe,2021-12-08 00:00:00,0.49402538,N,0.00017018856452699998
fe,2021-12-09 00:00:00,0.49402538,N,0.00016719345198
fe,2021-12-10 00:00:00,0.49402538,N,0.0001670062986315
fe,2021-12-11 00:00:00,0.49402538,N,0.000171161820018
fe,2021-12-12 00:00:00,0.49402538,N,0.0001737168348735
fe,2021-12-13 00:00:00,0.49402538,N,0.000174610170585
fe,2021-12-14 00:00:00,0.49402538,N,0.00017371009996650002
fe,2021-12-15 00:00:00,0.49402538,N,0.00017201666735549998
fe,2021-12-16 00:00:00,0.49402538,N,0.00017042520212999998
fe,2021-12-17 00:00:00,0.49402538,N,0.000171041652747
fe,2021-12-18 00:00:00,0.49402538,N,0.000174280350015
fe,2021-12-19 00:00:00,0.49402538,N,0.00017736824344499999
fe,2021-12-20 00:00:00,0.49402538,N,0.000177366891996
fe,2021-12-21 00:00:00,0.49402538,N,0.000176611331484
fe,2021-12-22 00:00:00,0.49402538,N,0.00017659418148449998
fe,2021-12-23 00:00:00,0.49402538,N,0.0001767478334175
fe,2021-12-24 00:00:00,0.49402538,N,0.00017617990093649999
fe,2021-12-25 00:00:00,0.49402538,N,0.0001751785665795
fe,2021-12-26 00:00:00,0.49402538,N,0.000176189835762
fe,2021-12-27 00:00:00,0.49402538,N,0.00017988322302
fe,2021-12-28 00:00:00,0.49402538,N,0.0001856608517835
fe,2021-12-29 00:00:00,0.49402538,N,0.00019014208913250002
fe,2021-12-30 00:00:00,0.49402538,N,0.00019371188023649998
fe,2021-12-31 00:00:00,0.49402538,N,0.000190775667411
fe,2022-01-01 00:00:00,0.49402538,N,0.000184431552552
fe,2022-01-02 00:00:00,0.49402538,N,0.0001824978579975
fe,2022-01-03 00:00:00,0.49402538,N,0.00018312703569
fe,2022-01-04 00:00:00,0.49402538,N,0.00018577865681099998
fe,2022-01-05 00:00:00,0.49402538,N,0.000187938551538
fe,2022-01-06 00:00:00,0.49402538,N,0.000188604681867
fe,2022-01-07 00:00:00,0.49402538,N,0.000187755893712
fe,2022-01-08 00:00:00,0.49402538,N,0.0001811250873765
fe,2022-01-09 00:00:00,0.49402538,N,0.0001751300037675
fe,2022-01-10 00:00:00,0.49402538,N,0.0001697431280535
fe,2022-01-11 00:00:00,0.49402538,N,0.000167068761264
fe,2022-01-12 00:00:00,0.49402538,N,0.000164659697316
fe,2022-01-13 00:00:00,0.49402538,N,0.000162941246145
fe,2022-01-14 00:00:00,0.49402538,N,0.00016043235925949998
fe,2022-01-15 00:00:00,0.49402538,N,0.000156280054545
fe,2022-01-16 00:00:00,0.49402538,N,0.000151888973364
fe,2022-01-17 00:00:00,0.49402538,N,0.00014928253084799998
fe,2022-01-18 00:00:00,0.49402538,N,0.000150891246594
fe,2022-01-19 00:00:00,0.49402538,N,0.000153327194325
fe,2022-01-20 00:00:00,0.49402538,N,0.0001571548273785
fe,2022-01-21 00:00:00,0.49402538,N,0.000162719251101
fe,2022-01-22 00:00:00,0.49402538,N,0.000168246052047
fe,2022-01-23 00:00:00,0.49402538,N,0.000169762288473
fe,2022-01-24 00:00:00,0.49402538,N,0.00016986327857099998
fe,2022-01-25 00:00:00,0.49402538,N,0.00016868147551199998
fe,2022-01-26 00:00:00,0.49402538,N,0.0001663975881315
fe,2022-01-27 00:00:00,0.49402538,N,0.000165591281268
fe,2022-01-28 00:00:00,0.49402538,N,0.000165773704545
fe,2022-01-29 00:00:00,0.49402538,N,0.0001678509877635
fe,2022-01-30 00:00:00,0.49402538,N,0.000171205948737
fe,2022-01-31 00:00:00,0.49402538,N,0.000174688364754
fe,2022-02-01 00:00:00,0.49402538,N,0.0001762564420935
fe,2022-02-02 00:00:00,0.49402538,N,0.00017658025932599998
fe,2022-02-03 00:00:00,0.49402538,N,0.00017741113240499998
fe,2022-02-04 00:00:00,0.49402538,N,0.000177140138958
fe,2022-02-05 00:00:00,0.49402538,N,0.00017793450057599998
fe,2022-02-06 00:00:00,0.49402538,N,0.00017762764347
fe,2022-02-07 00:00:00,0.49402538,N,0.00018294273602100002
fe,2022-02-08 00:00:00,0.49402538,N,0.0001865783069505
fe,2022-02-09 00:00:00,0.49402538,N,0.00018763831206449998
fe,2022-02-10 00:00:00,0.49402538,N,0.000189139889178
fe,2022-02-11 00:00:00,0.49402538,N,0.0001927358660025
fe,2022-02-12 00:00:00,0.49402538,N,0.00019651151853
fe,2022-02-13 00:00:00,0.49402538,N,0.0002001044573865
fe,2022-02-14 00:00:00,0.49402538,N,0.0001999640183805
fe,2022-02-15 00:00:00,0.49402538,N,0.000195887472993
fe,2022-02-16 00:00:00,0.49402538,N,0.000193947060285
fe,2022-02-17 00:00:00,0.49402538,N,0.000197867826045
fe,2022-02-18 00:00:00,0.49402538,N,0.000202509908163
fe,2022-02-19 00:00:00,0.49402538,N,0.000206355774609
fe,2022-02-20 00:00:00,0.49402538,N,0.00020798342181
fe,2022-02-21 00:00:00,0.49402538,N,0.000207876333438
fe,2022-02-22 00:00:00,0.49402538,N,0.00020802843288
fe,2022-02-23 00:00:00,0.49402538,N,0.0002099338363575
fe,2022-02-24 00:00:00,0.49402538,N,0.00021131349825149998
fe,2022-02-25 00:00:00,0.49402538,N,0.000212756873706
fe,2022-02-26 00:00:00,0.49402538,N,0.0002149827157935
fe,2022-02-27 00:00:00,0.49402538,N,0.0002167704482715
fe,2022-02-28 00:00:00,0.49402538,N,0.0002165021688915
fe,2022-03-01 00:00:00,0.49402538,N,0.00021657740327549999
fe,2022-03-02 00:00:00,0.49402538,N,0.000216868629366
fe,2022-03-03 00:00:00,0.49402538,N,0.000214734724902
fe,2022-03-04 00:00:00,0.49402538,N,0.000210439529586
fe,2022-03-05 00:00:00,0.49402538,N,0.0002065176301725
fe,2022-03-06 00:00:00,0.49402538,N,0.000204969824568
fe,2022-03-07 00:00:00,0.49402538,N,0.000203604291459
fe,2022-03-08 00:00:00,0.49402538,N,0.000201655189269
fe,2022-03-09 00:00:00,0.49402538,N,0.00020197747076400002
fe,2022-03-10 00:00:00,0.49402538,N,0.00020400093057149998
fe,2022-03-11 00:00:00,0.49402538,N,0.00020173492476
fe,2022-03-12 00:00:00,0.49402538,N,0.00019643890327650002
fe,2022-03-13 00:00:00,0.49402538,N,0.000193882458789
fe,2022-03-14 00:00:00,0.49402538,N,0.0001927405681515
fe,2022-03-15 00:00:00,0.49402538,N,0.00019311720358500001
fe,2022-03-16 00:00:00,0.49402538,N,0.00019577889914399997
fe,2022-03-17 00:00:00,0.49402538,N,0.00020007102298500001
fe,2022-03-18 00:00:00,0.49402538,N,0.000204433857765
fe,2022-03-19 00:00:00,0.49402538,N,0.0002072861243865
fe,2022-03-20 00:00:00,0.49402538,N,0.000208676849175
fe,2022-03-21 00:00:00,0.49402538,N,0.0002094661121445
fe,2022-03-22 00:00:00,0.49402538,N,0.00020977200871649998
fe,2022-03-23 00:00:00,0.49402538,N,0.0002096142075
fe,2022-03-24 00:00:00,0.49402538,N,0.00020947256224200002
fe,2022-03-25 00:00:00,0.49402538,N,0.0002093931450675
fe,2022-03-26 00:00:00,0.49402538,N,0.000210771974871
fe,2022-03-27 00:00:00,0.49402538,N,0.0002085186793815
fe,2022-03-28 00:00:00,0.49402538,N,0.00020737949722649999
fe,2022-03-29 00:00:00,0.49402538,N,0.0002074466787615
fe,2022-03-30 00:00:00,0.49402538,N,0.0002073857518665
fe,2022-03-31 00:00:00,0.49402538,N,0.000207814781079
fe,2022-04-01 00:00:00,0.49402538,N,0.0002038123196685
fe,2022-04-02 00:00:00,0.49402538,N,0.000195987837627
fe,2022-04-03 00:00:00,0.49402538,N,0.000192739948272
fe,2022-04-04 00:00:00,0.49402538,N,0.00019876111149599998
fe,2022-04-05 00:00:00,0.49402538,N,0.000204654892275
fe,2022-04-06 00:00:00,0.49402538,N,0.0002068649749035
fe,2022-04-07 00:00:00,0.49402538,N,0.00020816925163199998
fe,2022-04-08 00:00:00,0.49402538,N,0.0002133022168845
fe,2022-04-09 00:00:00,0.49402538,N,0.00021735333604349998
fe,2022-04-10 00:00:00,0.49402538,N,0.000216013642416
fe,2022-04-11 00:00:00,0.49402538,N,0.00021499365582900001
fe,2022-04-12 00:00:00,0.49402538,N,0.000215757079317
fe,2022-04-13 00:00:00,0.49402538,N,0.00021858001056
fe,2022-04-14 00:00:00,0.49402538,N,0.000220577865435
fe,2022-04-15 00:00:00,0.49402538,N,0.00022021043325749998
fe,2022-04-16 00:00:00,0.49402538,N,0.00022238495379
fe,2022-04-17 00:00:00,0.49402538,N,0.00022480008250499997
fe,2022-04-18 00:00:00,0.49402538,N,0.00022493039681249996
fe,2022-04-19 00:00:00,0.49402538,N,0.00022522586153849998
fe,2022-04-20 00:00:00,0.49402538,N,0.0002268332481735
fe,2022-04-21 00:00:00,0.49402538,N,0.000227939353335
fe,2022-04-22 00:00:00,0.49402538,N,0.00022507456067999998
fe,2022-04-23 00:00:00,0.49402538,N,0.000218420796465
fe,2022-04-24 00:00:00,0.49402538,N,0.0002055862919385
fe,2022-04-25 00:00:00,0.49402538,N,0.0001915729943985
fe,2022-04-26 00:00:00,0.49402538,N,0.00018581905508400001
fe,2022-04-27 00:00:00,0.49402538,N,0.00018855495747900001
fe,2022-04-28 00:00:00,0.49402538,N,0.0001924264847025
fe,2022-04-29 00:00:00,0.49402538,N,0.00019639578535200002
fe,2022-04-30 00:00:00,0.49402538,N,0.00020145185762399998
fe,2022-05-01 00:00:00,0.49402538,N,0.000207073070127
fe,2022-05-02 00:00:00,0.49402538,N,0.000210521186145
fe,2022-05-03 00:00:00,0.49402538,N,0.000213239910618
fe,2022-05-04 00:00:00,0.49402538,N,0.000215474146209
fe,2022-05-05 00:00:00,0.49402538,N,0.0002141103722175
fe,2022-05-06 00:00:00,0.49402538,N,0.0002099688400035
fe,2022-05-07 00:00:00,0.49402538,N,0.00020200219892999998
fe,2022-05-08 00:00:00,0.49402538,N,0.0001906765257825
fe,2022-05-09 00:00:00,0.49402538,N,0.000179919343566
fe,2022-05-10 00:00:00,0.49402538,N,0.000180532823229
fe,2022-05-11 00:00:00,0.49402538,N,0.000187941243267
fe,2022-05-12 00:00:00,0.49402538,N,0.000194527479708
fe,2022-05-13 00:00:00,0.49402538,N,0.000198883668933
fe,2022-05-14 00:00:00,0.49402538,N,0.0002019345203745
fe,2022-05-15 00:00:00,0.49402538,N,0.00021036229036649999
fe,2022-05-16 00:00:00,0.49402538,N,0.000213080785875
fe,2022-05-17 00:00:00,0.49402538,N,0.000199779623775
fe,2022-05-18 00:00:00,0.49402538,N,0.00017436565883699999
fe,2022-05-19 00:00:00,0.49402538,N,0.000146197474344
fe,2022-05-20 00:00:00,0.49402538,N,0.00014012516826899998
fe,2022-05-21 00:00:00,0.49402538,N,0.0001440167326785
fe,2022-05-22 00:00:00,0.49402538,N,0.0001423715836545
fe,2022-05-23 00:00:00,0.49402538,N,0.0001429531088085
fe,2022-05-24 00:00:00,0.49402538,N,0.000149705009442
fe,2022-05-25 00:00:00,0.49402538,N,0.0001562260245075
fe,2022-05-26 00:00:00,0.49402538,N,0.00016067997598950002
fe,2022-05-27 00:00:00,0.49402538,N,0.00016471497269699998
fe,2022-05-28 00:00:00,0.49402538,N,0.0001662196771305
fe,2022-05-29 00:00:00,0.49402538,N,0.000170241014151
fe,2022-05-30 00:00:00,0.49402538,N,0.00017459526555449998
fe,2022-05-31 00:00:00,0.49402538,N,0.00017709501061349999
fe,2022-06-01 00:00:00,0.49402538,N,0.000179468227656
fe,2022-06-02 00:00:00,0.49402538,N,0.000183995503623
fe,2022-06-03 00:00:00,0.49402538,N,0.00018694952541899998
fe,2022-06-04 00:00:00,0.49402538,N,0.0001860305121765
fe,2022-06-05 00:00:00,0.49402538,N,0.00018514436930099998
fe,2022-06-06 00:00:00,0.49402538,N,0.00018434870091
fe,2022-06-07 00:00:00,0.49402538,N,0.00018062973105749999
fe,2022-06-08 00:00:00,0.49402538,N,0.000174364407909
fe,2022-06-09 00:00:00,0.49402538,N,0.000168034656384
fe,2022-06-10 00:00:00,0.49402538,N,0.00016442409843
fe,2022-06-11 00:00:00,0.49402538,N,0.0001593454591935
fe,2022-06-12 00:00:00,0.49402538,N,0.000158433850998
fe,2022-06-13 00:00:00,0.49402538,N,0.000162921845592
fe,2022-06-14 00:00:00,0.49402538,N,0.0001674104377275
fe,2022-06-15 00:00:00,0.49402538,N,0.00016738952377499998
fe,2022-06-16 00:00:00,0.49402538,N,0.000160444661913
fe,2022-06-17 00:00:00,0.49402538,N,0.000155564523729
fe,2022-06-18 00:00:00,0.49402538,N,0.00015420568085100001
fe,2022-06-19 00:00:00,0.49402538,N,0.0001552601405565
fe,2022-06-20 00:00:00,0.49402538,N,0.0001579143752235
fe,2022-06-21 00:00:00,0.49402538,N,0.0001590194137455
fe,2022-06-22 00:00:00,0.49402538,N,0.00015736607226
fe,2022-06-23 00:00:00,0.49402538,N,0.000152937474408
fe,2022-06-24 00:00:00,0.49402538,N,0.000144729108252
fe,2022-06-25 00:00:00,0.49402538,N,0.00013611604455
fe,2022-06-26 00:00:00,0.49402538,N,0.00013265219141099998
fe,2022-06-27 00:00:00,0.49402538,N,0.00013529050466849998
fe,2022-06-28 00:00:00,0.49402538,N,0.0001415928586365
fe,2022-06-29 00:00:00,0.49402538,N,0.00014615729386649999
fe,2022-06-30 00:00:00,0.49402538,N,0.00014731136429850002
fe,2022-07-01 00:00:00,0.49402538,N,0.0001436341609215
fe,2022-07-02 00:00:00,0.49402538,N,0.00013658719764600002
fe,2022-07-03 00:00:00,0.49402538,N,0.0001350313503615
fe,2022-07-04 00:00:00,0.49402538,N,0.0001351797081885
fe,2022-07-05 00:00:00,0.49402538,N,0.0001352903594715
fe,2022-07-06 00:00:00,0.49402538,N,0.0001338806082915
fe,2022-07-07 00:00:00,0.49402538,N,0.00013037886432
fe,2022-07-08 00:00:00,0.49402538,N,0.000126152458875
fe,2022-07-09 00:00:00,0.49402538,N,0.000121396006197
fe,2022-07-10 00:00:00,0.49402538,N,0.00011925543383999999
