Variable,Date,Depth,QC,Data
kd,2023-11-15 00:00:00,0.49402538,N,0.04289
kd,2023-11-16 00:00:00,0.49402538,N,0.041872084
kd,2023-11-17 00:00:00,0.49402538,N,0.04056129
kd,2023-11-18 00:00:00,0.49402538,N,0.03890468
kd,2023-11-19 00:00:00,0.49402538,N,0.038365476
kd,2023-11-20 00:00:00,0.49402538,N,0.03642923
kd,2023-11-21 00:00:00,0.49402538,N,0.03592267
kd,2023-11-22 00:00:00,0.49402538,N,0.03459
kd,2023-11-23 00:00:00,0.49402538,N,0.034448452
kd,2023-11-24 00:00:00,0.49402538,N,0.032891467
kd,2023-11-25 00:00:00,0.49402538,N,0.032890033
kd,2023-11-26 00:00:00,0.49402538,N,0.03249013
kd,2023-11-27 00:00:00,0.49402538,N,0.031320527
kd,2023-11-28 00:00:00,0.49402538,N,0.03131636
kd,2023-11-29 00:00:00,0.49402538,N,0.03131614
kd,2023-11-30 00:00:00,0.49402538,N,0.031320527
kd,2023-12-01 00:00:00,0.49402538,N,0.032035287
kd,2023-12-02 00:00:00,0.49402538,N,0.03288
kd,2023-12-03 00:00:00,0.49402538,N,0.03287693
kd,2023-12-04 00:00:00,0.49402538,N,0.032869473
kd,2023-12-05 00:00:00,0.49402538,N,0.031439956
kd,2023-12-06 00:00:00,0.49402538,N,0.031312414
kd,2023-12-07 00:00:00,0.49402538,N,0.03255511
kd,2023-12-08 00:00:00,0.49402538,N,0.033351798
kd,2023-12-09 00:00:00,0.49402538,N,0.035671808
kd,2023-12-10 00:00:00,0.49402538,N,0.03829646
kd,2023-12-11 00:00:00,0.49402538,N,0.03842
kd,2023-12-12 00:00:00,0.49402538,N,0.03842
kd,2023-12-13 00:00:00,0.49402538,N,0.03842
kd,2023-12-14 00:00:00,0.49402538,N,0.03841305
kd,2023-12-15 00:00:00,0.49402538,N,0.037823964
kd,2023-12-16 00:00:00,0.49402538,N,0.036417663
kd,2023-12-17 00:00:00,0.49402538,N,0.03611305
