Variable,Date,Depth,QC,Data
kd,2023-11-15 00:00:00,0.49402538,N,0.038815614
kd,2023-11-16 00:00:00,0.49402538,N,0.037394524
kd,2023-11-17 00:00:00,0.49402538,N,0.035955377
kd,2023-11-18 00:00:00,0.49402538,N,0.034562465
kd,2023-11-19 00:00:00,0.49402538,N,0.03371266
kd,2023-11-20 00:00:00,0.49402538,N,0.033178862
kd,2023-11-21 00:00:00,0.49402538,N,0.033133853
kd,2023-11-22 00:00:00,0.49402538,N,0.032714184
kd,2023-11-23 00:00:00,0.49402538,N,0.03199023
kd,2023-11-24 00:00:00,0.49402538,N,0.032178342
kd,2023-11-25 00:00:00,0.49402538,N,0.032178342
kd,2023-11-26 00:00:00,0.49402538,N,0.03160053
kd,2023-11-27 00:00:00,0.49402538,N,0.031145839
kd,2023-11-28 00:00:00,0.49402538,N,0.031145839
kd,2023-11-29 00:00:00,0.49402538,N,0.03098511
kd,2023-11-30 00:00:00,0.49402538,N,0.03081598
kd,2023-12-01 00:00:00,0.49402538,N,0.030226523
kd,2023-12-02 00:00:00,0.49402538,N,0.0299
kd,2023-12-03 00:00:00,0.49402538,N,0.029734818
kd,2023-12-04 00:00:00,0.49402538,N,0.029666802
kd,2023-12-05 00:00:00,0.49402538,N,0.029666802
kd,2023-12-06 00:00:00,0.49402538,N,0.029493699
kd,2023-12-07 00:00:00,0.49402538,N,0.030118681
kd,2023-12-08 00:00:00,0.49402538,N,0.030961495
kd,2023-12-09 00:00:00,0.49402538,N,0.031011388
kd,2023-12-10 00:00:00,0.49402538,N,0.030717466
kd,2023-12-11 00:00:00,0.49402538,N,0.030343026
kd,2023-12-12 00:00:00,0.49402538,N,0.030131474
kd,2023-12-13 00:00:00,0.49402538,N,0.030693762
kd,2023-12-14 00:00:00,0.49402538,N,0.030810367
kd,2023-12-15 00:00:00,0.49402538,N,0.030646445
kd,2023-12-16 00:00:00,0.49402538,N,0.030464726
kd,2023-12-17 00:00:00,0.49402538,N,0.03170409
kd,2023-12-18 00:00:00,0.49402538,N,0.03288108
kd,2023-12-19 00:00:00,0.49402538,N,0.033084735
kd,2023-12-20 00:00:00,0.49402538,N,0.032724775
kd,2023-12-21 00:00:00,0.49402538,N,0.032806765
kd,2023-12-22 00:00:00,0.49402538,N,0.03344524
kd,2023-12-23 00:00:00,0.49402538,N,0.03403162
kd,2023-12-24 00:00:00,0.49402538,N,0.033965077
kd,2023-12-25 00:00:00,0.49402538,N,0.032860138
kd,2023-12-26 00:00:00,0.49402538,N,0.03245178
kd,2023-12-27 00:00:00,0.49402538,N,0.032184243
kd,2023-12-28 00:00:00,0.49402538,N,0.032264493
kd,2023-12-29 00:00:00,0.49402538,N,0.032026067
kd,2023-12-30 00:00:00,0.49402538,N,0.03208426
kd,2023-12-31 00:00:00,0.49402538,N,0.032058258
kd,2024-01-01 00:00:00,0.49402538,N,0.032320354
kd,2024-01-02 00:00:00,0.49402538,N,0.03223712
kd,2024-01-03 00:00:00,0.49402538,N,0.032602828
kd,2024-01-04 00:00:00,0.49402538,N,0.03261849
kd,2024-01-05 00:00:00,0.49402538,N,0.03240968
kd,2024-01-06 00:00:00,0.49402538,N,0.032492764
kd,2024-01-07 00:00:00,0.49402538,N,0.03227981
kd,2024-01-08 00:00:00,0.49402538,N,0.032118853
kd,2024-01-09 00:00:00,0.49402538,N,0.032225594
kd,2024-01-10 00:00:00,0.49402538,N,0.032434747
kd,2024-01-11 00:00:00,0.49402538,N,0.0319036
kd,2024-01-12 00:00:00,0.49402538,N,0.031821523
kd,2024-01-13 00:00:00,0.49402538,N,0.031908203
kd,2024-01-14 00:00:00,0.49402538,N,0.03245051
kd,2024-01-15 00:00:00,0.49402538,N,0.032964442
kd,2024-01-16 00:00:00,0.49402538,N,0.033463333
kd,2024-01-17 00:00:00,0.49402538,N,0.033444174
kd,2024-01-18 00:00:00,0.49402538,N,0.03308674
kd,2024-01-19 00:00:00,0.49402538,N,0.032464568
kd,2024-01-20 00:00:00,0.49402538,N,0.032095
kd,2024-01-21 00:00:00,0.49402538,N,0.032032736
kd,2024-01-22 00:00:00,0.49402538,N,0.031797357
kd,2024-01-23 00:00:00,0.49402538,N,0.031555973
kd,2024-01-24 00:00:00,0.49402538,N,0.03191824
kd,2024-01-25 00:00:00,0.49402538,N,0.03388003
kd,2024-01-26 00:00:00,0.49402538,N,0.03456156
kd,2024-01-27 00:00:00,0.49402538,N,0.033680495
kd,2024-01-28 00:00:00,0.49402538,N,0.033624068
kd,2024-01-29 00:00:00,0.49402538,N,0.033798434
kd,2024-01-30 00:00:00,0.49402538,N,0.033842653
kd,2024-01-31 00:00:00,0.49402538,N,0.033754446
kd,2024-02-01 00:00:00,0.49402538,N,0.033988774
kd,2024-02-02 00:00:00,0.49402538,N,0.03407891
kd,2024-02-03 00:00:00,0.49402538,N,0.034841716
kd,2024-02-04 00:00:00,0.49402538,N,0.03600757
kd,2024-02-05 00:00:00,0.49402538,N,0.03652434
kd,2024-02-06 00:00:00,0.49402538,N,0.036590263
kd,2024-02-07 00:00:00,0.49402538,N,0.03612975
kd,2024-02-08 00:00:00,0.49402538,N,0.03537804
kd,2024-02-09 00:00:00,0.49402538,N,0.035392225
kd,2024-02-10 00:00:00,0.49402538,N,0.035081714
kd,2024-02-11 00:00:00,0.49402538,N,0.034871448
kd,2024-02-12 00:00:00,0.49402538,N,0.034370005
kd,2024-02-13 00:00:00,0.49402538,N,0.034045815
kd,2024-02-14 00:00:00,0.49402538,N,0.033771954
kd,2024-02-15 00:00:00,0.49402538,N,0.0333925
kd,2024-02-16 00:00:00,0.49402538,N,0.033475034
kd,2024-02-17 00:00:00,0.49402538,N,0.033735
kd,2024-02-18 00:00:00,0.49402538,N,0.033735
kd,2024-02-19 00:00:00,0.49402538,N,0.033735
kd,2024-02-20 00:00:00,0.49402538,N,0.03383213
kd,2024-02-21 00:00:00,0.49402538,N,0.033313468
kd,2024-02-22 00:00:00,0.49402538,N,0.032946795
kd,2024-02-23 00:00:00,0.49402538,N,0.03263094
kd,2024-02-24 00:00:00,0.49402538,N,0.032919582
kd,2024-02-25 00:00:00,0.49402538,N,0.033152916
kd,2024-02-26 00:00:00,0.49402538,N,0.033152916
kd,2024-02-27 00:00:00,0.49402538,N,0.03329537
kd,2024-02-28 00:00:00,0.49402538,N,0.033605017
kd,2024-02-29 00:00:00,0.49402538,N,0.03433451
kd,2024-03-01 00:00:00,0.49402538,N,0.034995858
kd,2024-03-02 00:00:00,0.49402538,N,0.035212453
kd,2024-03-03 00:00:00,0.49402538,N,0.035223663
kd,2024-03-04 00:00:00,0.49402538,N,0.035088025
kd,2024-03-05 00:00:00,0.49402538,N,0.034906074
kd,2024-03-06 00:00:00,0.49402538,N,0.034634788
kd,2024-03-07 00:00:00,0.49402538,N,0.034536898
kd,2024-03-08 00:00:00,0.49402538,N,0.034814086
kd,2024-03-09 00:00:00,0.49402538,N,0.035109833
kd,2024-03-10 00:00:00,0.49402538,N,0.0349086
kd,2024-03-11 00:00:00,0.49402538,N,0.034756377
kd,2024-03-12 00:00:00,0.49402538,N,0.03496279
kd,2024-03-13 00:00:00,0.49402538,N,0.03516189
kd,2024-03-14 00:00:00,0.49402538,N,0.035011765
kd,2024-03-15 00:00:00,0.49402538,N,0.03483045
kd,2024-03-16 00:00:00,0.49402538,N,0.034658417
kd,2024-03-17 00:00:00,0.49402538,N,0.034703266
kd,2024-03-18 00:00:00,0.49402538,N,0.03515979
kd,2024-03-19 00:00:00,0.49402538,N,0.035609
kd,2024-03-20 00:00:00,0.49402538,N,0.035609
kd,2024-03-21 00:00:00,0.49402538,N,0.035373464
kd,2024-03-22 00:00:00,0.49402538,N,0.036158513
kd,2024-03-23 00:00:00,0.49402538,N,0.036364615
kd,2024-03-24 00:00:00,0.49402538,N,0.03607099
kd,2024-03-25 00:00:00,0.49402538,N,0.03592369
kd,2024-03-26 00:00:00,0.49402538,N,0.03591785
kd,2024-03-27 00:00:00,0.49402538,N,0.03518542
kd,2024-03-28 00:00:00,0.49402538,N,0.034806915
kd,2024-03-29 00:00:00,0.49402538,N,0.03403239
kd,2024-03-30 00:00:00,0.49402538,N,0.033894885
kd,2024-03-31 00:00:00,0.49402538,N,0.033740684
kd,2024-04-01 00:00:00,0.49402538,N,0.033735
kd,2024-04-02 00:00:00,0.49402538,N,0.033735
kd,2024-04-03 00:00:00,0.49402538,N,0.033735
kd,2024-04-04 00:00:00,0.49402538,N,0.033854403
kd,2024-04-05 00:00:00,0.49402538,N,0.034007914
kd,2024-04-06 00:00:00,0.49402538,N,0.034156848
kd,2024-04-07 00:00:00,0.49402538,N,0.033797543
kd,2024-04-08 00:00:00,0.49402538,N,0.034007914
kd,2024-04-09 00:00:00,0.49402538,N,0.034007914
kd,2024-04-10 00:00:00,0.49402538,N,0.03450047
kd,2024-04-11 00:00:00,0.49402538,N,0.03444094
kd,2024-04-12 00:00:00,0.49402538,N,0.03438475
kd,2024-04-13 00:00:00,0.49402538,N,0.03429981
kd,2024-04-14 00:00:00,0.49402538,N,0.034010775
kd,2024-04-15 00:00:00,0.49402538,N,0.033575796
kd,2024-04-16 00:00:00,0.49402538,N,0.033462085
kd,2024-04-17 00:00:00,0.49402538,N,0.03348469
kd,2024-04-18 00:00:00,0.49402538,N,0.034362882
kd,2024-04-19 00:00:00,0.49402538,N,0.03459
