Variable,Date,Depth,QC,Data
phyc,2021-11-01 00:00:00,0.49402538,N,1.2482435
phyc,2021-11-02 00:00:00,0.49402538,N,1.2749658
phyc,2021-11-03 00:00:00,0.49402538,N,1.2529328
phyc,2021-11-04 00:00:00,0.49402538,N,1.2239438
phyc,2021-11-05 00:00:00,0.49402538,N,1.1963199
phyc,2021-11-06 00:00:00,0.49402538,N,1.174076
phyc,2021-11-07 00:00:00,0.49402538,N,1.1802169
phyc,2021-11-08 00:00:00,0.49402538,N,1.2030948
phyc,2021-11-09 00:00:00,0.49402538,N,1.1999115
phyc,2021-11-10 00:00:00,0.49402538,N,1.2104838
phyc,2021-11-11 00:00:00,0.49402538,N,1.2512374
phyc,2021-11-12 00:00:00,0.49402538,N,1.2538395
phyc,2021-11-13 00:00:00,0.49402538,N,1.2072465
phyc,2021-11-14 00:00:00,0.49402538,N,1.1578649
phyc,2021-11-15 00:00:00,0.49402538,N,1.1377219
phyc,2021-11-16 00:00:00,0.49402538,N,1.1233618
phyc,2021-11-17 00:00:00,0.49402538,N,1.1094731
phyc,2021-11-18 00:00:00,0.49402538,N,1.1012522
phyc,2021-11-19 00:00:00,0.49402538,N,1.0930141
phyc,2021-11-20 00:00:00,0.49402538,N,1.101356
phyc,2021-11-21 00:00:00,0.49402538,N,1.1266164
phyc,2021-11-22 00:00:00,0.49402538,N,1.1573906
phyc,2021-11-23 00:00:00,0.49402538,N,1.175621
phyc,2021-11-24 00:00:00,0.49402538,N,1.173677
phyc,2021-11-25 00:00:00,0.49402538,N,1.1586622
phyc,2021-11-26 00:00:00,0.49402538,N,1.1262584
phyc,2021-11-27 00:00:00,0.49402538,N,1.1000539
phyc,2021-11-28 00:00:00,0.49402538,N,1.0740464
phyc,2021-11-29 00:00:00,0.49402538,N,1.058703
phyc,2021-11-30 00:00:00,0.49402538,N,1.055455
phyc,2021-12-01 00:00:00,0.49402538,N,1.0551525
phyc,2021-12-02 00:00:00,0.49402538,N,1.077047
phyc,2021-12-03 00:00:00,0.49402538,N,1.1203429
phyc,2021-12-04 00:00:00,0.49402538,N,1.154934
phyc,2021-12-05 00:00:00,0.49402538,N,1.1773831
phyc,2021-12-06 00:00:00,0.49402538,N,1.2244608
phyc,2021-12-07 00:00:00,0.49402538,N,1.2324436
phyc,2021-12-08 00:00:00,0.49402538,N,1.1783667
phyc,2021-12-09 00:00:00,0.49402538,N,1.1047806
phyc,2021-12-10 00:00:00,0.49402538,N,1.0674989
phyc,2021-12-11 00:00:00,0.49402538,N,1.0702016
phyc,2021-12-12 00:00:00,0.49402538,N,1.0928007
phyc,2021-12-13 00:00:00,0.49402538,N,1.0797884
phyc,2021-12-14 00:00:00,0.49402538,N,1.0707731
phyc,2021-12-15 00:00:00,0.49402538,N,1.0902761
phyc,2021-12-16 00:00:00,0.49402538,N,1.1027776
phyc,2021-12-17 00:00:00,0.49402538,N,1.0999411
phyc,2021-12-18 00:00:00,0.49402538,N,1.1095207
phyc,2021-12-19 00:00:00,0.49402538,N,1.0983411
phyc,2021-12-20 00:00:00,0.49402538,N,1.0765325
phyc,2021-12-21 00:00:00,0.49402538,N,1.0686331
phyc,2021-12-22 00:00:00,0.49402538,N,1.0708599
phyc,2021-12-23 00:00:00,0.49402538,N,1.0643651
phyc,2021-12-24 00:00:00,0.49402538,N,1.0262351
phyc,2021-12-25 00:00:00,0.49402538,N,0.9924687
phyc,2021-12-26 00:00:00,0.49402538,N,0.99020123
phyc,2021-12-27 00:00:00,0.49402538,N,1.0260998
phyc,2021-12-28 00:00:00,0.49402538,N,1.0678067
phyc,2021-12-29 00:00:00,0.49402538,N,1.0833942
phyc,2021-12-30 00:00:00,0.49402538,N,1.0890383
phyc,2021-12-31 00:00:00,0.49402538,N,1.0907301
