Variable,Date,Depth,QC,Data
phyc,2021-11-01 00:00:00,0.49402538,N,1.4942513
phyc,2021-11-02 00:00:00,0.49402538,N,1.479113
phyc,2021-11-03 00:00:00,0.49402538,N,1.4221567
phyc,2021-11-04 00:00:00,0.49402538,N,1.402637
phyc,2021-11-05 00:00:00,0.49402538,N,1.4229425
phyc,2021-11-06 00:00:00,0.49402538,N,1.4602295
phyc,2021-11-07 00:00:00,0.49402538,N,1.4823433
phyc,2021-11-08 00:00:00,0.49402538,N,1.488194
phyc,2021-11-09 00:00:00,0.49402538,N,1.4880314
phyc,2021-11-10 00:00:00,0.49402538,N,1.5107728
phyc,2021-11-11 00:00:00,0.49402538,N,1.5255989
phyc,2021-11-12 00:00:00,0.49402538,N,1.5096678
phyc,2021-11-13 00:00:00,0.49402538,N,1.4888206
phyc,2021-11-14 00:00:00,0.49402538,N,1.4703913
phyc,2021-11-15 00:00:00,0.49402538,N,1.4074756
phyc,2021-11-16 00:00:00,0.49402538,N,1.3322227
phyc,2021-11-17 00:00:00,0.49402538,N,1.2857599
phyc,2021-11-18 00:00:00,0.49402538,N,1.2655493
phyc,2021-11-19 00:00:00,0.49402538,N,1.2957028
phyc,2021-11-20 00:00:00,0.49402538,N,1.3267766
phyc,2021-11-21 00:00:00,0.49402538,N,1.3239161
phyc,2021-11-22 00:00:00,0.49402538,N,1.3623103
phyc,2021-11-23 00:00:00,0.49402538,N,1.3962574
phyc,2021-11-24 00:00:00,0.49402538,N,1.3942693
phyc,2021-11-25 00:00:00,0.49402538,N,1.3728808
phyc,2021-11-26 00:00:00,0.49402538,N,1.3521107
phyc,2021-11-27 00:00:00,0.49402538,N,1.3426243
phyc,2021-11-28 00:00:00,0.49402538,N,1.3111814
phyc,2021-11-29 00:00:00,0.49402538,N,1.2884454
phyc,2021-11-30 00:00:00,0.49402538,N,1.3313807
phyc,2021-12-01 00:00:00,0.49402538,N,1.3521582
phyc,2021-12-02 00:00:00,0.49402538,N,1.3356508
phyc,2021-12-03 00:00:00,0.49402538,N,1.3196987
phyc,2021-12-04 00:00:00,0.49402538,N,1.3094977
phyc,2021-12-05 00:00:00,0.49402538,N,1.3092695
phyc,2021-12-06 00:00:00,0.49402538,N,1.32247
phyc,2021-12-07 00:00:00,0.49402538,N,1.3228261
phyc,2021-12-08 00:00:00,0.49402538,N,1.3091836
phyc,2021-12-09 00:00:00,0.49402538,N,1.2592961
phyc,2021-12-10 00:00:00,0.49402538,N,1.2239094
phyc,2021-12-11 00:00:00,0.49402538,N,1.2280294
phyc,2021-12-12 00:00:00,0.49402538,N,1.2656142
phyc,2021-12-13 00:00:00,0.49402538,N,1.3003122
phyc,2021-12-14 00:00:00,0.49402538,N,1.3093762
phyc,2021-12-15 00:00:00,0.49402538,N,1.3033458
phyc,2021-12-16 00:00:00,0.49402538,N,1.2924252
phyc,2021-12-17 00:00:00,0.49402538,N,1.2863458
phyc,2021-12-18 00:00:00,0.49402538,N,1.2744597
phyc,2021-12-19 00:00:00,0.49402538,N,1.2603191
phyc,2021-12-20 00:00:00,0.49402538,N,1.2590615
phyc,2021-12-21 00:00:00,0.49402538,N,1.264963
phyc,2021-12-22 00:00:00,0.49402538,N,1.2623087
phyc,2021-12-23 00:00:00,0.49402538,N,1.2496835
phyc,2021-12-24 00:00:00,0.49402538,N,1.2356228
phyc,2021-12-25 00:00:00,0.49402538,N,1.2332778
phyc,2021-12-26 00:00:00,0.49402538,N,1.2522482
phyc,2021-12-27 00:00:00,0.49402538,N,1.2728457
phyc,2021-12-28 00:00:00,0.49402538,N,1.2731537
phyc,2021-12-29 00:00:00,0.49402538,N,1.254615
phyc,2021-12-30 00:00:00,0.49402538,N,1.2380495
phyc,2021-12-31 00:00:00,0.49402538,N,1.2253461
phyc,2022-01-01 00:00:00,0.49402538,N,1.2234112
phyc,2022-01-02 00:00:00,0.49402538,N,1.2232791
phyc,2022-01-03 00:00:00,0.49402538,N,1.2291259
phyc,2022-01-04 00:00:00,0.49402538,N,1.2220033
phyc,2022-01-05 00:00:00,0.49402538,N,1.2159747
phyc,2022-01-06 00:00:00,0.49402538,N,1.2228277
phyc,2022-01-07 00:00:00,0.49402538,N,1.2237227
phyc,2022-01-08 00:00:00,0.49402538,N,1.2064223
phyc,2022-01-09 00:00:00,0.49402538,N,1.2019416
phyc,2022-01-10 00:00:00,0.49402538,N,1.2015425
phyc,2022-01-11 00:00:00,0.49402538,N,1.2067097
phyc,2022-01-12 00:00:00,0.49402538,N,1.2072946
phyc,2022-01-13 00:00:00,0.49402538,N,1.2042507
phyc,2022-01-14 00:00:00,0.49402538,N,1.209088
phyc,2022-01-15 00:00:00,0.49402538,N,1.2110972
phyc,2022-01-16 00:00:00,0.49402538,N,1.204094
phyc,2022-01-17 00:00:00,0.49402538,N,1.2056338
phyc,2022-01-18 00:00:00,0.49402538,N,1.2206169
phyc,2022-01-19 00:00:00,0.49402538,N,1.236323
phyc,2022-01-20 00:00:00,0.49402538,N,1.2550654
phyc,2022-01-21 00:00:00,0.49402538,N,1.2613269
phyc,2022-01-22 00:00:00,0.49402538,N,1.2570604
phyc,2022-01-23 00:00:00,0.49402538,N,1.2339178
phyc,2022-01-24 00:00:00,0.49402538,N,1.2096206
phyc,2022-01-25 00:00:00,0.49402538,N,1.203631
phyc,2022-01-26 00:00:00,0.49402538,N,1.1952891
phyc,2022-01-27 00:00:00,0.49402538,N,1.1921593
phyc,2022-01-28 00:00:00,0.49402538,N,1.1964167
phyc,2022-01-29 00:00:00,0.49402538,N,1.216515
phyc,2022-01-30 00:00:00,0.49402538,N,1.2281865
phyc,2022-01-31 00:00:00,0.49402538,N,1.211938
phyc,2022-02-01 00:00:00,0.49402538,N,1.1932219
