Variable,Date,Depth,QC,Data
chl,2021-11-01 00:00:00,0.49402538,N,0.24735956
chl,2021-11-02 00:00:00,0.49402538,N,0.24299021
chl,2021-11-03 00:00:00,0.49402538,N,0.22553882
chl,2021-11-04 00:00:00,0.49402538,N,0.22080693
chl,2021-11-05 00:00:00,0.49402538,N,0.2325007
chl,2021-11-06 00:00:00,0.49402538,N,0.23166822
chl,2021-11-07 00:00:00,0.49402538,N,0.22174391
chl,2021-11-08 00:00:00,0.49402538,N,0.21039093
chl,2021-11-09 00:00:00,0.49402538,N,0.203931
chl,2021-11-10 00:00:00,0.49402538,N,0.19789179
chl,2021-11-11 00:00:00,0.49402538,N,0.19434483
chl,2021-11-12 00:00:00,0.49402538,N,0.18827988
chl,2021-11-13 00:00:00,0.49402538,N,0.18309037
chl,2021-11-14 00:00:00,0.49402538,N,0.17786287
chl,2021-11-15 00:00:00,0.49402538,N,0.1671657
chl,2021-11-16 00:00:00,0.49402538,N,0.15737678
chl,2021-11-17 00:00:00,0.49402538,N,0.1573648
chl,2021-11-18 00:00:00,0.49402538,N,0.17858785
chl,2021-11-19 00:00:00,0.49402538,N,0.19419989
chl,2021-11-20 00:00:00,0.49402538,N,0.18732505
chl,2021-11-21 00:00:00,0.49402538,N,0.17633243
chl,2021-11-22 00:00:00,0.49402538,N,0.19124423
chl,2021-11-23 00:00:00,0.49402538,N,0.186387
chl,2021-11-24 00:00:00,0.49402538,N,0.17376435
chl,2021-11-25 00:00:00,0.49402538,N,0.16340287
chl,2021-11-26 00:00:00,0.49402538,N,0.15308455
chl,2021-11-27 00:00:00,0.49402538,N,0.14290154
chl,2021-11-28 00:00:00,0.49402538,N,0.1361415
chl,2021-11-29 00:00:00,0.49402538,N,0.14682798
chl,2021-11-30 00:00:00,0.49402538,N,0.16669628
chl,2021-12-01 00:00:00,0.49402538,N,0.17019024
chl,2021-12-02 00:00:00,0.49402538,N,0.16786614
chl,2021-12-03 00:00:00,0.49402538,N,0.16076504
chl,2021-12-04 00:00:00,0.49402538,N,0.1528464
chl,2021-12-05 00:00:00,0.49402538,N,0.14821261
chl,2021-12-06 00:00:00,0.49402538,N,0.14652017
chl,2021-12-07 00:00:00,0.49402538,N,0.14150494
chl,2021-12-08 00:00:00,0.49402538,N,0.13266385
chl,2021-12-09 00:00:00,0.49402538,N,0.124894805
chl,2021-12-10 00:00:00,0.49402538,N,0.12158144
chl,2021-12-11 00:00:00,0.49402538,N,0.12320535
chl,2021-12-12 00:00:00,0.49402538,N,0.13763139
chl,2021-12-13 00:00:00,0.49402538,N,0.14003883
chl,2021-12-14 00:00:00,0.49402538,N,0.13641134
chl,2021-12-15 00:00:00,0.49402538,N,0.1330598
chl,2021-12-16 00:00:00,0.49402538,N,0.12947209
chl,2021-12-17 00:00:00,0.49402538,N,0.12727796
chl,2021-12-18 00:00:00,0.49402538,N,0.12604278
chl,2021-12-19 00:00:00,0.49402538,N,0.123218104
chl,2021-12-20 00:00:00,0.49402538,N,0.1209562
chl,2021-12-21 00:00:00,0.49402538,N,0.12040563
chl,2021-12-22 00:00:00,0.49402538,N,0.11916642
chl,2021-12-23 00:00:00,0.49402538,N,0.11899482
chl,2021-12-24 00:00:00,0.49402538,N,0.11870226
chl,2021-12-25 00:00:00,0.49402538,N,0.11699368
chl,2021-12-26 00:00:00,0.49402538,N,0.11447373
chl,2021-12-27 00:00:00,0.49402538,N,0.11318579
chl,2021-12-28 00:00:00,0.49402538,N,0.11267607
chl,2021-12-29 00:00:00,0.49402538,N,0.10987496
chl,2021-12-30 00:00:00,0.49402538,N,0.109217405
chl,2021-12-31 00:00:00,0.49402538,N,0.11724217
chl,2022-01-01 00:00:00,0.49402538,N,0.12913185
chl,2022-01-02 00:00:00,0.49402538,N,0.13245736
chl,2022-01-03 00:00:00,0.49402538,N,0.13064083
chl,2022-01-04 00:00:00,0.49402538,N,0.12721977
chl,2022-01-05 00:00:00,0.49402538,N,0.12273446
chl,2022-01-06 00:00:00,0.49402538,N,0.119219854
chl,2022-01-07 00:00:00,0.49402538,N,0.11736784
chl,2022-01-08 00:00:00,0.49402538,N,0.12058255
chl,2022-01-09 00:00:00,0.49402538,N,0.12289208
chl,2022-01-10 00:00:00,0.49402538,N,0.12094644
chl,2022-01-11 00:00:00,0.49402538,N,0.11780145
chl,2022-01-12 00:00:00,0.49402538,N,0.11501526
chl,2022-01-13 00:00:00,0.49402538,N,0.11474855
chl,2022-01-14 00:00:00,0.49402538,N,0.1153426
chl,2022-01-15 00:00:00,0.49402538,N,0.11592159
chl,2022-01-16 00:00:00,0.49402538,N,0.11639705
chl,2022-01-17 00:00:00,0.49402538,N,0.11501393
chl,2022-01-18 00:00:00,0.49402538,N,0.11239898
chl,2022-01-19 00:00:00,0.49402538,N,0.11001917
chl,2022-01-20 00:00:00,0.49402538,N,0.10890238
chl,2022-01-21 00:00:00,0.49402538,N,0.10853325
chl,2022-01-22 00:00:00,0.49402538,N,0.10828145
chl,2022-01-23 00:00:00,0.49402538,N,0.106650114
chl,2022-01-24 00:00:00,0.49402538,N,0.109785035
chl,2022-01-25 00:00:00,0.49402538,N,0.11355235
chl,2022-01-26 00:00:00,0.49402538,N,0.115901425
chl,2022-01-27 00:00:00,0.49402538,N,0.11908424
chl,2022-01-28 00:00:00,0.49402538,N,0.1206042
chl,2022-01-29 00:00:00,0.49402538,N,0.12110552
chl,2022-01-30 00:00:00,0.49402538,N,0.12173517
chl,2022-01-31 00:00:00,0.49402538,N,0.123411074
chl,2022-02-01 00:00:00,0.49402538,N,0.124344975
chl,2022-02-02 00:00:00,0.49402538,N,0.12341678
chl,2022-02-03 00:00:00,0.49402538,N,0.121030435
chl,2022-02-04 00:00:00,0.49402538,N,0.118791066
chl,2022-02-05 00:00:00,0.49402538,N,0.11641571
chl,2022-02-06 00:00:00,0.49402538,N,0.11445703
