Variable,Date,Depth,QC,Data
npp,1998-01-01 00:00:00,0,N,1113.9126
npp,1998-01-02 00:00:00,0,N,1029.8833
npp,1998-01-03 00:00:00,0,N,1203.9609
npp,1998-01-04 00:00:00,0,N,1012.98486
npp,1998-01-05 00:00:00,0,N,1004.8828
npp,1998-01-06 00:00:00,0,N,733.1177
npp,1998-01-07 00:00:00,0,N,728.9507
npp,1998-01-08 00:00:00,0,N,754.87744
npp,1998-01-09 00:00:00,0,N,662.97705
npp,1998-01-10 00:00:00,0,N,828.02686
npp,1998-01-11 00:00:00,0,N,815.98975
npp,1998-01-12 00:00:00,0,N,1084.0508
npp,1998-01-13 00:00:00,0,N,755.1089
npp,1998-01-14 00:00:00,0,N,642.14355
npp,1998-01-15 00:00:00,0,N,718.9971
npp,1998-01-16 00:00:00,0,N,727.0991
npp,1998-01-17 00:00:00,0,N,892.84326
npp,1998-01-18 00:00:00,0,N,909.04736
npp,1998-01-19 00:00:00,0,N,1127.1074
npp,1998-01-20 00:00:00,0,N,853.9536
npp,1998-01-21 00:00:00,0,N,959.9741
npp,1998-01-22 00:00:00,0,N,808.11914
npp,1998-01-23 00:00:00,0,N,1003.03076
npp,1998-01-24 00:00:00,0,N,750.9419
npp,1998-01-25 00:00:00,0,N,1003.03076
npp,1998-01-26 00:00:00,0,N,759.9702
npp,1998-01-27 00:00:00,0,N,754.1826
npp,1998-01-28 00:00:00,0,N,734.04346
npp,1998-01-29 00:00:00,0,N,784.9707
npp,1998-01-30 00:00:00,0,N,775.0166
npp,1998-01-31 00:00:00,0,N,634.0415
npp,1998-02-01 00:00:00,0,N,831.03613
npp,1998-02-02 00:00:00,0,N,722.00635
npp,1998-02-03 00:00:00,0,N,1052.8003
npp,1998-02-04 00:00:00,0,N,956.96484
npp,1998-02-05 00:00:00,0,N,1729.898
npp,1998-02-06 00:00:00,0,N,1234.0542
npp,1998-02-07 00:00:00,0,N,1227.1099
npp,1998-02-08 00:00:00,0,N,965.0669
npp,1998-02-09 00:00:00,0,N,953.95557
npp,1998-02-10 00:00:00,0,N,881.0376
npp,1998-02-11 00:00:00,0,N,898.8618
npp,1998-02-12 00:00:00,0,N,922.9365
npp,1998-02-13 00:00:00,0,N,721.0801
npp,1998-02-14 00:00:00,0,N,903.0288
npp,1998-02-15 00:00:00,0,N,870.85205
npp,1998-02-16 00:00:00,0,N,1523.1807
npp,1998-02-17 00:00:00,0,N,1192.1553
npp,1998-02-18 00:00:00,0,N,986.1323
npp,1998-02-19 00:00:00,0,N,887.7505
npp,1998-02-20 00:00:00,0,N,712.05225
npp,1998-02-21 00:00:00,0,N,897.00977
npp,1998-02-22 00:00:00,0,N,731.0342
npp,1998-02-23 00:00:00,0,N,972.9375
npp,1998-02-24 00:00:00,0,N,925.9458
npp,1998-02-25 00:00:00,0,N,967.1504
npp,1998-02-26 00:00:00,0,N,1128.9595
npp,1998-02-27 00:00:00,0,N,1366.0015
npp,1998-02-28 00:00:00,0,N,944.00195
npp,1998-03-01 00:00:00,0,N,931.96436
npp,1998-03-02 00:00:00,0,N,946.08496
npp,1998-03-03 00:00:00,0,N,947.937
npp,1998-03-04 00:00:00,0,N,969.9282
npp,1998-03-05 00:00:00,0,N,702.09863
npp,1998-03-06 00:00:00,0,N,800.9429
npp,1998-03-07 00:00:00,0,N,834.0459
npp,1998-03-08 00:00:00,0,N,812.98047
npp,1998-03-09 00:00:00,0,N,693.9966
npp,1998-03-10 00:00:00,0,N,1079.8843
npp,1998-03-11 00:00:00,0,N,1186.1367
npp,1998-03-12 00:00:00,0,N,1186.1367
npp,1998-03-13 00:00:00,0,N,1215.0723
npp,1998-03-14 00:00:00,0,N,855.11084
npp,1998-03-15 00:00:00,0,N,990.7622
npp,1998-03-16 00:00:00,0,N,729.1821
npp,1998-03-17 00:00:00,0,N,867.8428
