Variable,Date,Depth,QC,Data
zooc,1998-01-01 00:00:00,0,N,0.85829926
zooc,1998-01-02 00:00:00,0,N,0.8380661
zooc,1998-01-03 00:00:00,0,N,0.86696625
zooc,1998-01-04 00:00:00,0,N,0.91031647
zooc,1998-01-05 00:00:00,0,N,0.82650757
zooc,1998-01-06 00:00:00,0,N,0.89875793
zooc,1998-01-07 00:00:00,0,N,0.93343353
zooc,1998-01-08 00:00:00,0,N,1.0490265
zooc,1998-01-09 00:00:00,0,N,1.0490265
zooc,1998-01-10 00:00:00,0,N,1.1559525
zooc,1998-01-11 00:00:00,0,N,1.1068268
zooc,1998-01-12 00:00:00,0,N,0.95077515
zooc,1998-01-13 00:00:00,0,N,0.80049896
zooc,1998-01-14 00:00:00,0,N,0.64733887
zooc,1998-01-15 00:00:00,0,N,0.54330444
zooc,1998-01-16 00:00:00,0,N,0.456604
zooc,1998-01-17 00:00:00,0,N,0.45371246
zooc,1998-01-18 00:00:00,0,N,0.6184387
zooc,1998-01-19 00:00:00,0,N,0.87563324
zooc,1998-01-20 00:00:00,0,N,1.0027924
zooc,1998-01-21 00:00:00,0,N,0.99411774
zooc,1998-01-22 00:00:00,0,N,0.8785248
zooc,1998-01-23 00:00:00,0,N,0.82650757
zooc,1998-01-24 00:00:00,0,N,0.8554077
zooc,1998-01-25 00:00:00,0,N,0.89297485
zooc,1998-01-26 00:00:00,0,N,0.9710007
zooc,1998-01-27 00:00:00,0,N,0.9999008
zooc,1998-01-28 00:00:00,0,N,1.1761856
zooc,1998-01-29 00:00:00,0,N,1.0981598
zooc,1998-01-30 00:00:00,0,N,0.9738922
zooc,1998-01-31 00:00:00,0,N,0.64733887
zooc,1998-02-01 00:00:00,0,N,0.43637848
zooc,1998-02-02 00:00:00,0,N,0.465271
zooc,1998-02-03 00:00:00,0,N,0.4219284
zooc,1998-02-04 00:00:00,0,N,0.53752136
zooc,1998-02-05 00:00:00,0,N,0.5086212
zooc,1998-02-06 00:00:00,0,N,0.5259628
zooc,1998-02-07 00:00:00,0,N,0.53752136
