Variable,Date,Depth,QC,Data
npp,1998-01-01 00:00:00,0,N,794.5193
npp,1998-01-02 00:00:00,0,N,769.8082
npp,1998-01-03 00:00:00,0,N,820.9668
npp,1998-01-04 00:00:00,0,N,928.2605
npp,1998-01-05 00:00:00,0,N,925.7145
npp,1998-01-06 00:00:00,0,N,718.7654
npp,1998-01-07 00:00:00,0,N,721.4855
npp,1998-01-08 00:00:00,0,N,649.4354
npp,1998-01-09 00:00:00,0,N,643.24304
npp,1998-01-10 00:00:00,0,N,711.2999
npp,1998-01-11 00:00:00,0,N,706.9595
npp,1998-01-12 00:00:00,0,N,740.0044
npp,1998-01-13 00:00:00,0,N,570.26697
npp,1998-01-14 00:00:00,0,N,571.4823
npp,1998-01-15 00:00:00,0,N,631.495
npp,1998-01-16 00:00:00,0,N,611.5293
npp,1998-01-17 00:00:00,0,N,675.709
npp,1998-01-18 00:00:00,0,N,712.7467
npp,1998-01-19 00:00:00,0,N,928.7815
npp,1998-01-20 00:00:00,0,N,802.44775
npp,1998-01-21 00:00:00,0,N,937.98303
npp,1998-01-22 00:00:00,0,N,825.4807
npp,1998-01-23 00:00:00,0,N,931.03845
npp,1998-01-24 00:00:00,0,N,869.2893
npp,1998-01-25 00:00:00,0,N,966.9767
npp,1998-01-26 00:00:00,0,N,767.9562
npp,1998-01-27 00:00:00,0,N,759.4492
npp,1998-01-28 00:00:00,0,N,716.9713
npp,1998-01-29 00:00:00,0,N,758.2919
npp,1998-01-30 00:00:00,0,N,662.0513
npp,1998-01-31 00:00:00,0,N,623.5088
npp,1998-02-01 00:00:00,0,N,676.7506
npp,1998-02-02 00:00:00,0,N,650.9978
npp,1998-02-03 00:00:00,0,N,748.68494
npp,1998-02-04 00:00:00,0,N,763.9053
npp,1998-02-05 00:00:00,0,N,1043.1936
npp,1998-02-06 00:00:00,0,N,895.21606
npp,1998-02-07 00:00:00,0,N,917.20715
npp,1998-02-08 00:00:00,0,N,880.05347
npp,1998-02-09 00:00:00,0,N,826.9275
npp,1998-02-10 00:00:00,0,N,764.25256
npp,1998-02-11 00:00:00,0,N,687.0519
npp,1998-02-12 00:00:00,0,N,685.02625
npp,1998-02-13 00:00:00,0,N,652.84973
npp,1998-02-14 00:00:00,0,N,683.7532
npp,1998-02-15 00:00:00,0,N,741.5089
npp,1998-02-16 00:00:00,0,N,912.98254
npp,1998-02-17 00:00:00,0,N,702.8507
npp,1998-02-18 00:00:00,0,N,678.5447
npp,1998-02-19 00:00:00,0,N,755.51404
npp,1998-02-20 00:00:00,0,N,728.54565
npp,1998-02-21 00:00:00,0,N,790.2368
npp,1998-02-22 00:00:00,0,N,640.4652
npp,1998-02-23 00:00:00,0,N,761.6483
npp,1998-02-24 00:00:00,0,N,781.7876
npp,1998-02-25 00:00:00,0,N,826.23303
npp,1998-02-26 00:00:00,0,N,818.94104
npp,1998-02-27 00:00:00,0,N,864.71765
npp,1998-02-28 00:00:00,0,N,812.7488
npp,1998-03-01 00:00:00,0,N,802.5635
npp,1998-03-02 00:00:00,0,N,665.755
npp,1998-03-03 00:00:00,0,N,658.8104
npp,1998-03-04 00:00:00,0,N,696.7163
npp,1998-03-05 00:00:00,0,N,636.76135
npp,1998-03-06 00:00:00,0,N,747.00684
npp,1998-03-07 00:00:00,0,N,646.25244
npp,1998-03-08 00:00:00,0,N,632.24744
npp,1998-03-09 00:00:00,0,N,544.97705
npp,1998-03-10 00:00:00,0,N,720.90674
npp,1998-03-11 00:00:00,0,N,795.5032
npp,1998-03-12 00:00:00,0,N,797.0077
npp,1998-03-13 00:00:00,0,N,777.2737
npp,1998-03-14 00:00:00,0,N,710.7213
npp,1998-03-15 00:00:00,0,N,838.61755
npp,1998-03-16 00:00:00,0,N,758.6969
npp,1998-03-17 00:00:00,0,N,683.29016
npp,1998-03-18 00:00:00,0,N,630.80066
npp,1998-03-19 00:00:00,0,N,637.28235
npp,1998-03-20 00:00:00,0,N,576.34326
npp,1998-03-21 00:00:00,0,N,849.72876
npp,1998-03-22 00:00:00,0,N,837.51794
npp,1998-03-23 00:00:00,0,N,846.77734
npp,1998-03-24 00:00:00,0,N,870.1575
npp,1998-03-25 00:00:00,0,N,840.4116
npp,1998-03-26 00:00:00,0,N,826.2909
npp,1998-03-27 00:00:00,0,N,776.52136
npp,1998-03-28 00:00:00,0,N,894.7529
npp,1998-03-29 00:00:00,0,N,928.72363
npp,1998-03-30 00:00:00,0,N,789.0216
npp,1998-03-31 00:00:00,0,N,847.4719
npp,1998-04-01 00:00:00,0,N,852.796
npp,1998-04-02 00:00:00,0,N,911.4778
npp,1998-04-03 00:00:00,0,N,894.2322
npp,1998-04-04 00:00:00,0,N,823.22363
npp,1998-04-05 00:00:00,0,N,879.01184
npp,1998-04-06 00:00:00,0,N,980.28735
npp,1998-04-07 00:00:00,0,N,974.9053
npp,1998-04-08 00:00:00,0,N,1100.1971
npp,1998-04-09 00:00:00,0,N,1169.8168
npp,1998-04-10 00:00:00,0,N,1042.0361
npp,1998-04-11 00:00:00,0,N,1171.9001
npp,1998-04-12 00:00:00,0,N,1166.5181
npp,1998-04-13 00:00:00,0,N,1028.7836
npp,1998-04-14 00:00:00,0,N,1025.7164
npp,1998-04-15 00:00:00,0,N,962.4048
npp,1998-04-16 00:00:00,0,N,919.4641
npp,1998-04-17 00:00:00,0,N,933.0062
npp,1998-04-18 00:00:00,0,N,974.73157
npp,1998-04-19 00:00:00,0,N,958.23804
npp,1998-04-20 00:00:00,0,N,934.2213
npp,1998-04-21 00:00:00,0,N,1071.4929
npp,1998-04-22 00:00:00,0,N,1046.0873
npp,1998-04-23 00:00:00,0,N,979.2456
npp,1998-04-24 00:00:00,0,N,1013.10046
npp,1998-04-25 00:00:00,0,N,1004.2461
npp,1998-04-26 00:00:00,0,N,1018.48254
npp,1998-04-27 00:00:00,0,N,1034.455
npp,1998-04-28 00:00:00,0,N,1169.0066
npp,1998-04-29 00:00:00,0,N,1141.5175
npp,1998-04-30 00:00:00,0,N,1202.8037
npp,1998-05-01 00:00:00,0,N,1317.1
npp,1998-05-02 00:00:00,0,N,1352.0543
npp,1998-05-03 00:00:00,0,N,1219.2969
npp,1998-05-04 00:00:00,0,N,1216.0562
npp,1998-05-05 00:00:00,0,N,707.9436
npp,1998-05-06 00:00:00,0,N,788.7322
npp,1998-05-07 00:00:00,0,N,683.92676
npp,1998-05-08 00:00:00,0,N,582.99866
npp,1998-05-09 00:00:00,0,N,725.76794
npp,1998-05-10 00:00:00,0,N,801.81116
npp,1998-05-11 00:00:00,0,N,805.2257
npp,1998-05-12 00:00:00,0,N,1132.7789
npp,1998-05-13 00:00:00,0,N,1069.5833
npp,1998-05-14 00:00:00,0,N,1268.0828
npp,1998-05-15 00:00:00,0,N,1287.8169
npp,1998-05-16 00:00:00,0,N,1204.7711
npp,1998-05-17 00:00:00,0,N,1062.4648
npp,1998-05-18 00:00:00,0,N,956.32837
npp,1998-05-19 00:00:00,0,N,911.9988
npp,1998-05-20 00:00:00,0,N,856.21045
npp,1998-05-21 00:00:00,0,N,779.00977
npp,1998-05-22 00:00:00,0,N,1143.543
npp,1998-05-23 00:00:00,0,N,1291.9835
npp,1998-05-24 00:00:00,0,N,1280.525
npp,1998-05-25 00:00:00,0,N,1214.8987
npp,1998-05-26 00:00:00,0,N,747.75916
npp,1998-05-27 00:00:00,0,N,971.60645
npp,1998-05-28 00:00:00,0,N,1002.27844
npp,1998-05-29 00:00:00,0,N,1507.0345
npp,1998-05-30 00:00:00,0,N,1642.9171
npp,1998-05-31 00:00:00,0,N,1621.4467
npp,1998-06-01 00:00:00,0,N,1327.4011
npp,1998-06-02 00:00:00,0,N,1056.099
npp,1998-06-03 00:00:00,0,N,939.19836
npp,1998-06-04 00:00:00,0,N,1118.9475
npp,1998-06-05 00:00:00,0,N,1267.5618
npp,1998-06-06 00:00:00,0,N,1333.0146
npp,1998-06-07 00:00:00,0,N,1437.2992
npp,1998-06-08 00:00:00,0,N,1287.0647
npp,1998-06-09 00:00:00,0,N,1315.711
npp,1998-06-10 00:00:00,0,N,1265.1891
npp,1998-06-11 00:00:00,0,N,1069.641
npp,1998-06-12 00:00:00,0,N,896.48914
npp,1998-06-13 00:00:00,0,N,1108.6464
npp,1998-06-14 00:00:00,0,N,1560.9708
npp,1998-06-15 00:00:00,0,N,1596.2146
npp,1998-06-16 00:00:00,0,N,1791.9944
npp,1998-06-17 00:00:00,0,N,1391.06
npp,1998-06-18 00:00:00,0,N,1822.2034
npp,1998-06-19 00:00:00,0,N,1354.4271
npp,1998-06-20 00:00:00,0,N,1434.1165
npp,1998-06-21 00:00:00,0,N,1324.5654
npp,1998-06-22 00:00:00,0,N,1249.0428
npp,1998-06-23 00:00:00,0,N,1516.2941
npp,1998-06-24 00:00:00,0,N,1754.5515
npp,1998-06-25 00:00:00,0,N,1607.9625
npp,1998-06-26 00:00:00,0,N,1104.4796
npp,1998-06-27 00:00:00,0,N,1045.0455
npp,1998-06-28 00:00:00,0,N,1262.2955
npp,1998-06-29 00:00:00,0,N,1365.2491
npp,1998-06-30 00:00:00,0,N,1321.7875
npp,1998-07-01 00:00:00,0,N,927.2189
npp,1998-07-02 00:00:00,0,N,739.4834
npp,1998-07-03 00:00:00,0,N,614.24927
npp,1998-07-04 00:00:00,0,N,914.19775
npp,1998-07-05 00:00:00,0,N,1043.3094
npp,1998-07-06 00:00:00,0,N,1014.3157
npp,1998-07-07 00:00:00,0,N,1137.9874
npp,1998-07-08 00:00:00,0,N,1146.6104
npp,1998-07-09 00:00:00,0,N,1292.9097
npp,1998-07-10 00:00:00,0,N,1279.4257
npp,1998-07-11 00:00:00,0,N,1163.2772
npp,1998-07-12 00:00:00,0,N,1039.4897
npp,1998-07-13 00:00:00,0,N,971.0857
npp,1998-07-14 00:00:00,0,N,1139.7814
npp,1998-07-15 00:00:00,0,N,886.07227
npp,1998-07-16 00:00:00,0,N,877.44934
npp,1998-07-17 00:00:00,0,N,775.0166
npp,1998-07-18 00:00:00,0,N,759.7965
npp,1998-07-19 00:00:00,0,N,786.70667
npp,1998-07-20 00:00:00,0,N,893.76917
npp,1998-07-21 00:00:00,0,N,1088.2178
npp,1998-07-22 00:00:00,0,N,1086.308
npp,1998-07-23 00:00:00,0,N,1359.7513
npp,1998-07-24 00:00:00,0,N,1297.8286
npp,1998-07-25 00:00:00,0,N,933.0061
npp,1998-07-26 00:00:00,0,N,985.5536
npp,1998-07-27 00:00:00,0,N,981.4447
npp,1998-07-28 00:00:00,0,N,1084.0511
npp,1998-07-29 00:00:00,0,N,1109.2252
npp,1998-07-30 00:00:00,0,N,1082.4885
npp,1998-07-31 00:00:00,0,N,424.71985
npp,1998-08-01 00:00:00,0,N,1087.0603
npp,1998-08-02 00:00:00,0,N,1085.44
