Variable,Date,Depth,QC,Data
par,2003-01-16 00:00:00,0,N,162.56339112100002
par,2003-02-16 00:00:00,0,N,132.2877480554
par,2003-03-16 00:00:00,0,N,113.8097691544
par,2003-04-16 00:00:00,0,N,84.2624452112
par,2003-05-16 00:00:00,0,N,65.3547547066
par,2003-06-16 00:00:00,0,N,52.8677247118
par,2003-07-16 00:00:00,0,N,49.0392987336
par,2003-08-16 00:00:00,0,N,70.83812568399999
par,2003-09-16 00:00:00,0,N,97.925169656
par,2003-10-16 00:00:00,0,N,122.28757162
par,2003-11-16 00:00:00,0,N,153.2548123852
par,2003-12-16 00:00:00,0,N,161.84110332999998
par,2004-01-16 00:00:00,0,N,158.5367439392
par,2004-02-16 00:00:00,0,N,137.72369117899999
par,2004-03-16 00:00:00,0,N,119.58420408299999
par,2004-04-16 00:00:00,0,N,83.226384764
par,2004-05-16 00:00:00,0,N,62.527821620000005
par,2004-06-16 00:00:00,0,N,45.0273562246
par,2004-07-16 00:00:00,0,N,60.546767036
par,2004-08-16 00:00:00,0,N,69.59348735399999
par,2004-09-16 00:00:00,0,N,98.46481152140001
par,2004-10-16 00:00:00,0,N,129.48489751900001
par,2004-11-16 00:00:00,0,N,152.282613094
par,2004-12-16 00:00:00,0,N,158.660098128
par,2005-01-16 00:00:00,0,N,163.103757652
par,2005-02-16 00:00:00,0,N,137.4687045034
par,2005-03-16 00:00:00,0,N,100.533613548
par,2005-04-16 00:00:00,0,N,87.679454876
par,2005-05-16 00:00:00,0,N,61.823373687
par,2005-06-16 00:00:00,0,N,43.8434438654
par,2005-07-16 00:00:00,0,N,58.5706014286
par,2005-08-16 00:00:00,0,N,74.104971049
par,2005-09-16 00:00:00,0,N,97.88960065280001
par,2005-10-16 00:00:00,0,N,120.5964336
par,2005-11-16 00:00:00,0,N,155.77441932
par,2005-12-16 00:00:00,0,N,148.7860864768
par,2006-01-16 00:00:00,0,N,129.3979150012
par,2006-02-16 00:00:00,0,N,140.32159219300001
par,2006-03-16 00:00:00,0,N,117.1023476968
par,2006-04-16 00:00:00,0,N,87.703937502
par,2006-05-16 00:00:00,0,N,66.8472412528
par,2006-06-16 00:00:00,0,N,54.939626696800005
par,2006-07-16 00:00:00,0,N,54.6526389896
par,2006-08-16 00:00:00,0,N,67.8740446002
par,2006-09-16 00:00:00,0,N,98.34637650360001
par,2006-10-16 00:00:00,0,N,126.7501101926
par,2006-11-16 00:00:00,0,N,150.69677804399998
par,2006-12-16 00:00:00,0,N,158.20079098
par,2007-01-16 00:00:00,0,N,152.4782803546
par,2007-02-16 00:00:00,0,N,140.271029154
par,2007-03-16 00:00:00,0,N,118.55524938459999
par,2007-04-16 00:00:00,0,N,86.372112842
par,2007-05-16 00:00:00,0,N,59.4060880252
par,2007-06-16 00:00:00,0,N,56.3310827806
par,2007-07-16 00:00:00,0,N,47.632999586000004
par,2007-08-16 00:00:00,0,N,64.4594504874
par,2007-09-16 00:00:00,0,N,95.149398464
par,2007-10-16 00:00:00,0,N,119.9216969566
par,2007-11-16 00:00:00,0,N,158.73763231479998
par,2007-12-16 00:00:00,0,N,151.8038003636
par,2008-01-16 00:00:00,0,N,161.498245918
par,2008-02-16 00:00:00,0,N,134.7898950784
par,2008-03-16 00:00:00,0,N,114.56225889400001
par,2008-04-16 00:00:00,0,N,86.24815224899999
par,2008-05-16 00:00:00,0,N,58.613852390400005
par,2008-06-16 00:00:00,0,N,53.1324365004
par,2008-07-16 00:00:00,0,N,50.5138397414
par,2008-08-16 00:00:00,0,N,76.621535898
par,2008-09-16 00:00:00,0,N,95.518952758
par,2008-10-16 00:00:00,0,N,119.36495499600001
par,2008-11-16 00:00:00,0,N,143.73804074519998
par,2008-12-16 00:00:00,0,N,167.940019862
par,2009-01-16 00:00:00,0,N,156.803381567
par,2009-02-16 00:00:00,0,N,140.94418814
par,2009-03-16 00:00:00,0,N,118.7018960368
par,2009-04-16 00:00:00,0,N,90.964983026
par,2009-05-16 00:00:00,0,N,68.0694174654
par,2009-06-16 00:00:00,0,N,49.0363321338
par,2009-07-16 00:00:00,0,N,54.4669509782
par,2009-08-16 00:00:00,0,N,69.814057446
par,2009-09-16 00:00:00,0,N,84.46835592199999
par,2009-10-16 00:00:00,0,N,131.058126407
par,2009-11-16 00:00:00,0,N,147.811803772
par,2009-12-16 00:00:00,0,N,165.13322392400002
par,2010-01-16 00:00:00,0,N,159.8015823228
par,2010-02-16 00:00:00,0,N,138.63846072139998
par,2010-03-16 00:00:00,0,N,120.2457055144
par,2010-04-16 00:00:00,0,N,85.41328967
par,2010-05-16 00:00:00,0,N,63.659847418999995
par,2010-06-16 00:00:00,0,N,49.12916984899999
par,2010-07-16 00:00:00,0,N,57.0380116868
par,2010-08-16 00:00:00,0,N,78.1520799692
par,2010-09-16 00:00:00,0,N,106.647677604
par,2010-10-16 00:00:00,0,N,135.449537038
par,2010-11-16 00:00:00,0,N,143.5276889414
par,2010-12-16 00:00:00,0,N,152.993376689
par,2011-01-16 00:00:00,0,N,153.6658789468
par,2011-02-16 00:00:00,0,N,144.10751703699998
