Variable,Date,Depth,QC,Data
par,2003-01-16 00:00:00,0,N,163.13732376000002
par,2003-02-16 00:00:00,0,N,136.506391362
par,2003-03-16 00:00:00,0,N,115.0183503384
par,2003-04-16 00:00:00,0,N,82.32542161100001
par,2003-05-16 00:00:00,0,N,63.975441804
par,2003-06-16 00:00:00,0,N,52.6784108562
par,2003-07-16 00:00:00,0,N,53.3427304316
par,2003-08-16 00:00:00,0,N,70.8560234146
par,2003-09-16 00:00:00,0,N,95.991570604
par,2003-10-16 00:00:00,0,N,125.1195194932
par,2003-11-16 00:00:00,0,N,154.128396766
par,2003-12-16 00:00:00,0,N,164.490183852
par,2004-01-16 00:00:00,0,N,159.73997568200002
par,2004-02-16 00:00:00,0,N,137.6751411
par,2004-03-16 00:00:00,0,N,119.8475294454
par,2004-04-16 00:00:00,0,N,82.89683805
par,2004-05-16 00:00:00,0,N,61.034595311
par,2004-06-16 00:00:00,0,N,46.922714069
par,2004-07-16 00:00:00,0,N,60.517171491599996
par,2004-08-16 00:00:00,0,N,70.57349944619999
par,2004-09-16 00:00:00,0,N,102.8609048006
par,2004-10-16 00:00:00,0,N,131.3724803054
par,2004-11-16 00:00:00,0,N,143.672679934
par,2004-12-16 00:00:00,0,N,155.7746105512
par,2005-01-16 00:00:00,0,N,161.07773857400002
par,2005-02-16 00:00:00,0,N,141.9345040712
par,2005-03-16 00:00:00,0,N,100.39864458
par,2005-04-16 00:00:00,0,N,84.34341904339999
par,2005-05-16 00:00:00,0,N,62.333923248000005
par,2005-06-16 00:00:00,0,N,41.677732911999996
par,2005-07-16 00:00:00,0,N,59.536676289
par,2005-08-16 00:00:00,0,N,73.1464171104
par,2005-09-16 00:00:00,0,N,91.750867772
par,2005-10-16 00:00:00,0,N,129.0064395728
par,2005-11-16 00:00:00,0,N,151.772856136
par,2005-12-16 00:00:00,0,N,159.596124528
par,2006-01-16 00:00:00,0,N,140.1502867808
par,2006-02-16 00:00:00,0,N,140.2462546488
par,2006-03-16 00:00:00,0,N,115.906639392
par,2006-04-16 00:00:00,0,N,92.0568729188
par,2006-05-16 00:00:00,0,N,65.7447128664
par,2006-06-16 00:00:00,0,N,55.061614589
par,2006-07-16 00:00:00,0,N,55.99461148419999
par,2006-08-16 00:00:00,0,N,70.5585834126
par,2006-09-16 00:00:00,0,N,98.5026023292
par,2006-10-16 00:00:00,0,N,132.9003068806
par,2006-11-16 00:00:00,0,N,152.9615769534
par,2006-12-16 00:00:00,0,N,154.720408302
par,2007-01-16 00:00:00,0,N,147.754585384
par,2007-02-16 00:00:00,0,N,142.637867522
par,2007-03-16 00:00:00,0,N,123.7409488696
par,2007-04-16 00:00:00,0,N,85.03585967
par,2007-05-16 00:00:00,0,N,64.81956399900001
par,2007-06-16 00:00:00,0,N,55.490702174999996
par,2007-07-16 00:00:00,0,N,48.648688878
par,2007-08-16 00:00:00,0,N,65.7897125872
par,2007-09-16 00:00:00,0,N,97.6675611
par,2007-10-16 00:00:00,0,N,126.3054473286
par,2007-11-16 00:00:00,0,N,157.659380226
par,2007-12-16 00:00:00,0,N,152.2579945932
par,2008-01-16 00:00:00,0,N,161.751803392
par,2008-02-16 00:00:00,0,N,133.34737774799999
par,2008-03-16 00:00:00,0,N,118.19530445839999
par,2008-04-16 00:00:00,0,N,89.0134837272
par,2008-05-16 00:00:00,0,N,59.7448088044
par,2008-06-16 00:00:00,0,N,55.0951756646
par,2008-07-16 00:00:00,0,N,49.895591788000004
par,2008-08-16 00:00:00,0,N,76.9679512168
par,2008-09-16 00:00:00,0,N,95.36284771
par,2008-10-16 00:00:00,0,N,127.356066509
par,2008-11-16 00:00:00,0,N,141.7527362994
par,2008-12-16 00:00:00,0,N,163.90476475999998
par,2009-01-16 00:00:00,0,N,155.50375923459998
par,2009-02-16 00:00:00,0,N,134.377359056
par,2009-03-16 00:00:00,0,N,120.210096252
par,2009-04-16 00:00:00,0,N,88.78590350200001
par,2009-05-16 00:00:00,0,N,68.3775160906
par,2009-06-16 00:00:00,0,N,49.7454526502
par,2009-07-16 00:00:00,0,N,58.2182579426
par,2009-08-16 00:00:00,0,N,69.9918093626
par,2009-09-16 00:00:00,0,N,90.65769461720001
par,2009-10-16 00:00:00,0,N,127.0623706126
par,2009-11-16 00:00:00,0,N,147.9752108324
par,2009-12-16 00:00:00,0,N,161.945500468
par,2010-01-16 00:00:00,0,N,161.70873611279998
par,2010-02-16 00:00:00,0,N,133.22876408
par,2010-03-16 00:00:00,0,N,115.70651845740001
par,2010-04-16 00:00:00,0,N,87.71348648099999
par,2010-05-16 00:00:00,0,N,67.98923372
par,2010-06-16 00:00:00,0,N,52.5299475076
par,2010-07-16 00:00:00,0,N,58.107117388599995
par,2010-08-16 00:00:00,0,N,76.9335849572
par,2010-09-16 00:00:00,0,N,106.08084064900001
par,2010-10-16 00:00:00,0,N,134.4105628312
par,2010-11-16 00:00:00,0,N,143.987330744
par,2010-12-16 00:00:00,0,N,153.770869908
par,2011-01-16 00:00:00,0,N,158.584914072
par,2011-02-16 00:00:00,0,N,142.738880371
par,2011-03-16 00:00:00,0,N,125.7054720196
par,2011-04-16 00:00:00,0,N,89.16928683120001
par,2011-05-16 00:00:00,0,N,65.97249690379999
par,2011-06-16 00:00:00,0,N,48.8464571656
par,2011-07-16 00:00:00,0,N,48.851721056
par,2011-08-16 00:00:00,0,N,76.0508013492
par,2011-09-16 00:00:00,0,N,96.9787362528
par,2011-10-16 00:00:00,0,N,123.845502012
par,2011-11-16 00:00:00,0,N,130.2946584868
par,2011-12-16 00:00:00,0,N,157.326134698
par,2012-01-16 00:00:00,0,N,151.4011982988
par,2012-02-16 00:00:00,0,N,137.063050288
par,2012-03-16 00:00:00,0,N,122.5310995208
par,2012-04-16 00:00:00,0,N,84.05125802900001
par,2012-05-16 00:00:00,0,N,64.8422651554
par,2012-06-16 00:00:00,0,N,45.54850402
par,2012-07-16 00:00:00,0,N,64.2177921232
par,2012-08-16 00:00:00,0,N,74.294541557
par,2012-09-16 00:00:00,0,N,100.05544244859999
par,2012-10-16 00:00:00,0,N,125.8581172926
par,2012-11-16 00:00:00,0,N,143.835251616
par,2012-12-16 00:00:00,0,N,150.16140617
par,2013-01-16 00:00:00,0,N,148.67585678720002
par,2013-02-16 00:00:00,0,N,138.9463328886
par,2013-03-16 00:00:00,0,N,115.70053745
par,2013-04-16 00:00:00,0,N,74.9622227756
par,2013-05-16 00:00:00,0,N,63.1248101996
par,2013-06-16 00:00:00,0,N,56.569485181999994
par,2013-07-16 00:00:00,0,N,53.2586918678
par,2013-08-16 00:00:00,0,N,74.212387627
par,2013-09-16 00:00:00,0,N,90.107965306
par,2013-10-16 00:00:00,0,N,129.3305060032
par,2013-11-16 00:00:00,0,N,148.99307915359998
par,2013-12-16 00:00:00,0,N,161.185482258
par,2014-01-16 00:00:00,0,N,162.162698852
par,2014-02-16 00:00:00,0,N,149.923650432
par,2014-03-16 00:00:00,0,N,114.54738815200001
par,2014-04-16 00:00:00,0,N,88.50822573479999
par,2014-05-16 00:00:00,0,N,55.324970145799995
par,2014-06-16 00:00:00,0,N,51.8625128766
par,2014-07-16 00:00:00,0,N,53.722266491
par,2014-08-16 00:00:00,0,N,70.7465913604
