Header,Value
Agency Name,National Aeronautics and Space Administration
Agency Code,NASA
Program,Moderate Resolution Imaging Spectroradiometer (MODIS)
Project,Cockburn Sound Model Virtual Sensor
Tag,NASA-MODIS-PAR
Data File Name,MODIS_polygon_3_PhotosyntheticallyAvailableRadiation_profile_Data.csv
Location,data-warehouse/csv/NASA/modis/par
Station Status,Active
Lat,-32.0335
Long,115.3217
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NASA-modis-par-Ocean_Boundary_Polygon_3
Site Description,Ocean Boundary Polygon 3
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00059
Data Category,Light
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Photosynthetically Available Radiation
QC,NaN
