Variable,Date,Depth,QC,Data
pic,2003-01-16 00:00:00,0,N,0.000684
pic,2003-02-16 00:00:00,0,N,0.000654
pic,2003-03-16 00:00:00,0,N,0.000201
pic,2003-04-16 00:00:00,0,N,0.000313
pic,2003-05-16 00:00:00,0,N,0.000445
pic,2003-06-16 00:00:00,0,N,0.000313
pic,2003-07-16 00:00:00,0,N,0.001432
pic,2003-08-16 00:00:00,0,N,0.000962
pic,2003-09-16 00:00:00,0,N,0.001946
pic,2003-10-16 00:00:00,0,N,0.00141
pic,2003-12-16 00:00:00,0,N,0.000913
pic,2004-01-16 00:00:00,0,N,0.00046
pic,2004-02-16 00:00:00,0,N,0.000391
pic,2004-03-16 00:00:00,0,N,0.001336
pic,2004-04-16 00:00:00,0,N,0.000424
pic,2004-05-16 00:00:00,0,N,0.001351
pic,2004-06-16 00:00:00,0,N,0.001529
pic,2004-07-16 00:00:00,0,N,0.00128
pic,2004-08-16 00:00:00,0,N,0.002099
pic,2004-09-16 00:00:00,0,N,0.002644
pic,2004-10-16 00:00:00,0,N,0.001478
pic,2004-11-16 00:00:00,0,N,0.000356
pic,2004-12-16 00:00:00,0,N,0.000881
pic,2005-01-16 00:00:00,0,N,0.000859
pic,2005-03-16 00:00:00,0,N,0.000551
pic,2005-04-16 00:00:00,0,N,0.000354
pic,2005-05-16 00:00:00,0,N,0.000412
pic,2005-07-16 00:00:00,0,N,0.001073
pic,2005-08-16 00:00:00,0,N,0.000503
pic,2005-09-16 00:00:00,0,N,0.001943
pic,2005-10-16 00:00:00,0,N,0.001992
pic,2005-11-16 00:00:00,0,N,0.001703
pic,2005-12-16 00:00:00,0,N,0.001189
pic,2006-01-16 00:00:00,0,N,0.000978
pic,2006-02-16 00:00:00,0,N,0.000484
pic,2006-03-16 00:00:00,0,N,0.000566
pic,2006-04-16 00:00:00,0,N,0.000289
pic,2006-05-16 00:00:00,0,N,7.5e-05
pic,2006-06-16 00:00:00,0,N,0.000358
pic,2006-07-16 00:00:00,0,N,0.0007
pic,2006-08-16 00:00:00,0,N,0.001513
pic,2006-09-16 00:00:00,0,N,0.001564
pic,2006-10-16 00:00:00,0,N,0.002367
pic,2006-11-16 00:00:00,0,N,0.000394
pic,2006-12-16 00:00:00,0,N,0.00033
pic,2007-01-16 00:00:00,0,N,0.000622
pic,2007-02-16 00:00:00,0,N,0.001054
pic,2007-03-16 00:00:00,0,N,0.00037
pic,2007-04-16 00:00:00,0,N,0.000691
pic,2007-05-16 00:00:00,0,N,0.001982
