Variable,Date,Depth,QC,Data
pic,2003-01-16 00:00:00,0,N,7.98e-05
pic,2003-02-16 00:00:00,0,N,6.683334e-05
pic,2003-03-16 00:00:00,0,N,4.006667e-05
pic,2003-04-16 00:00:00,0,N,0.0001534
pic,2003-05-16 00:00:00,0,N,4.8366663e-05
pic,2003-06-16 00:00:00,0,N,0.00013616665
pic,2003-07-16 00:00:00,0,N,0.0007045
pic,2003-08-16 00:00:00,0,N,0.00043266668
pic,2003-09-16 00:00:00,0,N,0.00021086667
pic,2003-10-16 00:00:00,0,N,7.3133335e-05
pic,2003-11-16 00:00:00,0,N,0.00010983334
pic,2003-12-16 00:00:00,0,N,0.00012256666
pic,2004-01-16 00:00:00,0,N,5.216667e-05
pic,2004-02-16 00:00:00,0,N,2.22e-05
pic,2004-03-16 00:00:00,0,N,8.833334e-05
pic,2004-04-16 00:00:00,0,N,8.609999e-05
pic,2004-05-16 00:00:00,0,N,0.00028516666
pic,2004-06-16 00:00:00,0,N,0.0006457333
pic,2004-07-16 00:00:00,0,N,0.00038316665
pic,2004-08-16 00:00:00,0,N,0.0006657
pic,2004-09-16 00:00:00,0,N,0.00030796666
pic,2004-10-16 00:00:00,0,N,0.00018293333
pic,2004-11-16 00:00:00,0,N,8.996668e-05
pic,2004-12-16 00:00:00,0,N,6.4733336e-05
pic,2005-01-16 00:00:00,0,N,7.1799994e-05
pic,2005-02-16 00:00:00,0,N,1.5133333e-05
pic,2005-03-16 00:00:00,0,N,1.7966668e-05
pic,2005-04-16 00:00:00,0,N,4.8066668e-05
pic,2005-05-16 00:00:00,0,N,0.00014986665
pic,2005-06-16 00:00:00,0,N,0.00028500002
pic,2005-07-16 00:00:00,0,N,0.0005020666
pic,2005-08-16 00:00:00,0,N,0.0006375334
pic,2005-09-16 00:00:00,0,N,0.0005693333
pic,2005-10-16 00:00:00,0,N,0.00029683334
pic,2005-11-16 00:00:00,0,N,0.0001522
pic,2005-12-16 00:00:00,0,N,0.00012796668
pic,2006-01-16 00:00:00,0,N,2.0366666e-05
pic,2006-02-16 00:00:00,0,N,1.68e-05
pic,2006-03-16 00:00:00,0,N,3.19e-05
pic,2006-04-16 00:00:00,0,N,3.5466666e-05
pic,2006-05-16 00:00:00,0,N,6.333333e-05
pic,2006-06-16 00:00:00,0,N,5.5066666e-05
pic,2006-07-16 00:00:00,0,N,0.00026076665
pic,2006-08-16 00:00:00,0,N,0.000726
pic,2006-09-16 00:00:00,0,N,0.00026346665
pic,2006-10-16 00:00:00,0,N,0.00020099999
pic,2006-11-16 00:00:00,0,N,2.5966667e-05
pic,2006-12-16 00:00:00,0,N,3.93e-05
pic,2007-01-16 00:00:00,0,N,3.72e-05
pic,2007-02-16 00:00:00,0,N,6.06e-05
pic,2007-03-16 00:00:00,0,N,3.81e-05
pic,2007-04-16 00:00:00,0,N,6.0633334e-05
pic,2007-05-16 00:00:00,0,N,0.0002726
pic,2007-06-16 00:00:00,0,N,5.1199997e-05
pic,2007-07-16 00:00:00,0,N,0.00036806666
pic,2007-08-16 00:00:00,0,N,0.0007726
pic,2007-09-16 00:00:00,0,N,0.0006377667
pic,2007-10-16 00:00:00,0,N,0.00012896667
pic,2007-11-16 00:00:00,0,N,0.00012853333
pic,2007-12-16 00:00:00,0,N,6.0866667e-05
pic,2008-01-16 00:00:00,0,N,2.8166667e-05
pic,2008-02-16 00:00:00,0,N,0.00013983334
pic,2008-03-16 00:00:00,0,N,2.04e-05
pic,2008-04-16 00:00:00,0,N,6.7266665e-05
pic,2008-05-16 00:00:00,0,N,0.00018883335
pic,2008-06-16 00:00:00,0,N,0.0002247
pic,2008-07-16 00:00:00,0,N,0.00060749997
pic,2008-08-16 00:00:00,0,N,0.00011146667
pic,2008-09-16 00:00:00,0,N,9.84e-05
pic,2008-10-16 00:00:00,0,N,5.0033334e-05
pic,2008-11-16 00:00:00,0,N,7.14e-05
pic,2008-12-16 00:00:00,0,N,5.0533337e-05
pic,2009-01-16 00:00:00,0,N,2.71e-05
pic,2009-02-16 00:00:00,0,N,1.36e-05
pic,2009-03-16 00:00:00,0,N,3.6566667e-05
pic,2009-04-16 00:00:00,0,N,1.6766666e-05
pic,2009-05-16 00:00:00,0,N,3.6633333e-05
pic,2009-06-16 00:00:00,0,N,0.00020023335
pic,2009-07-16 00:00:00,0,N,0.0008830334
pic,2009-08-16 00:00:00,0,N,0.0004014
pic,2009-09-16 00:00:00,0,N,0.00081973337
pic,2009-10-16 00:00:00,0,N,0.00012309999
pic,2009-11-16 00:00:00,0,N,9.276667e-05
pic,2009-12-16 00:00:00,0,N,6.0966664e-05
pic,2010-01-16 00:00:00,0,N,3.5499997e-05
pic,2010-02-16 00:00:00,0,N,3.7566664e-05
pic,2010-03-16 00:00:00,0,N,1.4066667e-05
pic,2010-04-16 00:00:00,0,N,3.476667e-05
pic,2010-05-16 00:00:00,0,N,0.00012376666
pic,2010-06-16 00:00:00,0,N,6.806667e-05
pic,2010-07-16 00:00:00,0,N,0.00034786668
pic,2010-08-16 00:00:00,0,N,8.789999e-05
pic,2010-09-16 00:00:00,0,N,9.56e-05
pic,2010-10-16 00:00:00,0,N,0.00014136666
pic,2010-11-16 00:00:00,0,N,6.54e-05
pic,2010-12-16 00:00:00,0,N,3.9866667e-05
pic,2011-01-16 00:00:00,0,N,5.7066667e-05
pic,2011-02-16 00:00:00,0,N,4.53e-05
pic,2011-03-16 00:00:00,0,N,2.8366665e-05
pic,2011-04-16 00:00:00,0,N,0.00012343333
pic,2011-05-16 00:00:00,0,N,0.00029070003
pic,2011-06-16 00:00:00,0,N,0.00028883334
pic,2011-07-16 00:00:00,0,N,6.663333e-05
pic,2011-08-16 00:00:00,0,N,0.0008746666
pic,2011-09-16 00:00:00,0,N,0.00040830002
pic,2011-10-16 00:00:00,0,N,0.00016109999
pic,2011-11-16 00:00:00,0,N,0.0001736
pic,2011-12-16 00:00:00,0,N,3.586667e-05
pic,2012-01-16 00:00:00,0,N,4.9866667e-05
