Variable,Date,Depth,QC,Data
poc,2003-01-16 00:00:00,0,N,69.64313
poc,2003-02-16 00:00:00,0,N,85.67413
poc,2003-03-16 00:00:00,0,N,83.68642
poc,2003-04-16 00:00:00,0,N,96.12811
poc,2003-05-16 00:00:00,0,N,115.99593
poc,2003-06-16 00:00:00,0,N,196.2634
poc,2003-07-16 00:00:00,0,N,141.8787
poc,2003-08-16 00:00:00,0,N,116.30358
poc,2003-09-16 00:00:00,0,N,97.73515
poc,2003-10-16 00:00:00,0,N,83.30613
poc,2003-11-16 00:00:00,0,N,71.4204
poc,2003-12-16 00:00:00,0,N,74.399796
poc,2004-01-16 00:00:00,0,N,62.555313
poc,2004-02-16 00:00:00,0,N,67.073166
poc,2004-03-16 00:00:00,0,N,86.00179
poc,2004-04-16 00:00:00,0,N,102.12475
poc,2004-05-16 00:00:00,0,N,145.8532
poc,2004-06-16 00:00:00,0,N,172.83026
poc,2004-07-16 00:00:00,0,N,155.74362
poc,2004-08-16 00:00:00,0,N,140.40886
poc,2004-09-16 00:00:00,0,N,118.20961
poc,2004-10-16 00:00:00,0,N,71.93138
poc,2004-11-16 00:00:00,0,N,67.01624
poc,2004-12-16 00:00:00,0,N,67.75447
poc,2005-01-16 00:00:00,0,N,68.7478
poc,2005-02-16 00:00:00,0,N,72.78397
poc,2005-03-16 00:00:00,0,N,71.37929
poc,2005-04-16 00:00:00,0,N,114.80782
poc,2005-05-16 00:00:00,0,N,136.68173
poc,2005-06-16 00:00:00,0,N,218.00137
poc,2005-07-16 00:00:00,0,N,149.96587
poc,2005-08-16 00:00:00,0,N,123.95809
poc,2005-09-16 00:00:00,0,N,117.52016
poc,2005-10-16 00:00:00,0,N,105.41737
poc,2005-11-16 00:00:00,0,N,79.8121
poc,2005-12-16 00:00:00,0,N,79.123375
poc,2006-01-16 00:00:00,0,N,72.54245
poc,2006-02-16 00:00:00,0,N,71.839325
poc,2006-03-16 00:00:00,0,N,104.84121
poc,2006-04-16 00:00:00,0,N,107.80486
poc,2006-05-16 00:00:00,0,N,130.54355
poc,2006-06-16 00:00:00,0,N,346.5414
poc,2006-07-16 00:00:00,0,N,175.58566
poc,2006-08-16 00:00:00,0,N,159.26633
poc,2006-09-16 00:00:00,0,N,106.94413
poc,2006-10-16 00:00:00,0,N,93.72757
poc,2006-11-16 00:00:00,0,N,80.74996
poc,2006-12-16 00:00:00,0,N,72.12777
poc,2007-01-16 00:00:00,0,N,83.485565
poc,2007-02-16 00:00:00,0,N,79.23312
poc,2007-03-16 00:00:00,0,N,98.26962
poc,2007-04-16 00:00:00,0,N,105.56314
poc,2007-05-16 00:00:00,0,N,155.14807
poc,2007-06-16 00:00:00,0,N,249.34615
poc,2007-07-16 00:00:00,0,N,149.23712
poc,2007-08-16 00:00:00,0,N,124.96814
poc,2007-09-16 00:00:00,0,N,133.49022
poc,2007-10-16 00:00:00,0,N,120.51228
poc,2007-11-16 00:00:00,0,N,63.27444
poc,2007-12-16 00:00:00,0,N,71.48525
poc,2008-01-16 00:00:00,0,N,59.31267
poc,2008-02-16 00:00:00,0,N,87.37916
poc,2008-03-16 00:00:00,0,N,117.90668
poc,2008-04-16 00:00:00,0,N,116.86184
poc,2008-05-16 00:00:00,0,N,169.69717
poc,2008-06-16 00:00:00,0,N,242.85648
poc,2008-07-16 00:00:00,0,N,177.09846
poc,2008-08-16 00:00:00,0,N,111.87533
poc,2008-09-16 00:00:00,0,N,87.84919
poc,2008-10-16 00:00:00,0,N,94.128006
poc,2008-11-16 00:00:00,0,N,74.86713
poc,2008-12-16 00:00:00,0,N,70.812675
poc,2009-01-16 00:00:00,0,N,85.001335
poc,2009-02-16 00:00:00,0,N,101.18197
poc,2009-03-16 00:00:00,0,N,123.913414
poc,2009-04-16 00:00:00,0,N,165.83603
poc,2009-05-16 00:00:00,0,N,171.04135
poc,2009-06-16 00:00:00,0,N,896.7769
poc,2009-07-16 00:00:00,0,N,181.09758
poc,2009-08-16 00:00:00,0,N,148.27544
poc,2009-09-16 00:00:00,0,N,115.57735
poc,2009-10-16 00:00:00,0,N,100.040115
poc,2009-11-16 00:00:00,0,N,70.90465
poc,2009-12-16 00:00:00,0,N,72.4979
poc,2010-01-16 00:00:00,0,N,65.40328
poc,2010-02-16 00:00:00,0,N,77.83039
poc,2010-03-16 00:00:00,0,N,95.379074
poc,2010-04-16 00:00:00,0,N,104.97346
poc,2010-05-16 00:00:00,0,N,133.07506
poc,2010-06-16 00:00:00,0,N,278.7687
poc,2010-07-16 00:00:00,0,N,135.4646
poc,2010-08-16 00:00:00,0,N,118.73043
poc,2010-09-16 00:00:00,0,N,84.814545
poc,2010-10-16 00:00:00,0,N,74.484856
poc,2010-11-16 00:00:00,0,N,63.34306
poc,2010-12-16 00:00:00,0,N,62.739307
poc,2011-01-16 00:00:00,0,N,75.02402
poc,2011-02-16 00:00:00,0,N,88.928
poc,2011-03-16 00:00:00,0,N,207.68106
poc,2011-04-16 00:00:00,0,N,160.01318
poc,2011-05-16 00:00:00,0,N,169.41553
poc,2011-06-16 00:00:00,0,N,209.41478
poc,2011-07-16 00:00:00,0,N,136.45131
poc,2011-08-16 00:00:00,0,N,136.0119
poc,2011-09-16 00:00:00,0,N,130.60144
poc,2011-10-16 00:00:00,0,N,88.59369
poc,2011-11-16 00:00:00,0,N,65.96771
poc,2011-12-16 00:00:00,0,N,54.396454
poc,2012-01-16 00:00:00,0,N,65.50069
poc,2012-02-16 00:00:00,0,N,87.26681
poc,2012-03-16 00:00:00,0,N,114.145744
poc,2012-04-16 00:00:00,0,N,106.62781
poc,2012-05-16 00:00:00,0,N,126.52066
poc,2012-06-16 00:00:00,0,N,129.79214
poc,2012-07-16 00:00:00,0,N,138.37119
poc,2012-08-16 00:00:00,0,N,99.09616
poc,2012-09-16 00:00:00,0,N,101.71014
poc,2012-10-16 00:00:00,0,N,68.2778
poc,2012-11-16 00:00:00,0,N,69.86905
poc,2012-12-16 00:00:00,0,N,65.52231
poc,2013-01-16 00:00:00,0,N,89.09303
