Variable,Date,Depth,QC,Data
poc,2003-01-16 00:00:00,0,N,48.554424
poc,2003-02-16 00:00:00,0,N,55.11825
poc,2003-03-16 00:00:00,0,N,54.08632
poc,2003-04-16 00:00:00,0,N,73.3328
poc,2003-05-16 00:00:00,0,N,91.2995
poc,2003-06-16 00:00:00,0,N,106.60411
poc,2003-07-16 00:00:00,0,N,89.57292
poc,2003-08-16 00:00:00,0,N,85.29361
poc,2003-09-16 00:00:00,0,N,72.226776
poc,2003-10-16 00:00:00,0,N,57.088047
poc,2003-11-16 00:00:00,0,N,52.420765
poc,2003-12-16 00:00:00,0,N,56.94986
poc,2004-01-16 00:00:00,0,N,43.83401
poc,2004-02-16 00:00:00,0,N,48.167797
poc,2004-03-16 00:00:00,0,N,58.036007
poc,2004-04-16 00:00:00,0,N,70.854294
poc,2004-05-16 00:00:00,0,N,103.28973
poc,2004-06-16 00:00:00,0,N,115.74557
poc,2004-07-16 00:00:00,0,N,103.56272
poc,2004-08-16 00:00:00,0,N,103.48543
poc,2004-09-16 00:00:00,0,N,86.02018
poc,2004-10-16 00:00:00,0,N,57.77198
poc,2004-11-16 00:00:00,0,N,51.81158
poc,2004-12-16 00:00:00,0,N,52.33907
poc,2005-01-16 00:00:00,0,N,53.103607
poc,2005-02-16 00:00:00,0,N,52.236652
poc,2005-03-16 00:00:00,0,N,54.175896
poc,2005-04-16 00:00:00,0,N,87.902824
poc,2005-05-16 00:00:00,0,N,94.95146
poc,2005-06-16 00:00:00,0,N,132.07576
poc,2005-07-16 00:00:00,0,N,105.16281
poc,2005-08-16 00:00:00,0,N,94.673096
poc,2005-09-16 00:00:00,0,N,79.16268
poc,2005-10-16 00:00:00,0,N,65.97133
poc,2005-11-16 00:00:00,0,N,56.31776
poc,2005-12-16 00:00:00,0,N,47.668606
poc,2006-01-16 00:00:00,0,N,55.851315
poc,2006-02-16 00:00:00,0,N,55.124313
poc,2006-03-16 00:00:00,0,N,68.939705
poc,2006-04-16 00:00:00,0,N,88.149445
poc,2006-05-16 00:00:00,0,N,102.42055
poc,2006-06-16 00:00:00,0,N,128.37169
poc,2006-07-16 00:00:00,0,N,114.01714
poc,2006-08-16 00:00:00,0,N,98.665375
poc,2006-09-16 00:00:00,0,N,85.43184
poc,2006-10-16 00:00:00,0,N,66.415665
poc,2006-11-16 00:00:00,0,N,57.38417
poc,2006-12-16 00:00:00,0,N,53.012592
poc,2007-01-16 00:00:00,0,N,60.429733
poc,2007-02-16 00:00:00,0,N,45.746376
poc,2007-03-16 00:00:00,0,N,66.72301
poc,2007-04-16 00:00:00,0,N,86.50526
poc,2007-05-16 00:00:00,0,N,107.45002
poc,2007-06-16 00:00:00,0,N,102.425514
poc,2007-07-16 00:00:00,0,N,118.26426
poc,2007-08-16 00:00:00,0,N,98.555374
poc,2007-09-16 00:00:00,0,N,103.65433
poc,2007-10-16 00:00:00,0,N,74.28922
poc,2007-11-16 00:00:00,0,N,52.35966
poc,2007-12-16 00:00:00,0,N,55.48202
poc,2008-01-16 00:00:00,0,N,53.013237
poc,2008-02-16 00:00:00,0,N,67.16814
poc,2008-03-16 00:00:00,0,N,86.961395
poc,2008-04-16 00:00:00,0,N,93.05776
poc,2008-05-16 00:00:00,0,N,84.78663
poc,2008-06-16 00:00:00,0,N,124.35139
poc,2008-07-16 00:00:00,0,N,107.60132
poc,2008-08-16 00:00:00,0,N,93.19016
poc,2008-09-16 00:00:00,0,N,84.039566
poc,2008-10-16 00:00:00,0,N,64.44014
poc,2008-11-16 00:00:00,0,N,64.30007
poc,2008-12-16 00:00:00,0,N,55.321953
poc,2009-01-16 00:00:00,0,N,54.61679
poc,2009-02-16 00:00:00,0,N,67.373825
poc,2009-03-16 00:00:00,0,N,92.021454
poc,2009-04-16 00:00:00,0,N,102.03708
poc,2009-05-16 00:00:00,0,N,115.798
poc,2009-06-16 00:00:00,0,N,127.38516
poc,2009-07-16 00:00:00,0,N,112.2413
poc,2009-08-16 00:00:00,0,N,96.64483
poc,2009-09-16 00:00:00,0,N,97.7263
poc,2009-10-16 00:00:00,0,N,64.74586
poc,2009-11-16 00:00:00,0,N,61.685444
poc,2009-12-16 00:00:00,0,N,58.853935
poc,2010-01-16 00:00:00,0,N,53.261734
poc,2010-02-16 00:00:00,0,N,54.87628
poc,2010-03-16 00:00:00,0,N,65.067856
poc,2010-04-16 00:00:00,0,N,82.143875
poc,2010-05-16 00:00:00,0,N,105.28822
poc,2010-06-16 00:00:00,0,N,136.56967
poc,2010-07-16 00:00:00,0,N,102.32909
poc,2010-08-16 00:00:00,0,N,89.81153
poc,2010-09-16 00:00:00,0,N,74.08816
poc,2010-10-16 00:00:00,0,N,59.466652
poc,2010-11-16 00:00:00,0,N,52.737057
poc,2010-12-16 00:00:00,0,N,53.67117
poc,2011-01-16 00:00:00,0,N,52.792908
poc,2011-02-16 00:00:00,0,N,59.51229
poc,2011-03-16 00:00:00,0,N,95.190216
poc,2011-04-16 00:00:00,0,N,81.35294
poc,2011-05-16 00:00:00,0,N,102.39164
poc,2011-06-16 00:00:00,0,N,98.51493
poc,2011-07-16 00:00:00,0,N,97.22225
poc,2011-08-16 00:00:00,0,N,127.82865
poc,2011-09-16 00:00:00,0,N,83.0437
poc,2011-10-16 00:00:00,0,N,57.094
poc,2011-11-16 00:00:00,0,N,46.283604
poc,2011-12-16 00:00:00,0,N,42.73001
poc,2012-01-16 00:00:00,0,N,48.76346
poc,2012-02-16 00:00:00,0,N,61.062675
poc,2012-03-16 00:00:00,0,N,76.36827
poc,2012-04-16 00:00:00,0,N,75.30791
poc,2012-05-16 00:00:00,0,N,97.77894
poc,2012-06-16 00:00:00,0,N,104.249565
poc,2012-07-16 00:00:00,0,N,98.9524
poc,2012-08-16 00:00:00,0,N,80.22743
poc,2012-09-16 00:00:00,0,N,69.96762
poc,2012-10-16 00:00:00,0,N,49.770313
poc,2012-11-16 00:00:00,0,N,51.032135
poc,2012-12-16 00:00:00,0,N,45.99221
poc,2013-01-16 00:00:00,0,N,60.318634
poc,2013-02-16 00:00:00,0,N,58.282024
