Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-25 00:00:00,0.3947,24.8079,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3968,24.8102,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3999,24.8107,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.404,24.8109,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4093,24.8125,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4159,24.811,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4241,24.8116,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4338,24.813,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4451,24.8108,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4578,24.8148,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4719,24.8208,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.487,24.8184,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5029,24.8197,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5197,24.8258,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5372,24.8239,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5553,24.819,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5739,24.8206,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5928,24.8212,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6121,24.818,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6316,24.8168,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6514,24.817,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6712,24.8151,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.691,24.811,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7108,24.8115,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7304,24.8228,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7499,24.8309,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.769,24.8204,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7878,24.8109,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8062,24.819,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8245,24.8237,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8426,24.8188,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8605,24.8204,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8782,24.8246,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8958,24.8231,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9132,24.8208,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9304,24.8202,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9475,24.8201,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9645,24.8221,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9816,24.826,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9991,24.8281,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0169,24.8276,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0348,24.8262,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0529,24.825,N
