Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-25 00:00:00,0.3947,35.8507,N
SALINITY (pss),1992-03-25 00:00:00,0.3968,35.853,N
SALINITY (pss),1992-03-25 00:00:00,0.3999,35.8537,N
SALINITY (pss),1992-03-25 00:00:00,0.404,35.8547,N
SALINITY (pss),1992-03-25 00:00:00,0.4093,35.8568,N
SALINITY (pss),1992-03-25 00:00:00,0.4159,35.8547,N
SALINITY (pss),1992-03-25 00:00:00,0.4241,35.8556,N
SALINITY (pss),1992-03-25 00:00:00,0.4338,35.8576,N
SALINITY (pss),1992-03-25 00:00:00,0.4451,35.8555,N
SALINITY (pss),1992-03-25 00:00:00,0.4578,35.8606,N
SALINITY (pss),1992-03-25 00:00:00,0.4719,35.8682,N
SALINITY (pss),1992-03-25 00:00:00,0.487,35.8665,N
SALINITY (pss),1992-03-25 00:00:00,0.5029,35.8677,N
SALINITY (pss),1992-03-25 00:00:00,0.5197,35.8743,N
SALINITY (pss),1992-03-25 00:00:00,0.5372,35.8729,N
SALINITY (pss),1992-03-25 00:00:00,0.5553,35.8679,N
SALINITY (pss),1992-03-25 00:00:00,0.5739,35.8689,N
SALINITY (pss),1992-03-25 00:00:00,0.5928,35.8693,N
SALINITY (pss),1992-03-25 00:00:00,0.6121,35.8653,N
SALINITY (pss),1992-03-25 00:00:00,0.6316,35.8636,N
SALINITY (pss),1992-03-25 00:00:00,0.6514,35.8643,N
SALINITY (pss),1992-03-25 00:00:00,0.6712,35.8617,N
SALINITY (pss),1992-03-25 00:00:00,0.691,35.8558,N
SALINITY (pss),1992-03-25 00:00:00,0.7108,35.8565,N
SALINITY (pss),1992-03-25 00:00:00,0.7304,35.8717,N
SALINITY (pss),1992-03-25 00:00:00,0.7499,35.882,N
SALINITY (pss),1992-03-25 00:00:00,0.769,35.8686,N
SALINITY (pss),1992-03-25 00:00:00,0.7878,35.8566,N
SALINITY (pss),1992-03-25 00:00:00,0.8062,35.8661,N
SALINITY (pss),1992-03-25 00:00:00,0.8245,35.8725,N
SALINITY (pss),1992-03-25 00:00:00,0.8426,35.8666,N
SALINITY (pss),1992-03-25 00:00:00,0.8605,35.8677,N
SALINITY (pss),1992-03-25 00:00:00,0.8782,35.8735,N
SALINITY (pss),1992-03-25 00:00:00,0.8958,35.8724,N
SALINITY (pss),1992-03-25 00:00:00,0.9132,35.8691,N
SALINITY (pss),1992-03-25 00:00:00,0.9304,35.8678,N
SALINITY (pss),1992-03-25 00:00:00,0.9475,35.868,N
SALINITY (pss),1992-03-25 00:00:00,0.9645,35.8708,N
SALINITY (pss),1992-03-25 00:00:00,0.9816,35.8755,N
SALINITY (pss),1992-03-25 00:00:00,0.9991,35.8781,N
SALINITY (pss),1992-03-25 00:00:00,1.0169,35.8776,N
SALINITY (pss),1992-03-25 00:00:00,1.0348,35.8754,N
SALINITY (pss),1992-03-25 00:00:00,1.0529,35.874,N
SALINITY (pss),1992-03-25 00:00:00,1.0711,35.8759,N
SALINITY (pss),1992-03-25 00:00:00,1.0896,35.8768,N
SALINITY (pss),1992-03-25 00:00:00,1.1084,35.8731,N
SALINITY (pss),1992-03-25 00:00:00,1.1276,35.8729,N
SALINITY (pss),1992-03-25 00:00:00,1.1471,35.8778,N
SALINITY (pss),1992-03-25 00:00:00,1.1667,35.8782,N
