Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-25 00:00:00,0.3947,22.2055,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3968,22.2036,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3999,22.2038,N
TEMPERATURE (C),1992-03-25 00:00:00,0.404,22.2058,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4093,22.2053,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4159,22.2052,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4241,22.2056,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4338,22.2059,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4451,22.2081,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4578,22.2075,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4719,22.2067,N
TEMPERATURE (C),1992-03-25 00:00:00,0.487,22.2103,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5029,22.2097,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5197,22.2058,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5372,22.2087,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5553,22.2125,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5739,22.2101,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5928,22.2083,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6121,22.2091,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6316,22.209,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6514,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6712,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,0.691,22.2079,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7108,22.2086,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7304,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7499,22.2085,N
TEMPERATURE (C),1992-03-25 00:00:00,0.769,22.2098,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7878,22.2104,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8062,22.2075,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8245,22.2077,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8426,22.2091,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8605,22.207,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8782,22.2072,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8958,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9132,22.2088,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9304,22.2078,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9475,22.2093,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9645,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9816,22.208,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9991,22.208,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0169,22.2082,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0348,22.2074,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0529,22.2078,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0711,22.2077,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0896,22.2077,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1084,22.2096,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1276,22.2091,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1471,22.2067,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1667,22.2082,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1867,22.2115,N
TEMPERATURE (C),1992-03-25 00:00:00,1.207,22.2106,N
TEMPERATURE (C),1992-03-25 00:00:00,1.2276,22.2085,N
TEMPERATURE (C),1992-03-25 00:00:00,1.2483,22.2092,N
TEMPERATURE (C),1992-03-25 00:00:00,1.2692,22.2083,N
TEMPERATURE (C),1992-03-25 00:00:00,1.2902,22.2077,N
TEMPERATURE (C),1992-03-25 00:00:00,1.3113,22.21,N
TEMPERATURE (C),1992-03-25 00:00:00,1.3326,22.2102,N
TEMPERATURE (C),1992-03-25 00:00:00,1.354,22.21,N
TEMPERATURE (C),1992-03-25 00:00:00,1.3756,22.2087,N
TEMPERATURE (C),1992-03-25 00:00:00,1.3973,22.2068,N
TEMPERATURE (C),1992-03-25 00:00:00,1.4193,22.211,N
TEMPERATURE (C),1992-03-25 00:00:00,1.4415,22.2116,N
TEMPERATURE (C),1992-03-25 00:00:00,1.4638,22.2074,N
TEMPERATURE (C),1992-03-25 00:00:00,1.4862,22.2101,N
TEMPERATURE (C),1992-03-25 00:00:00,1.5086,22.2095,N
TEMPERATURE (C),1992-03-25 00:00:00,1.5311,22.2059,N
TEMPERATURE (C),1992-03-25 00:00:00,1.5536,22.209,N
TEMPERATURE (C),1992-03-25 00:00:00,1.5761,22.2087,N
TEMPERATURE (C),1992-03-25 00:00:00,1.5986,22.207,N
TEMPERATURE (C),1992-03-25 00:00:00,1.6211,22.2093,N
TEMPERATURE (C),1992-03-25 00:00:00,1.6437,22.2098,N
TEMPERATURE (C),1992-03-25 00:00:00,1.6666,22.2108,N
