Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-16 00:00:00,0.7064,34.3077,N
SALINITY (pss),1991-08-16 00:00:00,0.7093,34.3075,N
SALINITY (pss),1991-08-16 00:00:00,0.7134,34.3073,N
SALINITY (pss),1991-08-16 00:00:00,0.7188,34.3045,N
SALINITY (pss),1991-08-16 00:00:00,0.7254,34.302,N
SALINITY (pss),1991-08-16 00:00:00,0.7332,34.3029,N
SALINITY (pss),1991-08-16 00:00:00,0.7424,34.3044,N
SALINITY (pss),1991-08-16 00:00:00,0.7527,34.3044,N
SALINITY (pss),1991-08-16 00:00:00,0.764,34.304,N
SALINITY (pss),1991-08-16 00:00:00,0.7764,34.3033,N
SALINITY (pss),1991-08-16 00:00:00,0.7897,34.3018,N
SALINITY (pss),1991-08-16 00:00:00,0.8037,34.3012,N
SALINITY (pss),1991-08-16 00:00:00,0.8185,34.2996,N
SALINITY (pss),1991-08-16 00:00:00,0.8339,34.2952,N
SALINITY (pss),1991-08-16 00:00:00,0.8499,34.2938,N
SALINITY (pss),1991-08-16 00:00:00,0.8665,34.2979,N
SALINITY (pss),1991-08-16 00:00:00,0.8836,34.3012,N
SALINITY (pss),1991-08-16 00:00:00,0.9011,34.3012,N
SALINITY (pss),1991-08-16 00:00:00,0.919,34.2999,N
SALINITY (pss),1991-08-16 00:00:00,0.9374,34.3015,N
SALINITY (pss),1991-08-16 00:00:00,0.9562,34.3038,N
SALINITY (pss),1991-08-16 00:00:00,0.9752,34.3002,N
SALINITY (pss),1991-08-16 00:00:00,0.9945,34.2966,N
SALINITY (pss),1991-08-16 00:00:00,1.0141,34.2975,N
SALINITY (pss),1991-08-16 00:00:00,1.0338,34.2985,N
SALINITY (pss),1991-08-16 00:00:00,1.0538,34.2985,N
SALINITY (pss),1991-08-16 00:00:00,1.074,34.2971,N
SALINITY (pss),1991-08-16 00:00:00,1.0943,34.2986,N
SALINITY (pss),1991-08-16 00:00:00,1.1148,34.3054,N
SALINITY (pss),1991-08-16 00:00:00,1.1356,34.3064,N
SALINITY (pss),1991-08-16 00:00:00,1.1567,34.303,N
SALINITY (pss),1991-08-16 00:00:00,1.178,34.3051,N
SALINITY (pss),1991-08-16 00:00:00,1.1995,34.3067,N
SALINITY (pss),1991-08-16 00:00:00,1.2213,34.305,N
SALINITY (pss),1991-08-16 00:00:00,1.2432,34.3038,N
SALINITY (pss),1991-08-16 00:00:00,1.2654,34.3016,N
SALINITY (pss),1991-08-16 00:00:00,1.2877,34.3017,N
SALINITY (pss),1991-08-16 00:00:00,1.31,34.3052,N
SALINITY (pss),1991-08-16 00:00:00,1.3324,34.3052,N
SALINITY (pss),1991-08-16 00:00:00,1.3549,34.3033,N
SALINITY (pss),1991-08-16 00:00:00,1.3775,34.3031,N
SALINITY (pss),1991-08-16 00:00:00,1.4002,34.3016,N
SALINITY (pss),1991-08-16 00:00:00,1.4231,34.3011,N
