Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-15 00:00:00,0.4835,25.2855,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.485,25.2831,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.4871,25.2803,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.4898,25.2776,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.4931,25.2783,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.4971,25.2799,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5017,25.2781,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5071,25.2761,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5134,25.2739,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5205,25.2705,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5286,25.2736,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5375,25.2819,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5472,25.2806,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5577,25.2733,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5688,25.2756,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5804,25.2823,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.5925,25.2783,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.605,25.2703,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6176,25.2704,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6304,25.2738,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6432,25.2731,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6561,25.271,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.669,25.2712,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6818,25.2722,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.6944,25.2758,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.707,25.2781,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7196,25.2758,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.732,25.2725,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7444,25.269,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7567,25.2666,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7689,25.2688,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7811,25.2721,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.7932,25.2734,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8054,25.2734,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8174,25.2714,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8295,25.2703,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8416,25.2736,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8537,25.275,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8659,25.2712,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8781,25.2725,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.8903,25.2759,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9027,25.271,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9152,25.2664,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9277,25.2687,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9402,25.2705,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9529,25.2679,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9656,25.2667,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9784,25.2681,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.9913,25.2687,N
