Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-15 00:00:00,0.4835,15.5077,N
TEMPERATURE (C),1991-08-15 00:00:00,0.485,15.506,N
TEMPERATURE (C),1991-08-15 00:00:00,0.4871,15.5058,N
TEMPERATURE (C),1991-08-15 00:00:00,0.4898,15.5093,N
TEMPERATURE (C),1991-08-15 00:00:00,0.4931,15.5095,N
TEMPERATURE (C),1991-08-15 00:00:00,0.4971,15.5067,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5017,15.5085,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5071,15.5102,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5134,15.5083,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5205,15.5102,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5286,15.511,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5375,15.5064,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5472,15.5054,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5577,15.508,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5688,15.5079,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5804,15.5082,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5925,15.5115,N
TEMPERATURE (C),1991-08-15 00:00:00,0.605,15.5139,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6176,15.5152,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6304,15.5169,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6432,15.5165,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6561,15.5135,N
TEMPERATURE (C),1991-08-15 00:00:00,0.669,15.5128,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6818,15.5127,N
TEMPERATURE (C),1991-08-15 00:00:00,0.6944,15.5086,N
TEMPERATURE (C),1991-08-15 00:00:00,0.707,15.5073,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7196,15.5098,N
TEMPERATURE (C),1991-08-15 00:00:00,0.732,15.5085,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7444,15.5089,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7567,15.5126,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7689,15.5112,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7811,15.5106,N
TEMPERATURE (C),1991-08-15 00:00:00,0.7932,15.5135,N
