Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-24 00:00:00,0.2061,22.2826,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2078,22.2806,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2101,22.2804,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2131,22.2829,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2169,22.2808,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2214,22.2776,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2266,22.2777,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2323,22.2771,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2385,22.2757,N
TEMPERATURE (C),1992-03-24 00:00:00,0.245,22.2746,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2517,22.2733,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2585,22.2735,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2654,22.2749,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2723,22.2771,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2793,22.2779,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2862,22.2752,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2932,22.2749,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3002,22.2775,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3073,22.2775,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3145,22.2782,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3218,22.2767,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3293,22.2723,N
TEMPERATURE (C),1992-03-24 00:00:00,0.337,22.2768,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3449,22.2812,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3531,22.2774,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3616,22.2807,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3703,22.285,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3793,22.2814,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3887,22.2827,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3984,22.2855,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4085,22.2836,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4191,22.2849,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4302,22.2868,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4417,22.2875,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4537,22.2893,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4661,22.2882,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4788,22.2871,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4917,22.288,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5049,22.2877,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5181,22.2887,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5314,22.2899,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5447,22.2882,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5579,22.287,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5709,22.2879,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5839,22.2894,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5967,22.2892,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6094,22.2879,N
TEMPERATURE (C),1992-03-24 00:00:00,0.622,22.2882,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6345,22.2881,N
TEMPERATURE (C),1992-03-24 00:00:00,0.647,22.2871,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6594,22.2874,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6719,22.2892,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6843,22.2889,N
