Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5247,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.527,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5302,42649.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5345,42646.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5397,42646.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5458,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5529,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5608,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5695,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5789,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.5891,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6002,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6118,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6242,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6374,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.651,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6652,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6797,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.6947,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.71,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7256,42656.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7414,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7573,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7733,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7895,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8057,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8218,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8379,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8539,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8697,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.8853,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9006,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9156,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9303,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9445,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9584,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.972,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.9852,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.998,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0106,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0229,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.035,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0469,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0587,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0705,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0823,42655.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.0942,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1061,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1182,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1305,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1429,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1557,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1686,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1818,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1952,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.209,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.223,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.2374,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.2521,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.2672,42651.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.2826,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.2984,42649.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.3146,42650.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.3312,42652.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.3482,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.3655,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.3831,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.401,42655.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.4194,42655.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.4379,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.4568,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.4759,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.4952,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.5145,42655.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.534,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.5535,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.573,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.5925,42653.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.612,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.6315,42656.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.651,42656.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.6704,42655.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.6897,42654.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.709,42654.0,N
