Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3746,51090.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3753,51087.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3764,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3779,51083.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3797,51082.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3818,51083.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3843,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3872,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3903,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3938,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3976,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4017,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4061,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4109,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4161,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4216,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4275,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4339,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4407,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4479,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4555,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4635,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4718,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4806,51083.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4897,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4991,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5088,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5188,51083.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5291,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5397,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5505,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5616,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5729,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5845,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5964,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6087,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6212,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.634,51087.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6472,51087.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6605,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.674,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6876,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7012,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7154,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7299,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7447,51081.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7597,51081.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7751,51083.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7907,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8065,51085.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8227,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8393,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8562,51087.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8734,51087.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8909,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9086,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9266,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9448,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9634,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9821,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0012,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0206,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0401,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0598,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0798,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0998,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1201,51087.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1406,51086.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1614,51080.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1824,51080.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2034,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2246,51083.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.246,51078.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2677,51074.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2898,51075.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.312,51076.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3345,51076.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3572,51076.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3801,51078.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4031,51077.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4261,51074.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4493,51073.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4728,51069.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4967,51063.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5207,51063.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5449,51068.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5692,51070.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5935,51069.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6179,51069.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6423,51071.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6666,51073.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6908,51074.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7148,51074.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7387,51075.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7625,51078.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.786,51087.0,N
