Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-10 00:00:00,0.2679,36.4086,N
SALINITY (pss),1992-03-10 00:00:00,0.2702,36.4054,N
SALINITY (pss),1992-03-10 00:00:00,0.2734,36.4034,N
SALINITY (pss),1992-03-10 00:00:00,0.2774,36.406,N
SALINITY (pss),1992-03-10 00:00:00,0.2824,36.4076,N
SALINITY (pss),1992-03-10 00:00:00,0.2883,36.4069,N
SALINITY (pss),1992-03-10 00:00:00,0.2953,36.4084,N
SALINITY (pss),1992-03-10 00:00:00,0.3033,36.4092,N
SALINITY (pss),1992-03-10 00:00:00,0.3124,36.4068,N
SALINITY (pss),1992-03-10 00:00:00,0.3227,36.406,N
SALINITY (pss),1992-03-10 00:00:00,0.3342,36.4067,N
SALINITY (pss),1992-03-10 00:00:00,0.3468,36.406,N
SALINITY (pss),1992-03-10 00:00:00,0.3604,36.4066,N
SALINITY (pss),1992-03-10 00:00:00,0.3748,36.4095,N
SALINITY (pss),1992-03-10 00:00:00,0.39,36.4114,N
SALINITY (pss),1992-03-10 00:00:00,0.4058,36.4106,N
SALINITY (pss),1992-03-10 00:00:00,0.4223,36.4094,N
SALINITY (pss),1992-03-10 00:00:00,0.4394,36.4098,N
SALINITY (pss),1992-03-10 00:00:00,0.4571,36.4102,N
SALINITY (pss),1992-03-10 00:00:00,0.4751,36.4094,N
SALINITY (pss),1992-03-10 00:00:00,0.4933,36.4083,N
SALINITY (pss),1992-03-10 00:00:00,0.5118,36.4065,N
SALINITY (pss),1992-03-10 00:00:00,0.5303,36.4072,N
SALINITY (pss),1992-03-10 00:00:00,0.5487,36.4111,N
SALINITY (pss),1992-03-10 00:00:00,0.567,36.4104,N
SALINITY (pss),1992-03-10 00:00:00,0.5851,36.4071,N
SALINITY (pss),1992-03-10 00:00:00,0.6028,36.407,N
SALINITY (pss),1992-03-10 00:00:00,0.6204,36.4052,N
SALINITY (pss),1992-03-10 00:00:00,0.6378,36.401,N
SALINITY (pss),1992-03-10 00:00:00,0.6551,36.4013,N
SALINITY (pss),1992-03-10 00:00:00,0.6723,36.4067,N
SALINITY (pss),1992-03-10 00:00:00,0.6894,36.4089,N
SALINITY (pss),1992-03-10 00:00:00,0.7064,36.4048,N
SALINITY (pss),1992-03-10 00:00:00,0.7233,36.404,N
SALINITY (pss),1992-03-10 00:00:00,0.7401,36.4068,N
SALINITY (pss),1992-03-10 00:00:00,0.7568,36.4054,N
SALINITY (pss),1992-03-10 00:00:00,0.7736,36.4038,N
SALINITY (pss),1992-03-10 00:00:00,0.7904,36.4055,N
SALINITY (pss),1992-03-10 00:00:00,0.8073,36.4048,N
SALINITY (pss),1992-03-10 00:00:00,0.8243,36.4033,N
SALINITY (pss),1992-03-10 00:00:00,0.8414,36.4062,N
SALINITY (pss),1992-03-10 00:00:00,0.8587,36.4085,N
SALINITY (pss),1992-03-10 00:00:00,0.876,36.4051,N
SALINITY (pss),1992-03-10 00:00:00,0.8935,36.404,N
SALINITY (pss),1992-03-10 00:00:00,0.9112,36.4096,N
