Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1991-08-14 00:00:00,0.295,-0.0023,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.295,0.01,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2951,-0.012,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2953,0.0257,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2955,-0.0201,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2959,0.0456,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.296,-0.0268,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2966,-0.0322,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.297,0.07,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2973,-0.0362,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.298,-0.0386,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2987,0.099,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2988,-0.04,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.2997,-0.0407,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3005,-0.0409,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3009,0.1326,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3013,-0.0404,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3021,-0.039,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3029,-0.0366,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3036,-0.0329,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3039,0.1709,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3042,-0.0284,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3047,-0.0233,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3052,-0.0179,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3055,-0.0124,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3076,0.2136,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3123,0.2602,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.318,0.3103,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3247,0.3622,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3325,0.4126,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3413,0.459,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.351,0.5004,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3614,0.5368,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3725,0.5684,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3842,0.5954,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.3964,0.6181,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.409,0.6373,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.422,0.6532,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.4352,0.6657,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.4487,0.6751,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.4623,0.6823,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.476,0.6881,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.4898,0.6928,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5037,0.6965,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5177,0.6995,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5317,0.7006,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5458,0.6994,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5597,0.6968,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5736,0.6932,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.5875,0.6891,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6012,0.6849,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6149,0.6804,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6284,0.675,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6419,0.6685,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6552,0.6605,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6683,0.651,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.6813,0.6401,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.694,0.628,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7064,0.615,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7186,0.6011,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7305,0.5865,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.742,0.5717,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7533,0.557,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7643,0.5426,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.775,0.5287,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7855,0.5158,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.7956,0.5041,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8056,0.4938,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8154,0.4854,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.825,0.4789,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8345,0.4739,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8439,0.4703,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8533,0.4677,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8626,0.466,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8719,0.4648,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8812,0.4639,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8904,0.4634,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.8997,0.4638,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.909,0.4651,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9183,0.4675,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9276,0.4715,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9371,0.4781,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9467,0.4873,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9566,0.4981,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9666,0.5095,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9769,0.5209,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9875,0.5318,N
VELOCITY (ms-1),1991-08-14 00:00:00,0.9982,0.5423,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0092,0.5529,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0203,0.5634,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0317,0.5739,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0433,0.5841,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0551,0.5935,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0671,0.6023,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0792,0.6109,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.0915,0.6199,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.104,0.6294,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1167,0.6386,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1295,0.6472,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1426,0.6553,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1557,0.6631,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1691,0.6707,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1826,0.6779,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.1962,0.6845,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.21,0.6901,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2238,0.6946,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2378,0.698,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2518,0.7001,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2658,0.7007,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2798,0.7001,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.2938,0.6986,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3078,0.6966,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3217,0.6943,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3356,0.6922,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3494,0.6902,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3632,0.6885,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3769,0.6868,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.3906,0.6855,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.4043,0.6849,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.418,0.6849,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.4317,0.6855,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.4454,0.6868,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.4592,0.6886,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.473,0.6905,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.4868,0.6921,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5007,0.6926,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5145,0.6913,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5284,0.6854,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5421,0.6712,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5554,0.6502,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5682,0.6258,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5805,0.5983,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.5922,0.567,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6032,0.5321,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6135,0.4944,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.623,0.4547,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6317,0.414,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6396,0.373,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6466,0.3322,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6529,0.2924,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6545,-0.0437,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6554,-0.0471,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6564,-0.0505,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6574,-0.0539,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6583,0.2542,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6585,-0.0573,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6597,-0.0606,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.661,-0.0635,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6623,-0.066,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.663,0.2178,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6636,-0.068,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.665,-0.0697,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6664,-0.0708,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.667,0.1832,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6678,-0.0713,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6693,-0.071,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6703,0.1508,N
VELOCITY (ms-1),1991-08-14 00:00:00,1.6707,-0.0697,N
