Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-14 00:00:00,0.228,15.3393,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2298,15.3399,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2323,15.3365,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2355,15.3399,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2394,15.3422,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2441,15.3422,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2493,15.3441,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2553,15.3452,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2618,15.3446,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2688,15.3445,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2764,15.3457,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2844,15.3484,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2928,15.3513,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3017,15.3505,N
TEMPERATURE (C),1991-08-14 00:00:00,0.311,15.3489,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3207,15.3505,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3307,15.35,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3411,15.3491,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3519,15.3511,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3633,15.3512,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3751,15.3499,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3873,15.3501,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3998,15.3516,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4126,15.3551,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4255,15.3565,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4384,15.3546,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4514,15.3554,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4644,15.3581,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4773,15.3566,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4901,15.3552,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5028,15.3562,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5154,15.3548,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5279,15.3536,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5404,15.3548,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5529,15.3545,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5654,15.353,N
TEMPERATURE (C),1991-08-14 00:00:00,0.578,15.3527,N
TEMPERATURE (C),1991-08-14 00:00:00,0.5906,15.3538,N
