Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1531,42077.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1545,42079.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1564,42076.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.159,42077.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1621,42082.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1658,42083.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1701,42077.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1751,42067.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1808,42061.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1871,42067.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.194,42081.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2015,42093.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2097,42100.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2184,42110.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2277,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2376,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2481,42112.99999999999,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.259,42112.99999999999,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2706,42119.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2827,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.2952,42122.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3083,42125.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3218,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3357,42115.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3499,42117.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3643,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3789,42120.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.3936,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4083,42125.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.423,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4376,42112.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4521,42110.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4666,42114.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4811,42118.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.4955,42125.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5099,42131.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5243,42131.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5388,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5533,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5678,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5823,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.5967,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6112,42126.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6256,42122.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6399,42119.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6541,42121.00000000001,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6681,42124.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6817,42127.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.6952,42128.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7083,42131.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.721,42134.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7335,42135.99999999999,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7456,42137.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7574,42135.99999999999,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.769,42137.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7803,42137.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.7914,42135.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.8023,42133.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.8132,42138.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.8239,42146.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.8346,42153.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.8453,42158.0,N
