Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-14 00:00:00,0.1312,34.0958,N
SALINITY (pss),1991-08-14 00:00:00,0.1323,34.1052,N
SALINITY (pss),1991-08-14 00:00:00,0.1339,34.104,N
SALINITY (pss),1991-08-14 00:00:00,0.136,34.1042,N
SALINITY (pss),1991-08-14 00:00:00,0.1385,34.1016,N
SALINITY (pss),1991-08-14 00:00:00,0.1416,34.099,N
SALINITY (pss),1991-08-14 00:00:00,0.1451,34.0983,N
SALINITY (pss),1991-08-14 00:00:00,0.1492,34.094,N
SALINITY (pss),1991-08-14 00:00:00,0.1537,34.0923,N
SALINITY (pss),1991-08-14 00:00:00,0.1587,34.0951,N
SALINITY (pss),1991-08-14 00:00:00,0.1642,34.0947,N
SALINITY (pss),1991-08-14 00:00:00,0.1701,34.0918,N
SALINITY (pss),1991-08-14 00:00:00,0.1766,34.0929,N
SALINITY (pss),1991-08-14 00:00:00,0.1836,34.0964,N
SALINITY (pss),1991-08-14 00:00:00,0.191,34.0977,N
SALINITY (pss),1991-08-14 00:00:00,0.1989,34.1023,N
SALINITY (pss),1991-08-14 00:00:00,0.2072,34.1163,N
SALINITY (pss),1991-08-14 00:00:00,0.2159,34.1294,N
SALINITY (pss),1991-08-14 00:00:00,0.225,34.1344,N
SALINITY (pss),1991-08-14 00:00:00,0.2343,34.1398,N
SALINITY (pss),1991-08-14 00:00:00,0.2439,34.1475,N
SALINITY (pss),1991-08-14 00:00:00,0.2537,34.1505,N
SALINITY (pss),1991-08-14 00:00:00,0.2637,34.1521,N
SALINITY (pss),1991-08-14 00:00:00,0.2738,34.155,N
SALINITY (pss),1991-08-14 00:00:00,0.2839,34.153,N
SALINITY (pss),1991-08-14 00:00:00,0.2939,34.1487,N
SALINITY (pss),1991-08-14 00:00:00,0.3038,34.1499,N
SALINITY (pss),1991-08-14 00:00:00,0.3135,34.151,N
SALINITY (pss),1991-08-14 00:00:00,0.323,34.1468,N
SALINITY (pss),1991-08-14 00:00:00,0.3322,34.1424,N
SALINITY (pss),1991-08-14 00:00:00,0.3411,34.1376,N
SALINITY (pss),1991-08-14 00:00:00,0.3497,34.1339,N
SALINITY (pss),1991-08-14 00:00:00,0.3579,34.1354,N
SALINITY (pss),1991-08-14 00:00:00,0.3658,34.1324,N
SALINITY (pss),1991-08-14 00:00:00,0.3734,34.1239,N
SALINITY (pss),1991-08-14 00:00:00,0.3805,34.1227,N
SALINITY (pss),1991-08-14 00:00:00,0.3874,34.1235,N
SALINITY (pss),1991-08-14 00:00:00,0.394,34.1188,N
SALINITY (pss),1991-08-14 00:00:00,0.4004,34.1193,N
SALINITY (pss),1991-08-14 00:00:00,0.4065,34.1258,N
SALINITY (pss),1991-08-14 00:00:00,0.4124,34.1303,N
SALINITY (pss),1991-08-14 00:00:00,0.4182,34.1334,N
SALINITY (pss),1991-08-14 00:00:00,0.4238,34.136,N
SALINITY (pss),1991-08-14 00:00:00,0.4292,34.1373,N
SALINITY (pss),1991-08-14 00:00:00,0.4346,34.1363,N
SALINITY (pss),1991-08-14 00:00:00,0.4398,34.1344,N
SALINITY (pss),1991-08-14 00:00:00,0.4449,34.1364,N
SALINITY (pss),1991-08-14 00:00:00,0.4499,34.1385,N
SALINITY (pss),1991-08-14 00:00:00,0.4548,34.1372,N
SALINITY (pss),1991-08-14 00:00:00,0.4597,34.1382,N
SALINITY (pss),1991-08-14 00:00:00,0.4644,34.1409,N
SALINITY (pss),1991-08-14 00:00:00,0.4691,34.142,N
SALINITY (pss),1991-08-14 00:00:00,0.4738,34.1437,N
SALINITY (pss),1991-08-14 00:00:00,0.4784,34.143,N
SALINITY (pss),1991-08-14 00:00:00,0.483,34.1402,N
SALINITY (pss),1991-08-14 00:00:00,0.4875,34.1397,N
SALINITY (pss),1991-08-14 00:00:00,0.4921,34.1394,N
SALINITY (pss),1991-08-14 00:00:00,0.4966,34.138,N
SALINITY (pss),1991-08-14 00:00:00,0.5012,34.137,N
SALINITY (pss),1991-08-14 00:00:00,0.5058,34.1331,N
SALINITY (pss),1991-08-14 00:00:00,0.5104,34.1253,N
SALINITY (pss),1991-08-14 00:00:00,0.515,34.122,N
SALINITY (pss),1991-08-14 00:00:00,0.5197,34.1246,N
SALINITY (pss),1991-08-14 00:00:00,0.5243,34.1221,N
SALINITY (pss),1991-08-14 00:00:00,0.529,34.1177,N
SALINITY (pss),1991-08-14 00:00:00,0.5337,34.12,N
SALINITY (pss),1991-08-14 00:00:00,0.5385,34.1211,N
SALINITY (pss),1991-08-14 00:00:00,0.5433,34.1196,N
SALINITY (pss),1991-08-14 00:00:00,0.5484,34.121,N
SALINITY (pss),1991-08-14 00:00:00,0.5535,34.1235,N
SALINITY (pss),1991-08-14 00:00:00,0.5588,34.127,N
SALINITY (pss),1991-08-14 00:00:00,0.5642,34.1277,N
SALINITY (pss),1991-08-14 00:00:00,0.5697,34.125,N
SALINITY (pss),1991-08-14 00:00:00,0.5754,34.126,N
SALINITY (pss),1991-08-14 00:00:00,0.581,34.1279,N
SALINITY (pss),1991-08-14 00:00:00,0.5868,34.1266,N
SALINITY (pss),1991-08-14 00:00:00,0.5925,34.1267,N
SALINITY (pss),1991-08-14 00:00:00,0.5983,34.1302,N
SALINITY (pss),1991-08-14 00:00:00,0.604,34.1324,N
SALINITY (pss),1991-08-14 00:00:00,0.6096,34.13,N
SALINITY (pss),1991-08-14 00:00:00,0.6151,34.1283,N
SALINITY (pss),1991-08-14 00:00:00,0.6205,34.1299,N
SALINITY (pss),1991-08-14 00:00:00,0.6257,34.1309,N
SALINITY (pss),1991-08-14 00:00:00,0.6308,34.1298,N
SALINITY (pss),1991-08-14 00:00:00,0.6356,34.1271,N
SALINITY (pss),1991-08-14 00:00:00,0.6403,34.1263,N
SALINITY (pss),1991-08-14 00:00:00,0.6448,34.1289,N
SALINITY (pss),1991-08-14 00:00:00,0.6492,34.1297,N
SALINITY (pss),1991-08-14 00:00:00,0.6533,34.1279,N
SALINITY (pss),1991-08-14 00:00:00,0.6574,34.1266,N
SALINITY (pss),1991-08-14 00:00:00,0.6613,34.1242,N
SALINITY (pss),1991-08-14 00:00:00,0.6651,34.1231,N
SALINITY (pss),1991-08-14 00:00:00,0.6687,34.1249,N
SALINITY (pss),1991-08-14 00:00:00,0.6724,34.1249,N
SALINITY (pss),1991-08-14 00:00:00,0.6759,34.1238,N
SALINITY (pss),1991-08-14 00:00:00,0.6794,34.1252,N
SALINITY (pss),1991-08-14 00:00:00,0.6829,34.1269,N
SALINITY (pss),1991-08-14 00:00:00,0.6864,34.1289,N
SALINITY (pss),1991-08-14 00:00:00,0.6898,34.1307,N
SALINITY (pss),1991-08-14 00:00:00,0.6933,34.1289,N
SALINITY (pss),1991-08-14 00:00:00,0.6968,34.1283,N
SALINITY (pss),1991-08-14 00:00:00,0.7003,34.1322,N
SALINITY (pss),1991-08-14 00:00:00,0.7038,34.1336,N
SALINITY (pss),1991-08-14 00:00:00,0.7074,34.1339,N
SALINITY (pss),1991-08-14 00:00:00,0.7111,34.1368,N
SALINITY (pss),1991-08-14 00:00:00,0.7149,34.1356,N
SALINITY (pss),1991-08-14 00:00:00,0.7187,34.1326,N
SALINITY (pss),1991-08-14 00:00:00,0.7227,34.1338,N
SALINITY (pss),1991-08-14 00:00:00,0.7268,34.1352,N
SALINITY (pss),1991-08-14 00:00:00,0.7309,34.1352,N
SALINITY (pss),1991-08-14 00:00:00,0.7352,34.1346,N
SALINITY (pss),1991-08-14 00:00:00,0.7396,34.1331,N
SALINITY (pss),1991-08-14 00:00:00,0.744,34.1337,N
SALINITY (pss),1991-08-14 00:00:00,0.7486,34.1355,N
SALINITY (pss),1991-08-14 00:00:00,0.7533,34.1344,N
SALINITY (pss),1991-08-14 00:00:00,0.7582,34.1336,N
SALINITY (pss),1991-08-14 00:00:00,0.7631,34.1354,N
SALINITY (pss),1991-08-14 00:00:00,0.7682,34.1338,N
SALINITY (pss),1991-08-14 00:00:00,0.7733,34.1308,N
SALINITY (pss),1991-08-14 00:00:00,0.7785,34.1333,N
SALINITY (pss),1991-08-14 00:00:00,0.7837,34.136,N
SALINITY (pss),1991-08-14 00:00:00,0.7889,34.1348,N
SALINITY (pss),1991-08-14 00:00:00,0.7942,34.1329,N
SALINITY (pss),1991-08-14 00:00:00,0.7995,34.1316,N
SALINITY (pss),1991-08-14 00:00:00,0.8048,34.1331,N
SALINITY (pss),1991-08-14 00:00:00,0.81,34.1354,N
SALINITY (pss),1991-08-14 00:00:00,0.8153,34.1324,N
SALINITY (pss),1991-08-14 00:00:00,0.8206,34.1264,N
SALINITY (pss),1991-08-14 00:00:00,0.8258,34.1247,N
SALINITY (pss),1991-08-14 00:00:00,0.831,34.1266,N
SALINITY (pss),1991-08-14 00:00:00,0.8362,34.1281,N
SALINITY (pss),1991-08-14 00:00:00,0.8413,34.1291,N
SALINITY (pss),1991-08-14 00:00:00,0.8465,34.1304,N
SALINITY (pss),1991-08-14 00:00:00,0.8517,34.1307,N
SALINITY (pss),1991-08-14 00:00:00,0.8568,34.1296,N
SALINITY (pss),1991-08-14 00:00:00,0.8621,34.1261,N
SALINITY (pss),1991-08-14 00:00:00,0.8673,34.12,N
SALINITY (pss),1991-08-14 00:00:00,0.8727,34.1158,N
SALINITY (pss),1991-08-14 00:00:00,0.878,34.1146,N
SALINITY (pss),1991-08-14 00:00:00,0.8835,34.1139,N
SALINITY (pss),1991-08-14 00:00:00,0.8889,34.1166,N
SALINITY (pss),1991-08-14 00:00:00,0.8945,34.1214,N
SALINITY (pss),1991-08-14 00:00:00,0.9001,34.1233,N
SALINITY (pss),1991-08-14 00:00:00,0.9059,34.1243,N
SALINITY (pss),1991-08-14 00:00:00,0.9117,34.1262,N
SALINITY (pss),1991-08-14 00:00:00,0.9176,34.1283,N
SALINITY (pss),1991-08-14 00:00:00,0.9237,34.1313,N
SALINITY (pss),1991-08-14 00:00:00,0.9298,34.131,N
SALINITY (pss),1991-08-14 00:00:00,0.936,34.1291,N
SALINITY (pss),1991-08-14 00:00:00,0.9423,34.1322,N
SALINITY (pss),1991-08-14 00:00:00,0.9487,34.134,N
SALINITY (pss),1991-08-14 00:00:00,0.9551,34.1318,N
SALINITY (pss),1991-08-14 00:00:00,0.9617,34.1344,N
SALINITY (pss),1991-08-14 00:00:00,0.9683,34.1377,N
SALINITY (pss),1991-08-14 00:00:00,0.975,34.1362,N
SALINITY (pss),1991-08-14 00:00:00,0.9817,34.1352,N
SALINITY (pss),1991-08-14 00:00:00,0.9884,34.1374,N
SALINITY (pss),1991-08-14 00:00:00,0.9953,34.1405,N
SALINITY (pss),1991-08-14 00:00:00,1.0021,34.1401,N
SALINITY (pss),1991-08-14 00:00:00,1.009,34.1376,N
SALINITY (pss),1991-08-14 00:00:00,1.016,34.14,N
SALINITY (pss),1991-08-14 00:00:00,1.0229,34.1428,N
SALINITY (pss),1991-08-14 00:00:00,1.03,34.1399,N
SALINITY (pss),1991-08-14 00:00:00,1.0371,34.1378,N
SALINITY (pss),1991-08-14 00:00:00,1.0443,34.1392,N
SALINITY (pss),1991-08-14 00:00:00,1.0515,34.1396,N
SALINITY (pss),1991-08-14 00:00:00,1.0588,34.1391,N
SALINITY (pss),1991-08-14 00:00:00,1.0662,34.1386,N
SALINITY (pss),1991-08-14 00:00:00,1.0736,34.1366,N
SALINITY (pss),1991-08-14 00:00:00,1.0811,34.1364,N
SALINITY (pss),1991-08-14 00:00:00,1.0887,34.1385,N
SALINITY (pss),1991-08-14 00:00:00,1.0963,34.1381,N
SALINITY (pss),1991-08-14 00:00:00,1.104,34.1389,N
SALINITY (pss),1991-08-14 00:00:00,1.1117,34.1426,N
SALINITY (pss),1991-08-14 00:00:00,1.1195,34.1422,N
SALINITY (pss),1991-08-14 00:00:00,1.1273,34.1403,N
SALINITY (pss),1991-08-14 00:00:00,1.1352,34.1408,N
SALINITY (pss),1991-08-14 00:00:00,1.1432,34.1389,N
SALINITY (pss),1991-08-14 00:00:00,1.1512,34.1367,N
SALINITY (pss),1991-08-14 00:00:00,1.1592,34.1372,N
SALINITY (pss),1991-08-14 00:00:00,1.1673,34.1374,N
SALINITY (pss),1991-08-14 00:00:00,1.1754,34.1397,N
SALINITY (pss),1991-08-14 00:00:00,1.1835,34.1433,N
SALINITY (pss),1991-08-14 00:00:00,1.1915,34.1444,N
SALINITY (pss),1991-08-14 00:00:00,1.1996,34.1452,N
SALINITY (pss),1991-08-14 00:00:00,1.2076,34.1447,N
SALINITY (pss),1991-08-14 00:00:00,1.2156,34.1411,N
SALINITY (pss),1991-08-14 00:00:00,1.2236,34.138,N
SALINITY (pss),1991-08-14 00:00:00,1.2315,34.1369,N
SALINITY (pss),1991-08-14 00:00:00,1.2393,34.136,N
SALINITY (pss),1991-08-14 00:00:00,1.2471,34.1336,N
SALINITY (pss),1991-08-14 00:00:00,1.2548,34.1343,N
SALINITY (pss),1991-08-14 00:00:00,1.2624,34.1393,N
SALINITY (pss),1991-08-14 00:00:00,1.2699,34.141,N
SALINITY (pss),1991-08-14 00:00:00,1.2774,34.143,N
SALINITY (pss),1991-08-14 00:00:00,1.2848,34.15,N
SALINITY (pss),1991-08-14 00:00:00,1.292,34.1525,N
SALINITY (pss),1991-08-14 00:00:00,1.2992,34.1501,N
SALINITY (pss),1991-08-14 00:00:00,1.3063,34.1533,N
SALINITY (pss),1991-08-14 00:00:00,1.3133,34.1569,N
SALINITY (pss),1991-08-14 00:00:00,1.3203,34.1549,N
SALINITY (pss),1991-08-14 00:00:00,1.3271,34.1568,N
SALINITY (pss),1991-08-14 00:00:00,1.3339,34.1607,N
SALINITY (pss),1991-08-14 00:00:00,1.3406,34.1596,N
SALINITY (pss),1991-08-14 00:00:00,1.3472,34.1608,N
SALINITY (pss),1991-08-14 00:00:00,1.3538,34.163,N
SALINITY (pss),1991-08-14 00:00:00,1.3604,34.1619,N
SALINITY (pss),1991-08-14 00:00:00,1.367,34.1637,N
SALINITY (pss),1991-08-14 00:00:00,1.3735,34.1663,N
SALINITY (pss),1991-08-14 00:00:00,1.3801,34.1641,N
SALINITY (pss),1991-08-14 00:00:00,1.3867,34.1614,N
SALINITY (pss),1991-08-14 00:00:00,1.3933,34.163,N
SALINITY (pss),1991-08-14 00:00:00,1.3999,34.1644,N
SALINITY (pss),1991-08-14 00:00:00,1.4065,34.163,N
SALINITY (pss),1991-08-14 00:00:00,1.4131,34.162,N
SALINITY (pss),1991-08-14 00:00:00,1.4198,34.1583,N
SALINITY (pss),1991-08-14 00:00:00,1.4265,34.1567,N
SALINITY (pss),1991-08-14 00:00:00,1.4332,34.1639,N
SALINITY (pss),1991-08-14 00:00:00,1.4399,34.1662,N
SALINITY (pss),1991-08-14 00:00:00,1.4466,34.1618,N
SALINITY (pss),1991-08-14 00:00:00,1.4533,34.1638,N
SALINITY (pss),1991-08-14 00:00:00,1.4599,34.1643,N
SALINITY (pss),1991-08-14 00:00:00,1.4666,34.159,N
SALINITY (pss),1991-08-14 00:00:00,1.4733,34.1594,N
SALINITY (pss),1991-08-14 00:00:00,1.4799,34.1626,N
SALINITY (pss),1991-08-14 00:00:00,1.4866,34.1635,N
SALINITY (pss),1991-08-14 00:00:00,1.4932,34.1668,N
SALINITY (pss),1991-08-14 00:00:00,1.4999,34.1692,N
SALINITY (pss),1991-08-14 00:00:00,1.5065,34.1666,N
SALINITY (pss),1991-08-14 00:00:00,1.5132,34.1641,N
SALINITY (pss),1991-08-14 00:00:00,1.5199,34.1617,N
SALINITY (pss),1991-08-14 00:00:00,1.5266,34.1581,N
SALINITY (pss),1991-08-14 00:00:00,1.5334,34.1581,N
SALINITY (pss),1991-08-14 00:00:00,1.5402,34.1589,N
SALINITY (pss),1991-08-14 00:00:00,1.547,34.1548,N
SALINITY (pss),1991-08-14 00:00:00,1.5539,34.1527,N
SALINITY (pss),1991-08-14 00:00:00,1.5607,34.1574,N
SALINITY (pss),1991-08-14 00:00:00,1.5677,34.1612,N
SALINITY (pss),1991-08-14 00:00:00,1.5746,34.159,N
SALINITY (pss),1991-08-14 00:00:00,1.5816,34.1574,N
SALINITY (pss),1991-08-14 00:00:00,1.5885,34.1603,N
SALINITY (pss),1991-08-14 00:00:00,1.5955,34.1616,N
SALINITY (pss),1991-08-14 00:00:00,1.6024,34.1594,N
SALINITY (pss),1991-08-14 00:00:00,1.6092,34.1585,N
SALINITY (pss),1991-08-14 00:00:00,1.616,34.156,N
SALINITY (pss),1991-08-14 00:00:00,1.6228,34.1507,N
SALINITY (pss),1991-08-14 00:00:00,1.6296,34.1488,N
SALINITY (pss),1991-08-14 00:00:00,1.6363,34.1482,N
SALINITY (pss),1991-08-14 00:00:00,1.643,34.1465,N
SALINITY (pss),1991-08-14 00:00:00,1.6496,34.1455,N
SALINITY (pss),1991-08-14 00:00:00,1.6562,34.1446,N
SALINITY (pss),1991-08-14 00:00:00,1.6628,34.1459,N
SALINITY (pss),1991-08-14 00:00:00,1.6693,34.1477,N
SALINITY (pss),1991-08-14 00:00:00,1.6759,34.1456,N
SALINITY (pss),1991-08-14 00:00:00,1.6824,34.1454,N
SALINITY (pss),1991-08-14 00:00:00,1.6889,34.1497,N
SALINITY (pss),1991-08-14 00:00:00,1.6954,34.1502,N
SALINITY (pss),1991-08-14 00:00:00,1.702,34.1468,N
SALINITY (pss),1991-08-14 00:00:00,1.7086,34.1483,N
SALINITY (pss),1991-08-14 00:00:00,1.7153,34.1511,N
SALINITY (pss),1991-08-14 00:00:00,1.7221,34.1468,N
SALINITY (pss),1991-08-14 00:00:00,1.7291,34.1426,N
SALINITY (pss),1991-08-14 00:00:00,1.7361,34.1423,N
SALINITY (pss),1991-08-14 00:00:00,1.7432,34.1397,N
SALINITY (pss),1991-08-14 00:00:00,1.7505,34.1399,N
SALINITY (pss),1991-08-14 00:00:00,1.7579,34.1452,N
SALINITY (pss),1991-08-14 00:00:00,1.7654,34.144,N
SALINITY (pss),1991-08-14 00:00:00,1.773,34.1392,N
SALINITY (pss),1991-08-14 00:00:00,1.7806,34.14,N
SALINITY (pss),1991-08-14 00:00:00,1.7884,34.1396,N
SALINITY (pss),1991-08-14 00:00:00,1.7963,34.1369,N
SALINITY (pss),1991-08-14 00:00:00,1.8041,34.1383,N
SALINITY (pss),1991-08-14 00:00:00,1.8121,34.1398,N
SALINITY (pss),1991-08-14 00:00:00,1.8201,34.1389,N
SALINITY (pss),1991-08-14 00:00:00,1.828,34.1389,N
SALINITY (pss),1991-08-14 00:00:00,1.836,34.1377,N
SALINITY (pss),1991-08-14 00:00:00,1.8439,34.1369,N
SALINITY (pss),1991-08-14 00:00:00,1.8519,34.1395,N
SALINITY (pss),1991-08-14 00:00:00,1.8597,34.1413,N
SALINITY (pss),1991-08-14 00:00:00,1.8675,34.1426,N
SALINITY (pss),1991-08-14 00:00:00,1.8751,34.1434,N
SALINITY (pss),1991-08-14 00:00:00,1.8827,34.1425,N
SALINITY (pss),1991-08-14 00:00:00,1.8902,34.1443,N
SALINITY (pss),1991-08-14 00:00:00,1.8976,34.1467,N
SALINITY (pss),1991-08-14 00:00:00,1.9048,34.1462,N
SALINITY (pss),1991-08-14 00:00:00,1.9119,34.1462,N
SALINITY (pss),1991-08-14 00:00:00,1.9189,34.1463,N
SALINITY (pss),1991-08-14 00:00:00,1.9257,34.1459,N
SALINITY (pss),1991-08-14 00:00:00,1.9324,34.1468,N
SALINITY (pss),1991-08-14 00:00:00,1.939,34.1485,N
SALINITY (pss),1991-08-14 00:00:00,1.9455,34.1505,N
SALINITY (pss),1991-08-14 00:00:00,1.9519,34.1528,N
SALINITY (pss),1991-08-14 00:00:00,1.9582,34.153,N
SALINITY (pss),1991-08-14 00:00:00,1.9644,34.1521,N
SALINITY (pss),1991-08-14 00:00:00,1.9706,34.1537,N
SALINITY (pss),1991-08-14 00:00:00,1.9767,34.1556,N
SALINITY (pss),1991-08-14 00:00:00,1.9828,34.156,N
SALINITY (pss),1991-08-14 00:00:00,1.9889,34.1575,N
SALINITY (pss),1991-08-14 00:00:00,1.995,34.1587,N
