Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-14 00:00:00,0.1312,15.4221,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1323,15.4158,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1339,15.4194,N
TEMPERATURE (C),1991-08-14 00:00:00,0.136,15.4219,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1385,15.4276,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1416,15.433,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1451,15.4368,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1492,15.4449,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1537,15.4515,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1587,15.4556,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1642,15.4633,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1701,15.4708,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1766,15.4714,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1836,15.4671,N
TEMPERATURE (C),1991-08-14 00:00:00,0.191,15.467,N
TEMPERATURE (C),1991-08-14 00:00:00,0.1989,15.4725,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2072,15.4749,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2159,15.4762,N
TEMPERATURE (C),1991-08-14 00:00:00,0.225,15.4836,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2343,15.4899,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2439,15.4913,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2537,15.4948,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2637,15.4983,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2738,15.4984,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2839,15.5021,N
TEMPERATURE (C),1991-08-14 00:00:00,0.2939,15.5084,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3038,15.5098,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3135,15.5115,N
TEMPERATURE (C),1991-08-14 00:00:00,0.323,15.5177,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3322,15.5234,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3411,15.5301,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3497,15.5364,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3579,15.5365,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3658,15.5402,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3734,15.5497,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3805,15.5514,N
TEMPERATURE (C),1991-08-14 00:00:00,0.3874,15.5516,N
TEMPERATURE (C),1991-08-14 00:00:00,0.394,15.5588,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4004,15.5602,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4065,15.5544,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4124,15.5517,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4182,15.5516,N
TEMPERATURE (C),1991-08-14 00:00:00,0.4238,15.5512,N
