Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-13 00:00:00,0.2995,36.357,N
SALINITY (pss),1992-03-13 00:00:00,0.3017,36.3549,N
SALINITY (pss),1992-03-13 00:00:00,0.305,36.3512,N
SALINITY (pss),1992-03-13 00:00:00,0.3095,36.348,N
SALINITY (pss),1992-03-13 00:00:00,0.3154,36.3469,N
SALINITY (pss),1992-03-13 00:00:00,0.3228,36.3506,N
SALINITY (pss),1992-03-13 00:00:00,0.3316,36.3614,N
SALINITY (pss),1992-03-13 00:00:00,0.342,36.3705,N
SALINITY (pss),1992-03-13 00:00:00,0.3539,36.3747,N
SALINITY (pss),1992-03-13 00:00:00,0.3673,36.3858,N
SALINITY (pss),1992-03-13 00:00:00,0.3822,36.4017,N
SALINITY (pss),1992-03-13 00:00:00,0.3985,36.4094,N
SALINITY (pss),1992-03-13 00:00:00,0.4163,36.4117,N
SALINITY (pss),1992-03-13 00:00:00,0.4352,36.4131,N
SALINITY (pss),1992-03-13 00:00:00,0.4553,36.4076,N
SALINITY (pss),1992-03-13 00:00:00,0.4764,36.3995,N
SALINITY (pss),1992-03-13 00:00:00,0.4984,36.4018,N
SALINITY (pss),1992-03-13 00:00:00,0.5213,36.4099,N
SALINITY (pss),1992-03-13 00:00:00,0.5449,36.4078,N
SALINITY (pss),1992-03-13 00:00:00,0.5689,36.3984,N
SALINITY (pss),1992-03-13 00:00:00,0.5934,36.3963,N
SALINITY (pss),1992-03-13 00:00:00,0.6182,36.3986,N
SALINITY (pss),1992-03-13 00:00:00,0.643,36.3989,N
SALINITY (pss),1992-03-13 00:00:00,0.6678,36.4014,N
SALINITY (pss),1992-03-13 00:00:00,0.6924,36.4014,N
SALINITY (pss),1992-03-13 00:00:00,0.7168,36.3939,N
SALINITY (pss),1992-03-13 00:00:00,0.7411,36.3898,N
SALINITY (pss),1992-03-13 00:00:00,0.765,36.3925,N
SALINITY (pss),1992-03-13 00:00:00,0.7886,36.3933,N
SALINITY (pss),1992-03-13 00:00:00,0.8116,36.3919,N
SALINITY (pss),1992-03-13 00:00:00,0.8343,36.3942,N
SALINITY (pss),1992-03-13 00:00:00,0.8566,36.3964,N
SALINITY (pss),1992-03-13 00:00:00,0.8785,36.3926,N
SALINITY (pss),1992-03-13 00:00:00,0.8999,36.3908,N
SALINITY (pss),1992-03-13 00:00:00,0.9208,36.3966,N
SALINITY (pss),1992-03-13 00:00:00,0.9415,36.3997,N
SALINITY (pss),1992-03-13 00:00:00,0.9618,36.3969,N
SALINITY (pss),1992-03-13 00:00:00,0.9817,36.3962,N
SALINITY (pss),1992-03-13 00:00:00,1.0013,36.398,N
SALINITY (pss),1992-03-13 00:00:00,1.0206,36.3984,N
SALINITY (pss),1992-03-13 00:00:00,1.0396,36.3979,N
SALINITY (pss),1992-03-13 00:00:00,1.0583,36.3979,N
SALINITY (pss),1992-03-13 00:00:00,1.0768,36.3993,N
SALINITY (pss),1992-03-13 00:00:00,1.0952,36.4006,N
SALINITY (pss),1992-03-13 00:00:00,1.1134,36.3976,N
SALINITY (pss),1992-03-13 00:00:00,1.1314,36.3938,N
SALINITY (pss),1992-03-13 00:00:00,1.1492,36.3967,N
SALINITY (pss),1992-03-13 00:00:00,1.167,36.4008,N
SALINITY (pss),1992-03-13 00:00:00,1.1846,36.397,N
SALINITY (pss),1992-03-13 00:00:00,1.2021,36.3921,N
SALINITY (pss),1992-03-13 00:00:00,1.2195,36.3944,N
SALINITY (pss),1992-03-13 00:00:00,1.2368,36.396,N
SALINITY (pss),1992-03-13 00:00:00,1.2541,36.3929,N
SALINITY (pss),1992-03-13 00:00:00,1.2714,36.3939,N
SALINITY (pss),1992-03-13 00:00:00,1.2887,36.3963,N
SALINITY (pss),1992-03-13 00:00:00,1.3061,36.3941,N
SALINITY (pss),1992-03-13 00:00:00,1.3235,36.394,N
SALINITY (pss),1992-03-13 00:00:00,1.341,36.3961,N
SALINITY (pss),1992-03-13 00:00:00,1.3585,36.3934,N
SALINITY (pss),1992-03-13 00:00:00,1.3761,36.3871,N
SALINITY (pss),1992-03-13 00:00:00,1.3938,36.3824,N
SALINITY (pss),1992-03-13 00:00:00,1.4116,36.3845,N
SALINITY (pss),1992-03-13 00:00:00,1.4294,36.3918,N
SALINITY (pss),1992-03-13 00:00:00,1.4473,36.3973,N
SALINITY (pss),1992-03-13 00:00:00,1.4652,36.3992,N
SALINITY (pss),1992-03-13 00:00:00,1.4833,36.4004,N
SALINITY (pss),1992-03-13 00:00:00,1.5014,36.4017,N
SALINITY (pss),1992-03-13 00:00:00,1.5194,36.3997,N
SALINITY (pss),1992-03-13 00:00:00,1.5375,36.3974,N
SALINITY (pss),1992-03-13 00:00:00,1.5555,36.3979,N
SALINITY (pss),1992-03-13 00:00:00,1.5735,36.3984,N
SALINITY (pss),1992-03-13 00:00:00,1.5915,36.4038,N
SALINITY (pss),1992-03-13 00:00:00,1.6095,36.4118,N
SALINITY (pss),1992-03-13 00:00:00,1.6275,36.4097,N
SALINITY (pss),1992-03-13 00:00:00,1.6455,36.4042,N
SALINITY (pss),1992-03-13 00:00:00,1.6634,36.4049,N
SALINITY (pss),1992-03-13 00:00:00,1.6814,36.4064,N
SALINITY (pss),1992-03-13 00:00:00,1.6993,36.408,N
SALINITY (pss),1992-03-13 00:00:00,1.7173,36.4105,N
SALINITY (pss),1992-03-13 00:00:00,1.7353,36.4072,N
SALINITY (pss),1992-03-13 00:00:00,1.7533,36.3999,N
SALINITY (pss),1992-03-13 00:00:00,1.7713,36.3945,N
SALINITY (pss),1992-03-13 00:00:00,1.7893,36.3931,N
SALINITY (pss),1992-03-13 00:00:00,1.8073,36.3988,N
SALINITY (pss),1992-03-13 00:00:00,1.8252,36.4063,N
SALINITY (pss),1992-03-13 00:00:00,1.843,36.4104,N
SALINITY (pss),1992-03-13 00:00:00,1.8608,36.4152,N
SALINITY (pss),1992-03-13 00:00:00,1.8785,36.4204,N
SALINITY (pss),1992-03-13 00:00:00,1.8963,36.4232,N
SALINITY (pss),1992-03-13 00:00:00,1.9141,36.4215,N
SALINITY (pss),1992-03-13 00:00:00,1.932,36.4103,N
SALINITY (pss),1992-03-13 00:00:00,1.95,36.3957,N
SALINITY (pss),1992-03-13 00:00:00,1.9681,36.3885,N
SALINITY (pss),1992-03-13 00:00:00,1.9863,36.3836,N
SALINITY (pss),1992-03-13 00:00:00,2.0047,36.3787,N
SALINITY (pss),1992-03-13 00:00:00,2.0232,36.3818,N
SALINITY (pss),1992-03-13 00:00:00,2.0418,36.3882,N
SALINITY (pss),1992-03-13 00:00:00,2.0605,36.3894,N
SALINITY (pss),1992-03-13 00:00:00,2.0793,36.3905,N
SALINITY (pss),1992-03-13 00:00:00,2.0981,36.3948,N
SALINITY (pss),1992-03-13 00:00:00,2.117,36.3977,N
SALINITY (pss),1992-03-13 00:00:00,2.136,36.3983,N
SALINITY (pss),1992-03-13 00:00:00,2.1551,36.3978,N
SALINITY (pss),1992-03-13 00:00:00,2.1742,36.3967,N
SALINITY (pss),1992-03-13 00:00:00,2.1934,36.3979,N
SALINITY (pss),1992-03-13 00:00:00,2.2127,36.4001,N
SALINITY (pss),1992-03-13 00:00:00,2.232,36.3994,N
SALINITY (pss),1992-03-13 00:00:00,2.2513,36.3967,N
SALINITY (pss),1992-03-13 00:00:00,2.2707,36.3975,N
SALINITY (pss),1992-03-13 00:00:00,2.2901,36.4018,N
SALINITY (pss),1992-03-13 00:00:00,2.3096,36.4027,N
SALINITY (pss),1992-03-13 00:00:00,2.3291,36.4031,N
SALINITY (pss),1992-03-13 00:00:00,2.3487,36.4064,N
SALINITY (pss),1992-03-13 00:00:00,2.3682,36.4049,N
SALINITY (pss),1992-03-13 00:00:00,2.3878,36.4022,N
SALINITY (pss),1992-03-13 00:00:00,2.4073,36.404,N
SALINITY (pss),1992-03-13 00:00:00,2.4268,36.4039,N
SALINITY (pss),1992-03-13 00:00:00,2.4463,36.4022,N
SALINITY (pss),1992-03-13 00:00:00,2.4657,36.4037,N
SALINITY (pss),1992-03-13 00:00:00,2.4851,36.4039,N
SALINITY (pss),1992-03-13 00:00:00,2.5045,36.4006,N
SALINITY (pss),1992-03-13 00:00:00,2.5238,36.3992,N
SALINITY (pss),1992-03-13 00:00:00,2.543,36.402,N
SALINITY (pss),1992-03-13 00:00:00,2.5621,36.4044,N
SALINITY (pss),1992-03-13 00:00:00,2.5811,36.4039,N
SALINITY (pss),1992-03-13 00:00:00,2.5999,36.4042,N
SALINITY (pss),1992-03-13 00:00:00,2.6187,36.407,N
SALINITY (pss),1992-03-13 00:00:00,2.6374,36.4088,N
SALINITY (pss),1992-03-13 00:00:00,2.656,36.4077,N
SALINITY (pss),1992-03-13 00:00:00,2.6745,36.4067,N
SALINITY (pss),1992-03-13 00:00:00,2.6927,36.4069,N
SALINITY (pss),1992-03-13 00:00:00,2.7109,36.4064,N
SALINITY (pss),1992-03-13 00:00:00,2.7288,36.4047,N
SALINITY (pss),1992-03-13 00:00:00,2.7467,36.4038,N
SALINITY (pss),1992-03-13 00:00:00,2.7645,36.4042,N
SALINITY (pss),1992-03-13 00:00:00,2.7822,36.404,N
SALINITY (pss),1992-03-13 00:00:00,2.7998,36.4027,N
SALINITY (pss),1992-03-13 00:00:00,2.8173,36.4036,N
SALINITY (pss),1992-03-13 00:00:00,2.8348,36.4046,N
SALINITY (pss),1992-03-13 00:00:00,2.8521,36.4031,N
SALINITY (pss),1992-03-13 00:00:00,2.8693,36.4022,N
SALINITY (pss),1992-03-13 00:00:00,2.8864,36.4029,N
SALINITY (pss),1992-03-13 00:00:00,2.9035,36.4049,N
SALINITY (pss),1992-03-13 00:00:00,2.9204,36.4059,N
SALINITY (pss),1992-03-13 00:00:00,2.9374,36.4043,N
SALINITY (pss),1992-03-13 00:00:00,2.9543,36.4048,N
SALINITY (pss),1992-03-13 00:00:00,2.9712,36.4064,N
SALINITY (pss),1992-03-13 00:00:00,2.9881,36.405,N
SALINITY (pss),1992-03-13 00:00:00,3.0051,36.4062,N
SALINITY (pss),1992-03-13 00:00:00,3.0222,36.4074,N
