Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-22 00:00:00,0.4395,25.2524,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4423,25.2521,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4461,25.2501,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.451,25.2498,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4571,25.2522,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4642,25.2543,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4726,25.2528,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.482,25.2509,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4926,25.2515,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5043,25.252,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5172,25.2523,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.531,25.2528,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5457,25.2523,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5522,25.1852,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5562,25.1834,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5611,25.2524,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5619,25.1837,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5694,25.184,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.577,25.2511,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5787,25.1835,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5899,25.1865,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5936,25.2511,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6028,25.1887,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6106,25.2545,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6177,25.1859,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6281,25.2544,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6342,25.1846,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6457,25.2515,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6526,25.1866,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6634,25.2498,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6722,25.1877,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6813,25.2473,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6913,25.2561,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.693,25.1874,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6956,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6992,25.2466,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7016,25.2551,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7096,25.2573,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7147,25.1862,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7172,25.2483,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7194,25.2584,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7313,25.2576,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7354,25.249,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7372,25.1844,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7449,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7536,25.2489,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7602,25.1841,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7604,25.2527,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.772,25.2487,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7774,25.2549,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7838,25.1851,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7903,25.249,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7958,25.2599,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8077,25.1838,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8088,25.25,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8153,25.2563,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8273,25.2496,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8319,25.1799,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8359,25.2483,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8459,25.2504,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8565,25.182,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8573,25.2469,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8646,25.2543,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8796,25.2512,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8814,25.1877,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8835,25.2537,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9026,25.2541,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9027,25.2489,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9065,25.1863,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.922,25.2488,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9261,25.2543,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9319,25.1823,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9415,25.2513,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9503,25.2544,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9576,25.1832,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9612,25.2504,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9748,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9811,25.2506,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9836,25.184,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9997,25.2549,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.001,25.2545,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0094,25.1832,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0212,25.2551,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0249,25.2546,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0353,25.1858,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0416,25.2531,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0504,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.061,25.1847,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0621,25.2532,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0762,25.2557,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0828,25.2521,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0866,25.1809,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1021,25.256,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1037,25.2507,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1118,25.1826,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1248,25.2521,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1281,25.2561,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1365,25.1834,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1463,25.2521,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1543,25.2548,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.161,25.181,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1682,25.252,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1805,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1853,25.1844,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1904,25.2538,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2069,25.2576,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2096,25.1873,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2131,25.252,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2334,25.257,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2337,25.1862,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2363,25.2484,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2576,25.1862,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2598,25.249,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2601,25.2545,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2816,25.1853,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2835,25.2515,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2868,25.2554,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3054,25.1859,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3075,25.2513,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3136,25.2589,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.329,25.1871,N
