Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-27 00:00:00,0.2237,0.1282,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2268,0.1912,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2313,0.2586,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2371,0.328,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2444,0.3989,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2531,0.4699,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2632,0.5384,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2747,0.6027,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.2874,0.6632,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3013,0.721,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3163,0.7755,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3324,0.8253,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3494,0.869,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3672,0.9068,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.3858,0.9393,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.4049,0.9664,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.4245,0.9874,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.4445,1.0016,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.4648,1.0082,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.485,1.0084,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.5052,1.0047,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.5252,0.9979,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.5452,0.9873,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.5648,0.9733,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.5841,0.9575,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.6031,0.9417,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.6218,0.927,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.6401,0.914,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.6583,0.9026,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.6762,0.8917,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.694,0.8803,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7115,0.8672,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7287,0.8516,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7456,0.8337,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7621,0.8141,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7782,0.7934,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.7938,0.7722,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.8091,0.7507,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.8239,0.7294,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.8382,0.709,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.8522,0.6898,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.8658,0.6722,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.879,0.6572,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.892,0.6449,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.9048,0.6353,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.9174,0.6288,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.9299,0.6253,N
VELOCITY (ms-1),1992-03-27 00:00:00,0.9423,0.6246,N
