Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-27 00:00:00,0.2237,21.188,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2268,21.1862,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2313,21.1824,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2371,21.1818,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2444,21.1788,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2531,21.1722,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2632,21.1697,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2747,21.1706,N
TEMPERATURE (C),1992-03-27 00:00:00,0.2874,21.1672,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3013,21.1631,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3163,21.1644,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3324,21.1654,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3494,21.1632,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3672,21.1622,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3858,21.1634,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4049,21.1657,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4245,21.1669,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4445,21.1662,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4648,21.1662,N
TEMPERATURE (C),1992-03-27 00:00:00,0.485,21.1679,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5052,21.1691,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5252,21.1686,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5452,21.169,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5648,21.1716,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5841,21.1733,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6031,21.1737,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6218,21.1763,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6401,21.181,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6583,21.1828,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6762,21.1845,N
TEMPERATURE (C),1992-03-27 00:00:00,0.694,21.1904,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7115,21.1919,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7287,21.1876,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7456,21.1896,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7621,21.1938,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7782,21.1913,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7938,21.1906,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8091,21.1923,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8239,21.1905,N
