Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1991-08-22 00:00:00,0.5225,0.0594,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5239,0.0868,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5259,0.1143,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5285,0.1408,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5316,0.1661,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5352,0.1901,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5392,0.2129,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5437,0.2357,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5486,0.2596,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5541,0.2836,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.56,0.3072,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5664,0.3311,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5732,0.3564,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5806,0.3823,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5885,0.4081,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5969,0.434,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6058,0.4621,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6153,0.4942,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6255,0.5297,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6365,0.5657,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6482,0.5993,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6606,0.6286,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6734,0.6537,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6868,0.6751,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7005,0.6927,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7145,0.7064,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7288,0.7173,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7433,0.7262,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7579,0.7335,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7726,0.7399,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.7875,0.7466,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8025,0.754,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8177,0.7598,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8329,0.7622,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8482,0.7611,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8635,0.7568,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8785,0.7505,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.8935,0.7426,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9083,0.7333,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9228,0.7239,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9372,0.716,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9514,0.711,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9655,0.7107,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9797,0.7154,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.9941,0.7239,N
VELOCITY (ms-1),1991-08-22 00:00:00,1.0086,0.7355,N
VELOCITY (ms-1),1991-08-22 00:00:00,1.0235,0.7498,N
