Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-22 00:00:00,0.5225,25.1953,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5239,25.197,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5259,25.1965,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5285,25.196,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5316,25.198,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5352,25.1969,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5392,25.196,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5437,25.1981,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5486,25.1975,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5541,25.1951,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.56,25.1954,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5664,25.1984,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5732,25.1995,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5806,25.1969,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5885,25.1963,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5969,25.198,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6058,25.1984,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6153,25.1981,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6255,25.1975,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6365,25.1969,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6482,25.198,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6606,25.1979,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6734,25.1974,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6868,25.1984,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7005,25.1959,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7145,25.1898,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7288,25.1868,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7433,25.1885,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7579,25.1904,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7726,25.1901,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7875,25.1892,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8025,25.1907,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8177,25.1934,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8329,25.1938,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8482,25.1943,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8635,25.1951,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8785,25.1937,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8935,25.1925,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9083,25.1924,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9228,25.1932,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9372,25.1959,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9514,25.198,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9655,25.1965,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9797,25.1932,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9941,25.1945,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0086,25.1974,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0235,25.1974,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0386,25.1974,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0541,25.1969,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.0699,25.1958,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.086,25.1979,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1023,25.1989,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1189,25.1965,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1358,25.1965,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.153,25.1975,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1705,25.1978,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.1882,25.1991,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2061,25.1982,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2244,25.196,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2428,25.1979,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2615,25.1982,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.2806,25.1968,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3,25.1996,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3199,25.1995,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.34,25.1973,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3605,25.2003,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.3812,25.1995,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.4021,25.1971,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.4232,25.2001,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.4445,25.1982,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.4659,25.1958,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.4875,25.2,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.5092,25.2001,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.5311,25.1976,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.5531,25.1992,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.5753,25.199,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.5977,25.1978,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.6202,25.1993,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.6429,25.1993,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.6658,25.1996,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.6888,25.2017,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.7121,25.2008,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.7355,25.1986,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.7592,25.1985,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.7831,25.1979,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.8071,25.1985,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.8312,25.2015,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.8555,25.2017,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.8799,25.2,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.9043,25.1998,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.9287,25.1984,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.9531,25.1995,N
DENSITY (kgm-3),1991-08-22 00:00:00,1.9777,25.2037,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.0023,25.2035,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.0271,25.2013,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.052,25.202,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.0769,25.2029,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.102,25.2025,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.127,25.2015,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.1523,25.203,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.1776,25.2054,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.2029,25.203,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.2283,25.2006,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.2536,25.2035,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.279,25.2045,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.3045,25.2013,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.3301,25.2006,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.3556,25.2032,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.3811,25.2039,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.4066,25.2035,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.4322,25.2039,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.4578,25.2039,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.4833,25.2043,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.5089,25.2052,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.5345,25.2039,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.5601,25.2029,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.5857,25.2046,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.6114,25.2057,N
DENSITY (kgm-3),1991-08-22 00:00:00,2.637,25.2045,N
