Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-24 00:00:00,0.4519,0.1134,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4547,0.1711,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4587,0.2345,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.464,0.3015,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4707,0.3696,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4788,0.4358,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4882,0.4982,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4988,0.5573,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5106,0.6143,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5234,0.6703,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5374,0.7254,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5525,0.7774,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5686,0.8256,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5855,0.8698,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6035,0.9082,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.622,0.9413,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6411,0.9725,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.661,1.0006,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6813,1.0215,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.702,1.0344,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7228,1.0412,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7437,1.0434,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7646,1.0417,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7854,1.0368,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8061,1.029,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8266,1.019,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8469,1.0078,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.867,0.9957,N
