Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-25 00:00:00,0.1385,24.9353,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1389,24.9371,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1394,24.9374,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1402,24.9352,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1411,24.9359,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1423,24.937,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1437,24.934,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1454,24.9334,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1474,24.9344,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1497,24.9332,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1523,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1552,24.9346,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1585,24.9349,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1621,24.9337,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.166,24.9326,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1702,24.9334,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1745,24.9358,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1791,24.936,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1839,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1887,24.9332,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1937,24.9364,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.1987,24.9344,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2038,24.9337,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2089,24.9353,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2141,24.9332,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2193,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2247,24.9336,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2301,24.9301,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2357,24.9288,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2414,24.9293,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2474,24.9282,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2537,24.931,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2602,24.9355,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2672,24.9337,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2746,24.9313,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2824,24.9338,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2908,24.9315,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2996,24.9277,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3088,24.9332,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3183,24.936,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3281,24.9313,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3381,24.9338,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3484,24.9376,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3589,24.934,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3698,24.9336,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.381,24.936,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3926,24.9342,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4046,24.9321,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.417,24.9313,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4297,24.9318,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4428,24.9319,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4561,24.9315,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4697,24.9332,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4835,24.9351,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4976,24.9346,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5118,24.9344,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5263,24.9343,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5411,24.9324,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5561,24.9335,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5714,24.9364,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5869,24.9347,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6027,24.9329,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6187,24.9342,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6349,24.9363,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6511,24.939,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6675,24.941,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.684,24.941,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7006,24.9413,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7172,24.9419,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7339,24.9415,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7506,24.9423,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7674,24.9437,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7842,24.9419,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.801,24.9407,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8179,24.9418,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8348,24.9401,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8517,24.9387,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8688,24.9409,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8858,24.9384,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9029,24.9337,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9201,24.9359,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9373,24.9384,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9545,24.9364,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9717,24.9355,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.989,24.9355,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0064,24.9347,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0239,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0416,24.9323,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0595,24.9343,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0775,24.9357,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0958,24.9334,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1142,24.9302,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1328,24.9325,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1514,24.9353,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1701,24.9319,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.189,24.9301,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.208,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2271,24.9321,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2462,24.9298,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2653,24.9315,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2844,24.9353,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3035,24.9366,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3224,24.9337,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3413,24.9297,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.36,24.9324,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3786,24.9359,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3968,24.9335,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.415,24.9309,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4332,24.9315,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4514,24.9341,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4696,24.9379,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4877,24.9368,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5058,24.9323,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.524,24.9318,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5423,24.9334,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5605,24.9326,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5787,24.9316,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5971,24.9313,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6157,24.9319,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6344,24.9334,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6533,24.9327,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6724,24.9296,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6918,24.9296,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7113,24.932,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7312,24.9318,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7512,24.9331,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7716,24.9364,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7921,24.934,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8128,24.9313,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8337,24.933,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8549,24.9325,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8763,24.9308,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8979,24.9293,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9197,24.9255,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9417,24.928,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9639,24.9341,N
