Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-25 00:00:00,0.1385,22.3093,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1389,22.3079,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1394,22.3082,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1402,22.3115,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1411,22.3119,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1423,22.3112,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1437,22.3141,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1454,22.3151,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1474,22.3138,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1497,22.3152,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1523,22.3158,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1552,22.3142,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1585,22.3145,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1621,22.3167,N
TEMPERATURE (C),1992-03-25 00:00:00,0.166,22.3182,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1702,22.3173,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1745,22.3148,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1791,22.3154,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1839,22.3192,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1887,22.3185,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1937,22.3154,N
TEMPERATURE (C),1992-03-25 00:00:00,0.1987,22.3176,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2038,22.318,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2089,22.3156,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2141,22.3172,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2193,22.3171,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2247,22.3161,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2301,22.3192,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2357,22.3185,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2414,22.3159,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2474,22.3185,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2537,22.3191,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2602,22.3156,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2672,22.3166,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2746,22.3193,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2824,22.3159,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2908,22.3161,N
TEMPERATURE (C),1992-03-25 00:00:00,0.2996,22.3221,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3088,22.3185,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3183,22.3135,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3281,22.3188,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3381,22.3195,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3484,22.3153,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3589,22.3176,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3698,22.3186,N
TEMPERATURE (C),1992-03-25 00:00:00,0.381,22.3157,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3926,22.3164,N
