Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2271,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.228,51993.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2293,51993.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2309,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2329,51994.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2352,51998.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2379,51994.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2409,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2443,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2479,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2519,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2563,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.261,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2661,51982.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2717,51973.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2777,51980.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2841,51993.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.291,51993.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.2983,51986.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.306,51986.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.314,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3223,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.331,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3398,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3489,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3581,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3675,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3771,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3869,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.3968,51992.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4069,51992.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4171,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4273,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4375,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4477,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4579,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4681,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4782,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4883,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.4984,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5087,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5191,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5297,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5404,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5512,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5621,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5731,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5842,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.5954,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6067,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.618,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6293,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6408,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6524,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6639,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6754,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.6867,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.698,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7092,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7203,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7313,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7422,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7531,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.764,51986.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7748,51986.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7856,51986.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.7966,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8077,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8191,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8306,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8423,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8543,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8666,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8793,51987.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.8923,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9058,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9194,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9333,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9474,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9621,51990.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.977,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,0.9922,51988.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0077,51989.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0237,51990.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0401,51992.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0571,51992.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0746,51992.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.0927,51994.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.1113,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.1304,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.15,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.1702,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.1907,51996.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.2118,51996.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.2336,51996.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.2558,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.2786,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.3019,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.3255,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.3495,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.3739,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.3986,51997.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.4236,51999.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.4487,52000.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.4742,52002.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.4997,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.5255,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.5515,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.5777,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.604,52002.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.6306,52001.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.6575,52001.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.6844,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.7115,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.7386,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.7659,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.7933,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.8209,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.8487,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.8766,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.9048,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.9332,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.9616,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,1.9902,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.0189,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.0476,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.0763,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.1051,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.134,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.1628,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.192,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.2215,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.2512,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.2809,52011.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.3106,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.3406,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.3711,51999.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.4019,52001.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.4328,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.4639,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.4952,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.5267,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.5585,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.5903,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.6222,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.654,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.6858,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.7178,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.7497,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.7816,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.8133,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.8449,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.8766,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.9083,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.94,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,2.972,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.004,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.0359,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.0678,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.0996,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.1313,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.163,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.1946,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.2263,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.2577,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.289,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.3203,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.3517,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.3832,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.4146,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.4461,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.4776,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.5094,52012.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.5412,52016.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.573,52013.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.6049,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.6368,52002.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.6687,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.7007,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.7327,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.7645,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.7962,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.828,52009.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.8598,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.8918,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.9239,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.9558,52015.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,3.9881,52016.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.0202,52011.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.0524,52008.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.0847,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.1169,52013.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.1494,52012.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.182,52007.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.2145,52000.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.2471,52000.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.2797,52003.00000000001,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.3123,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.3449,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.3774,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.4098,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.4422,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.4744,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.5065,52004.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.5386,52005.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.5705,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.6023,52006.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.6342,52009.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.6662,52015.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.6984,52015.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.7306,52013.0,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.7627,52013.99999999999,N
CONDUCTIVITY (sm),1992-03-25 00:00:00,4.7949,52013.0,N
