Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-25 00:00:00,0.2271,0.0365,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.228,0.0536,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2293,0.0717,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2309,0.09,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2329,0.1081,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2352,0.1257,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2379,0.1427,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2409,0.1591,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2443,0.175,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2479,0.1912,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2519,0.2086,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2563,0.2273,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.261,0.2473,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2661,0.268,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2717,0.289,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2777,0.3101,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2841,0.3318,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.291,0.3536,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.2983,0.374,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.306,0.3923,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.314,0.4087,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3223,0.4235,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.331,0.4363,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3398,0.4469,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3489,0.4565,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3581,0.4659,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3675,0.4752,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3771,0.4842,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3869,0.4925,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3968,0.4999,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4069,0.5055,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4171,0.509,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4273,0.5104,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4375,0.5102,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4477,0.5092,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4579,0.5079,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4681,0.5066,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4782,0.5063,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4883,0.5082,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4984,0.5123,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5087,0.518,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5191,0.5243,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5297,0.5306,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5404,0.5364,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5512,0.5421,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5621,0.5476,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5731,0.5529,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5842,0.5575,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5954,0.5612,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6067,0.5643,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.618,0.5676,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6293,0.5713,N
