Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-25 00:00:00,0.2271,24.8413,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.228,24.8431,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2293,24.8436,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2309,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2329,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2352,24.8499,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2379,24.8455,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2409,24.8396,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2443,24.8406,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2479,24.8422,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2519,24.8398,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2563,24.8375,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.261,24.8386,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2661,24.8375,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2717,24.8333,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2777,24.8365,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2841,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.291,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.2983,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.306,24.8434,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.314,24.8439,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3223,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.331,24.844,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3398,24.8429,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3489,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3581,24.8474,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3675,24.8461,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3771,24.8435,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3869,24.842,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.3968,24.8451,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4069,24.8481,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4171,24.8441,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4273,24.8409,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4375,24.8451,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4477,24.8477,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4579,24.8469,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4681,24.8464,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4782,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4883,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.4984,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5087,24.8453,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5191,24.8442,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5297,24.8417,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5404,24.8424,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5512,24.8441,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5621,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5731,24.8378,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5842,24.8398,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.5954,24.8418,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6067,24.8425,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.618,24.8412,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6293,24.8408,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6408,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6524,24.8483,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6639,24.8439,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6754,24.8446,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.6867,24.8479,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.698,24.8477,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7092,24.8466,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7203,24.8459,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7313,24.8461,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7422,24.8467,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7531,24.8448,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.764,24.842,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7748,24.8422,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7856,24.843,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.7966,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8077,24.844,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8191,24.8427,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8306,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8423,24.8469,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8543,24.8453,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8666,24.8427,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8793,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.8923,24.8456,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9058,24.8451,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9194,24.8448,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9333,24.8453,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9474,24.8447,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9621,24.8441,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.977,24.8447,N
DENSITY (kgm-3),1992-03-25 00:00:00,0.9922,24.8442,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0077,24.8436,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0237,24.8452,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0401,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0571,24.8473,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0746,24.8469,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.0927,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1113,24.8467,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1304,24.8492,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.15,24.8467,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1702,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.1907,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2118,24.8467,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2336,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2558,24.8452,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.2786,24.8448,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3019,24.8427,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3255,24.8412,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3495,24.8418,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3739,24.8423,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.3986,24.8416,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4236,24.8427,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4487,24.8446,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4742,24.8435,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.4997,24.8427,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5255,24.8429,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5515,24.8416,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.5777,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.604,24.8429,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6306,24.8401,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6575,24.8406,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.6844,24.8434,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7115,24.8414,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7386,24.8397,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7659,24.8416,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.7933,24.8423,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8209,24.8428,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8487,24.8439,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.8766,24.8425,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9048,24.8411,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9332,24.8412,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9616,24.8412,N
DENSITY (kgm-3),1992-03-25 00:00:00,1.9902,24.8411,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.0189,24.8392,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.0476,24.8378,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.0763,24.8398,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.1051,24.84,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.134,24.8396,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.1628,24.8428,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.192,24.8429,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.2215,24.8411,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.2512,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.2809,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.3106,24.8392,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.3406,24.837,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.3711,24.8372,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.4019,24.838,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.4328,24.838,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.4639,24.8378,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.4952,24.8396,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.5267,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.5585,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.5903,24.8402,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.6222,24.843,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.654,24.8409,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.6858,24.8361,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.7178,24.8383,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.7497,24.8433,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.7816,24.8408,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.8133,24.8375,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.8449,24.8401,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.8766,24.8402,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.9083,24.837,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.94,24.8375,N
DENSITY (kgm-3),1992-03-25 00:00:00,2.972,24.8389,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.004,24.8396,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.0359,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.0678,24.8398,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.0996,24.839,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.1313,24.8409,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.163,24.8416,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.1946,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.2263,24.8414,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.2577,24.8414,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.289,24.8389,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.3203,24.839,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.3517,24.8403,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.3832,24.84,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.4146,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.4461,24.8439,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.4776,24.8425,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.5094,24.8435,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.5412,24.8468,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.573,24.8459,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.6049,24.8422,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.6368,24.8395,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.6687,24.838,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.7007,24.8398,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.7327,24.843,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.7645,24.8409,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.7962,24.8395,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.828,24.8431,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.8598,24.8417,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.8918,24.8378,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.9239,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.9558,24.8497,N
DENSITY (kgm-3),1992-03-25 00:00:00,3.9881,24.8447,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.0202,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.0524,24.8445,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.0847,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.1169,24.8406,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.1494,24.8424,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.182,24.842,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.2145,24.8372,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.2471,24.8367,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.2797,24.8364,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.3123,24.8356,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.3449,24.8407,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.3774,24.8431,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.4098,24.8411,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.4422,24.8425,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.4744,24.843,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.5065,24.8414,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.5386,24.8422,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.5705,24.8422,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.6023,24.8419,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.6342,24.8438,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.6662,24.8448,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.6984,24.8439,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.7306,24.844,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.7627,24.8466,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.7949,24.8484,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.827,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.8592,24.8463,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.8913,24.8508,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.9234,24.8518,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.9555,24.8513,N
DENSITY (kgm-3),1992-03-25 00:00:00,4.9877,24.8516,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.02,24.848,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.0524,24.8469,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.0849,24.8507,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.1176,24.8501,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.1505,24.8483,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.1834,24.851,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.2164,24.8494,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.2491,24.845,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.2817,24.8442,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.3141,24.8444,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.3465,24.8451,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.3791,24.8489,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.4115,24.8508,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.444,24.8474,N
DENSITY (kgm-3),1992-03-25 00:00:00,5.4761,24.8468,N
